"","Inh.L1.PAX6.MIR101.1","Inh.L1.LAMP5.BMP2","Inh.L1.LAMP5.NMBR","Inh.L1.LAMP5.PVRL2","Inh.L1.LAMP5.RAB11FIP1","Inh.L1.6.LAMP5.AARD","Inh.L1.6.LAMP5.NES","Inh.L1.6.LAMP5.CA1","Inh.L5.6.LAMP5.CRABP1","Inh.L3.6.PAX6.LINC01497","Inh.L1.LAMP5.PVRL2.Inh.L1.LAMP5.NMBR.5","Inh.L1.LAMP5.PVRL2.Inh.L5.6.LAMP5.CRABP1.4","Inh.L1.LAMP5.PVRL2.Inh.L1.6.LAMP5.NES.3","Inh.L1.LAMP5.RAB11FIP1.Inh.L1.6.LAMP5.NES.2","Inh.L1.6.LAMP5.AARD.Inh.L1.6.LAMP5.NES.1","Inh.L1.6.LAMP5.CA1.Inh.L5.6.LAMP5.CRABP1.1","Inh.L1.PAX6.MIR101.1.Inh.L1.LAMP5.NMBR.2","Inh.L1.PAX6.MIR101.1.Inh.L3.6.PAX6.LINC01497.1","Inh.L1.LAMP5.BMP2.Inh.L1.LAMP5.NMBR.1"
"Inh LAMP5 COL5A2",32.7158491630827,105.42888718528,94.1375928445998,61.4776631140615,-22.3929476788574,-30.8259582635939,-28.28985902147,-30.2570281583112,-30.1255263295115,14.7944523741868,34.3286488461419,1.67826279892785,23.732002201609,-26.7105264651845,-31.7324182821263,-31.9000754791039,69.3618086684929,25.5533351996084,107.295449981776
"Inh LAMP5 TRPC6",-26.6666463386646,-28.9973066259143,-28.6055012763325,-29.7102318563187,-25.4308768571163,-6.53857800520686,-6.56871802396489,119.237609410311,105.524704949806,-22.9972810478276,10.6742668210559,43.1508045035246,-25.0012802791738,-19.4604090645233,-8.21360054867334,114.890288458462,-26.5504601331586,-31.2484260681412,-32.9740762683132
"Inh LAMP5 TOX2",-19.1043729221052,71.753945545678,43.6338888530388,87.5951748237448,32.0933403331265,-4.43931777695118,-14.3786620670866,-30.9417162224348,-27.7206940406638,-23.366149908807,19.3444885367609,13.2310529185259,57.5479470309555,14.8430610742355,-9.69739119160089,-31.2101690277816,24.9602209892746,-23.3397283428684,61.9758108969741
"Inh PAX6 HMBOX1",208.914516544494,-20.7092684095749,-13.2199067471829,-22.2078276242893,-31.4740119074274,-30.9871700452674,-23.8484595055208,-27.035636924602,-30.5021357833539,162.206302512054,24.6504310404982,-21.7773231065127,-27.7267919436744,-33.2550953070398,-29.9621634710397,-31.6451654702632,75.5177401645282,202.679978978899,-16.7772379858723
"Inh LAMP5 WWP1",-23.3373164943462,-37.0488388576158,-34.1213685698083,-36.3983551177233,9.91602984085758,45.9562397140452,75.5885114500165,-24.6402888657631,-12.3312121656014,-26.6882509385279,-36.796009582229,-22.8041614868026,-8.08007632025322,39.0823154425906,68.732290550541,-24.0686834432707,-46.2117275026425,-32.2935374292259,-46.9042892962416
"Inh LAMP5 LOC108591196",-28.7738465793555,-37.2038868620171,-33.5428723083298,-21.3159506851852,43.0491828404268,57.8522342991798,62.8246464704226,-21.5774156404434,-7.93481872189004,-28.9611788263889,-30.0889526495224,-10.0710839493399,10.4575682102761,60.1187221818168,67.6341384226059,-18.3185039186686,-47.3233304219783,-38.8807729571754,-45.6207592623575
"Inh PAX6 HMBOX1:Inh LAMP5 LOC108591196:4",190.688517225086,-11.9531170520249,-7.83644284696273,-16.5348205629822,-31.2699293540976,-31.5097581804737,-23.6659858247967,-22.8078722977086,-26.7313959939894,145.20078860278,27.2099717408059,-18.7626495433228,-24.7265048604666,-34.2844249618785,-30.734961950416,-28.3232842873438,76.2975812095967,188.136425269849,-10.0587456869399
"Inh LAMP5 COL5A2:Inh LAMP5 LOC108591196:3",-1.62651567279147,49.408566679961,33.371568388853,43.2623929349981,-3.78256111231906,-10.6163731865734,-8.53743630784193,19.2025568117908,11.6560229426052,-8.36036494027555,28.5378273181988,24.172900464236,25.5906775561268,-8.10374116673727,-12.1232028902027,15.1085550337124,26.5298395543135,-7.39485242345263,47.7494299320609
"Inh LAMP5 COL5A2:Inh LAMP5 TOX2:1",5.15099423506337,99.6207448246579,76.3824971229484,90.5007867253746,5.0440391827824,-20.6527592992667,-24.7429540597991,-35.4886848623048,-32.3238731476587,-4.2346357309062,33.0498012861762,9.05855029764081,50.0531558785913,-7.61323013138311,-24.7321506626557,-36.8480733380892,54.2498084873806,0.618444206928001,97.1684379029012
"Inh LAMP5 TRPC6:Inh LAMP5 LOC108591196:2",-30.49178365092,-35.9722731269726,-34.5175934416282,-34.2609938757527,-12.5719992181585,12.5217976863085,18.8983702141389,92.5973524489077,84.1385950946962,-28.2997750284177,-0.846844812890006,35.5436700804101,-22.0826420814085,-1.0983987398491,15.8547744496978,94.1180545448587,-39.1884273946703,-40.0407787894809,-43.5373806851719
"Inh LAMP5 WWP1:Inh LAMP5 LOC108591196:1",-27.5865028203426,-40.7569664652615,-36.7393348823443,-33.7730429321276,30.2975972528616,62.2165525527082,76.0054669783683,-23.6449409569155,-9.70755062299936,-30.1279012603758,-45.0743633927093,-20.5697499177247,0.946809661653794,63.6532544642899,82.5515831810498,-22.7238111527269,-56.7845807222924,-39.4825287008448,-53.3828071766442
