"","Inh.L5.6.PVALB.GAPDHP60","Inh.L5.6.PVALB.KCNIP2","Inh.L5.6.PVALB.ZFPM2.AS1","Inh.L5.PVALB.LRIG3","Inh.L3.5.PVALB.ISG20","Inh.L1.2.PVALB.CDK20","Inh.L2.PVALB.FRZB","Inh.L2.5.PVALB.HHIPL1","Inh.L2.5.PVALB.RPH3AL","Inh.L3.PVALB.SAMD13","Inh.L1.6.PVALB.COL15A1","Inh.L1.2.SST.CLIC6","Inh.L5.6.PVALB.FAM150B","Inh.L5.6.PVALB.MEPE","Inh.L1.6.PVALB.COL15A1.Inh.L5.6.PVALB.MEPE.8","Inh.L5.6.PVALB.KCNIP2.Inh.L5.6.PVALB.MEPE.7","Inh.L5.6.PVALB.KCNIP2.Inh.L2.PVALB.FRZB.6","Inh.L5.6.PVALB.KCNIP2.Inh.L2.5.PVALB.RPH3AL.5","Inh.L5.6.PVALB.KCNIP2.Inh.L5.6.PVALB.ZFPM2.AS1.1","Inh.L3.5.PVALB.ISG20.Inh.L2.5.PVALB.RPH3AL.4","Inh.L5.PVALB.LRIG3.Inh.L2.5.PVALB.RPH3AL.3","Inh.L3.PVALB.SAMD13.Inh.L2.5.PVALB.RPH3AL.2","Inh.L2.5.PVALB.HHIPL1.Inh.L2.5.PVALB.RPH3AL.1","Inh.L1.2.SST.CLIC6.Inh.L2.PVALB.FRZB.2","Inh.L1.2.PVALB.CDK20.Inh.L2.PVALB.FRZB.1","Inh.L5.6.PVALB.GAPDHP60.Inh.L5.6.PVALB.MEPE.2","Inh.L5.6.PVALB.FAM150B.Inh.L5.6.PVALB.MEPE.1"
"Inh PVALB OTOGL",1.48568301660074,-6.74013069388938,-10.5723931976845,81.5121006652725,43.9644600237431,-12.5920315328638,-14.8627016518733,20.5359618001777,22.8738308814912,3.58675303858648,-9.63253770064969,-18.7644303212549,3.38883759793566,21.7675552223564,-7.52616249941405,1.80392330494475,1.50901492627577,26.5608392869924,-9.84284190502226,55.9372383698683,63.1802643578891,15.8835243928821,24.3592472658005,-22.6193401064975,-17.7622331286218,7.12391262373845,14.0271144078569
"Inh PVALB FAM19A4",-15.6109279307811,-20.1164555734429,-13.46739181653,-18.4085538121246,-16.5726902878414,-1.5668291472559,-8.07181810482256,3.21515646169902,-21.480437139097,-0.453240310951561,138.083478907536,-3.46646852082275,-16.9190535989858,-18.2085321624764,96.7165265557187,16.0373810275046,-12.8329186989421,-22.1220855450964,-21.512914586018,-18.3912847420502,-15.2309719634805,-6.36498561031345,-11.3789796740394,-6.53703613650772,-6.32588969501226,-20.8286276034858,-21.2553144576577
"Inh PVALB OSBP2",-24.7304854392163,-22.5868193309008,-17.3104000003844,4.4326577095253,48.2164370684664,-15.4296101117111,-16.4295138378937,41.9673785289482,24.9770427883616,58.2313598387948,-12.0937593976017,-21.2707676779829,-22.4639305335028,-21.1109971826935,-17.7389790686327,-27.5901927197988,-12.2651564302754,11.3358420356938,-24.5420390546111,44.811474179093,28.3309464841853,55.517689447989,38.6393037684792,-26.6092922148634,-20.1548723368942,-34.1533002072058,-27.7169816851843
"Inh PVALB LOC103790362",-21.0162009953197,-21.9948584755196,-20.4039902121703,-16.5559940011804,23.2001920131428,-20.1927538069978,-20.5927408751994,43.7575431233141,8.60965233218825,72.4481231964223,-3.5808660593564,-21.9581360146703,-20.0411807738433,-22.4496781197107,-12.4661713066144,-27.4059741469672,-19.8677582448128,-1.60257811554042,-27.371958518675,22.2260105211018,16.7183797681221,58.7889862903817,29.5912187113845,-29.3061357626434,-25.0626409368138,-30.8327301114621,-26.4494676498089
"Inh PVALB LOC103789439",-16.2567110258687,-12.2019023716278,-0.618105351586589,-8.36845544367264,45.3641424144908,-20.2398659323124,-20.8920557074243,32.1029896169833,21.9600915608729,61.3241438340573,-11.7211248604749,-19.9271437519896,-21.1623296095981,-20.4287600717774,-16.4884220678855,-21.7985782582714,-10.1536169957168,14.927639400537,-8.57695738486979,40.948573502204,18.7532655009353,50.6593638565344,30.1861930222039,-25.4932525255261,-24.1237882051193,-24.3720129831364,-26.7686294558523
"Inh PVALB KLHL29",66.5396524739663,36.0786271422909,22.566037996323,34.8479172944287,-9.20550701736072,-9.55899725662828,-5.00719895210242,-14.053564063281,-8.10865706311659,-16.4175492828932,-3.70927993121204,-2.07456557475618,69.3585774620588,79.3626557444503,11.861468298937,44.5194263845129,6.29000619149352,18.6615237648986,30.8149491278967,0.0306962033028483,13.7854918254553,-15.8912318467061,-13.4079956171893,-5.72389745847019,-8.58156827515561,80.421781812102,86.3159143247338
"Inh PVALB ADAMTS3",-20.4322148897061,-20.0715524033876,-16.4427715580933,-11.3398607088953,-10.6195101621467,59.9778337175926,54.3412547442448,-6.69612942180788,11.3215914992749,-7.74486294928918,-1.91512445298207,33.9385446494349,-20.420737448112,-23.1600834612926,-4.80041168357819,-7.85095153471707,22.957468560928,-19.3390590709412,-24.4186804719774,-13.1505124247535,-11.1330386767697,-5.46732507501038,1.50044341792679,55.8266806857271,63.1915830914521,-28.6652032694886,-25.9926934802873
"Inh PVALB SST EYS",-13.0363880978615,-13.3120589079611,-1.38291593016134,-19.272191660601,-20.3515253767256,65.856830202363,80.7168432115189,-22.140251829299,-5.93026179296673,-17.1403261340208,-4.44700133452891,66.154092401983,-16.8866876191562,-17.9976977221057,-2.06188587918923,6.2492017622745,44.9766104946229,-16.9896998262417,-9.68021932438765,-25.5840719700533,-23.5360701265261,-20.4628599559191,-17.3793272038292,83.056576562956,80.221698023466,-21.0684893722867,-22.2470469431492
"Inh PVALB PCDH19",-15.9575291846576,-16.1930404959287,-12.1518986867601,-17.6739323583208,-19.9950838375544,82.2884528787808,77.324459254045,-19.2147600495828,-7.52584730450853,-16.4810421901618,30.7102608921036,62.0908895278809,-20.2069337392093,-17.8604436217644,23.8418945179458,10.2548734867175,43.5845120845052,-21.4346549465644,-18.623720738478,-23.3349984475505,-20.6650046533851,-19.2814138449557,-16.432427247636,84.5642195066913,92.2232919329884,-21.6889787520435,-23.6592562807239
"Inh PVALB C8H7orf62",10.3278512623399,45.9499912825918,86.0786169500355,-9.97938434816382,-0.0602451774802066,-14.3609719494931,-5.52776117674116,-12.713129104082,13.649267806146,-9.15448131470482,-9.85230836572602,-3.85729414352016,4.97833226983689,7.40129648599898,-5.25907447704546,8.19214190341531,14.8414988670792,45.0432302435767,76.9275251764375,-4.12655094613102,-11.1425759356201,-7.10931216013556,-0.768451491845179,-10.0543501092528,-12.2129313661594,8.87950873483739,5.91987915087628
