"","Inh.L3.5.SST.OR5AH1P","Inh.L5.6.PVALB.SST.CRHR2","Inh.L3.5.SST.CDH3","Inh.L5.SST.RPL35AP11","Inh.L5.6.SST.ISX","Inh.L5.6.SST.PAWR","Inh.L5.6.SST.PIK3CD","Inh.L3.5.SST.GGTLC3","Inh.L1.3.SST.FAM20A","Inh.L1.2.SST.CCNJL","Inh.L5.6.SST.BEAN1","Inh.L5.6.SST.C4orf26","Inh.L5.6.SST.DNAJC14","Inh.L5.6.SST.FBN2","Inh.L5.6.SST.KLHL1","Inh.L6.SST.TH","Inh.L1.2.SST.PRRT4","Inh.L2.3.SST.NMU","Inh.L3.5.SST.CDH3.Inh.L5.6.SST.KLHL1.7","Inh.L3.5.SST.CDH3.Inh.L1.2.SST.PRRT4.6","Inh.L3.5.SST.CDH3.Inh.L5.6.SST.PIK3CD.5","Inh.L3.5.SST.CDH3.Inh.L3.5.SST.GGTLC3.4","Inh.L3.5.SST.CDH3.Inh.L5.6.SST.ISX.2","Inh.L5.SST.RPL35AP11.Inh.L5.6.SST.ISX.1","Inh.L5.6.PVALB.SST.CRHR2.Inh.L3.5.SST.GGTLC3.3","Inh.L2.3.SST.NMU.Inh.L3.5.SST.GGTLC3.2","Inh.L3.5.SST.OR5AH1P.Inh.L3.5.SST.GGTLC3.1","Inh.L5.6.SST.PAWR.Inh.L5.6.SST.PIK3CD.1","Inh.L1.2.SST.CCNJL.Inh.L1.2.SST.PRRT4.2","Inh.L1.3.SST.FAM20A.Inh.L1.2.SST.PRRT4.1","Inh.L6.SST.TH.Inh.L5.6.SST.KLHL1.4","Inh.L5.6.SST.BEAN1.Inh.L5.6.SST.KLHL1.3","Inh.L5.6.SST.BEAN1.Inh.L5.6.SST.DNAJC14.1","Inh.L5.6.SST.C4orf26.Inh.L5.6.SST.KLHL1.2","Inh.L5.6.SST.FBN2.Inh.L5.6.SST.KLHL1.1"
"Inh SST LOC108589054",-24.9992270088106,-22.2841264787411,-18.2150726138675,-8.61663888785944,-6.30675984969715,-2.6280033390253,-17.7411369102308,-22.434660274809,-30.4306639788565,-30.71377598557,174.713440533512,112.670058812399,161.961256022653,136.337902898863,122.976641178006,49.7634953464813,-31.3494384588763,-5.96913039312223,46.3136174823309,-14.9102773536753,-19.4416821206202,-22.8081083099249,-18.1559465810789,-11.6534368469042,-24.0099306105264,-18.6979628721259,-27.9978431011734,-14.119592067876,-36.4239492377689,-36.0383912708518,88.107558546087,168.367894345945,169.431788299991,128.733692074105,127.053552241321
"Inh SST LOC108588801",-26.3234064015433,-23.819877364714,-4.44522636255675,8.22902943031532,0.819695441818736,7.55867518259112,-17.7314237985475,-25.7915778586274,-33.9115902806092,-34.8613277627899,121.339663021279,116.191941091351,101.844419476915,157.999953344845,129.275154634245,31.3024949593713,-32.6112757211139,-23.4225946494095,28.6918268848453,-20.1659511231588,-14.7567899408006,-18.6763850468868,-4.21248312308752,0.831274748334337,-31.8168395830336,-32.0130588233644,-31.0524941972967,-8.93033772873407,-40.9357290160211,-38.3860820463865,63.6407471269061,155.042502139486,121.933474958236,150.332058986089,149.401640167164
"Inh SST LTBP1",-16.2976084047602,-26.5439628815197,-1.62027260196928,10.0302568911375,-15.7850438382553,112.568144298589,132.916918597727,58.3081444537801,-35.9850342344788,-37.4397144618692,-4.11814112143291,-0.882563269979203,2.08639229723343,-11.5671159373094,-0.136117124989237,57.796212870542,-31.7997169517966,-19.5715666932943,26.6227130644947,13.2517102855913,70.4166130444102,-12.3572673921951,-5.91520813994314,-7.32467690151637,-23.1364585463012,-9.07505520412171,15.2205843176491,126.136346117321,-43.7426939773854,-41.5511009195681,33.5279473895325,-5.70449591657853,-5.83517719210015,-8.619302124438,-13.0473515658325
"Inh SST ABI3BP",-18.1901270460788,-23.9737823422143,-27.2502396926734,-40.3161687844999,-38.7450325188068,-36.100699426668,-4.85097800063936,30.7893005297563,81.1438675275893,48.6630739733175,-32.6162053516675,-35.3272974716814,-33.1999291609659,-30.9968937946701,-34.9169207199297,-33.6859710765921,81.4555808862204,2.86605894740218,-19.8462335232159,19.5549655821131,-31.3164833004435,-35.8049775876606,-41.2074338657294,-50.1708601751856,-21.2552819219924,-2.38617779990472,-0.932467301518455,-26.1682441344921,71.1966080343422,84.2086523447987,-46.0265056318074,-52.7803204952011,-42.1813316656807,-46.5370785848334,-41.8542811685882
"Inh SST MPP5",-33.6791446998339,-20.8940706760068,-27.311556365486,-37.8169778731249,-34.4697360112044,-25.9842027754531,-2.73355482050028,-2.06755926584851,83.053723881175,66.2810737533334,-28.8093465829719,-28.4570697824045,-27.9625341837242,-33.0210474734281,-30.5477602215132,-12.7686653151127,104.428493185149,-7.66207776086245,0.490624045534091,33.4752367278536,-27.7158222040897,-37.4417441598722,-42.0661889532826,-49.3514318141936,-25.1959467544132,-18.1224834296589,-25.0743545363353,-19.8733585772174,80.7280291692084,94.7810975962995,-23.5288979238213,-45.7950175191831,-38.750447508774,-42.1903705056987,-43.2243106142143
"Inh SST LOC103788660",-29.526686746831,-14.0080751081476,-30.3702570370245,-43.5820349859138,-38.8883976695966,-43.065943451795,-26.8873071638009,-9.01288500355566,94.4977778107868,110.980684708795,-29.6595624212892,-32.844790394523,-31.3073805845422,-33.1039845755231,-38.0833961485644,-28.6836411565053,102.141590207115,27.4742485832108,-4.29092322337501,42.3527679782315,-37.8816533251832,-31.9340278395687,-46.038705565814,-53.1029155983256,-11.0132294121132,3.69806051234428,-26.9421051280516,-41.3312182346909,112.384875675393,103.296229800703,-35.8599963546124,-49.3303678074562,-38.7759515014853,-46.3851960817416,-44.7940105955512
"Inh SST KIRREL3",-30.0192243006293,1.42323276233307,-30.5135012342112,-40.4563451267642,-33.2383505255069,-42.0792588601985,-32.4160628743033,-26.0794757640472,86.5743250394046,137.683097027784,-13.5704980420465,-30.1764793265555,-20.3522630857345,-32.7706248464335,-33.0728994029189,-25.1696170806023,115.49372596091,65.0662283138861,4.91854143055906,54.5047427425665,-33.3474568685532,-18.7827425412497,-41.3645842388488,-48.5706897545734,7.51630513418513,24.2795637251965,-33.6691567524245,-45.2595405471364,133.268754108378,113.697302563905,-29.321561467479,-37.4144070864784,-23.9972687453483,-41.7269279715194,-43.0458238270829
"Inh SST CBLN4",-36.890260964195,-19.7718744956599,-31.4432933195057,-39.2880678793572,-39.3755112576994,-38.3093461316677,-25.1633354247359,-14.968984131638,96.0466684906904,108.556502576195,-30.4391690637953,-30.881362865281,-30.581289542184,-31.6537590069905,-35.0931455046277,-27.8404161291081,113.76189036853,3.6515046741728,-5.28792320165829,43.7240394604031,-41.8590154408599,-39.4181829476309,-44.7158495188671,-51.7818593513964,-23.2695503473876,-14.9256536269419,-33.8998288894521,-40.501158517534,116.873506428023,110.457402577707,-34.9114818573089,-47.3915130913357,-39.1045392995221,-42.8236241794198,-40.8196442072503
"Inh PVALB SST LRRC6",17.2638889043709,42.1367078860271,-25.0205316092432,-29.2982533711469,-9.61280837457761,-29.5122400344564,-6.10433452056294,16.6512675135196,13.5499921227191,44.319515850965,75.4640554385729,-12.0644261363072,42.7388839483202,-6.25395509828275,-16.4038508006207,-8.5291603569625,14.8911771610544,177.660011251022,7.08426732337101,15.5860168888445,-1.31513837564131,25.1700892224733,-26.6927892999822,-23.8069954154022,74.22375870942,110.82847683977,17.8776851166546,-21.5387936116248,29.1311557022794,11.081858595948,0.84940274432175,22.8383202777221,57.3445584656964,-17.093308352144,-18.2331171975526
"Inh SST LOC103788138",-28.0943781112206,-30.1853395366996,-1.91684855722622,9.85311947942039,-6.16894028198771,88.107907934034,71.2562722377085,13.5059531200725,-34.1008750961855,-36.7377757671939,54.3650111023043,47.6639997332091,67.771040443703,28.1295448477644,29.5164859059597,125.274314621647,-32.8079035342102,-26.6029381931256,68.9475654916274,13.5442749121915,44.0715911140805,-17.7330413378877,-4.5629331701389,-2.97248199741506,-33.5678099095836,-25.9133561600554,-13.1218460565225,79.5512431198963,-42.7440352668923,-40.1351998528131,101.284061547157,63.5649521619196,62.2815263306941,41.3392671741266,25.0211466022407
