"","Inh.L1.5.VIP.SMOC1","Inh.L1.VIP.KLHDC8B","Inh.L3.5.VIP.IGDCC3","Inh.L1.3.VIP.CHRNA2","Inh.L1.2.VIP.EXPH5","Inh.L1.3.VIP.CBLN1","Inh.L1.3.VIP.HSPB6","Inh.L1.2.VIP.PTGER3","Inh.L1.2.VIP.SCML4","Inh.L1.3.VIP.FNDC1","Inh.L1.5.VIP.LINC01013","Inh.L2.5.VIP.SOX11","Inh.L3.6.VIP.ZIM2.AS1","Inh.L1.5.VIP.CD27.AS1","Inh.L1.5.VIP.PHLDB3","Inh.L2.VIP.SLC6A16","Inh.L2.5.VIP.BSPRY","Inh.L3.5.VIP.HS3ST3A1","Inh.L3.5.VIP.TAC3","Inh.L3.6.VIP.UG0898H09","Inh.L5.6.VIP.COL4A3","Inh.L1.3.VIP.CBLN1.Inh.L3.6.VIP.UG0898H09.6","Inh.L1.3.VIP.CBLN1.Inh.L2.VIP.SLC6A16.4","Inh.L1.3.VIP.CBLN1.Inh.L1.3.VIP.HSPB6.2","Inh.L1.2.VIP.EXPH5.Inh.L1.3.VIP.HSPB6.1","Inh.L1.2.VIP.PTGER3.Inh.L2.VIP.SLC6A16.3","Inh.L1.2.VIP.PTGER3.Inh.L1.3.VIP.FNDC1.2","Inh.L1.2.VIP.SCML4.Inh.L1.3.VIP.FNDC1.1","Inh.L1.3.VIP.CHRNA2.Inh.L2.VIP.SLC6A16.1","Inh.L1.VIP.KLHDC8B.Inh.L3.6.VIP.UG0898H09.5","Inh.L1.VIP.KLHDC8B.Inh.L2.5.VIP.BSPRY.4","Inh.L1.VIP.KLHDC8B.Inh.L3.5.VIP.IGDCC3.1","Inh.L1.5.VIP.SMOC1.Inh.L2.5.VIP.BSPRY.3","Inh.L1.5.VIP.SMOC1.Inh.L5.6.VIP.COL4A3.2","Inh.L3.5.VIP.HS3ST3A1.Inh.L5.6.VIP.COL4A3.1","Inh.L1.5.VIP.CD27.AS1.Inh.L2.5.VIP.BSPRY.1","Inh.L2.5.VIP.SOX11.Inh.L3.6.VIP.UG0898H09.4","Inh.L2.5.VIP.SOX11.Inh.L3.6.VIP.ZIM2.AS1.1","Inh.L3.5.VIP.TAC3.Inh.L3.6.VIP.UG0898H09.3","Inh.L1.5.VIP.PHLDB3.Inh.L3.6.VIP.UG0898H09.2","Inh.L1.5.VIP.LINC01013.Inh.L3.6.VIP.UG0898H09.1"
"Inh VIP THSD7B",-14.4771497424998,-3.49984384181697,-9.44818344834772,-20.987937806059,-16.6796622093133,-19.6757014356599,-16.2731067397376,-19.7024910880441,-21.5675456869999,-24.3668397235518,27.2005185869416,48.9019684703855,43.9912183736432,4.72232479463981,9.44622976381677,-18.1044487407682,-7.19057581410456,-9.66293424504157,-4.2576528750638,27.5315869942347,-8.68785710709714,-11.712192748627,-23.1097344864853,-22.5934073605404,-19.9427153823313,-27.1027346998466,-25.8668575956111,-27.1497047025797,-23.8679911201878,3.56803995898557,-10.8509925459181,-10.7168997921578,-10.8137783968387,-16.2216501615893,-12.998258176877,-4.58734341165744,22.1632355492875,35.9125404531942,2.81588377508796,14.7808875140539,24.3948392066647
"Inh SNCG LOC108587895",-28.1811089764013,-23.6784856903199,-24.7982599599386,1.34715569476556,39.1788125437771,27.426521322441,15.8403213583263,55.8763027433393,54.7670070700068,66.7096517320464,-21.9304576951244,-25.2655249558524,-21.2740777938301,-28.248138271787,-15.7085347947655,32.7511815573829,-18.195446952138,-24.9137002778805,0.265586397170502,-25.4603999640562,-27.0585332177202,5.98811347816665,33.863620432696,28.8885376336543,29.3004845602996,45.3790783487,64.4991607018309,61.9849524393185,13.8816348060627,-29.6789813302233,-39.692744874632,-33.2238144560713,-38.3749335734175,-36.3121716741028,-33.5293782025417,-31.1653196390248,-27.3454123418158,-29.4039216891418,-17.5599917755312,-29.0960048427556,-32.1533290324678
"Inh VIP GPR149",32.5310815241073,20.6836259516168,16.509560387477,20.1277760818722,-23.274383592936,-25.5124093674947,-15.3751625689107,-26.1392285814098,-25.5407968611077,-28.0673963078193,-21.5174814514691,-28.8739405513604,-21.1513164178931,-8.54611257517299,-22.4214446566813,-9.47982305246319,-5.14105617577837,15.2569432484388,-22.5693346292041,-26.9205688954048,8.72162822433516,-24.3595755970667,-28.7091052385991,-30.6619442599579,-26.5636153968467,-21.5350508033673,-35.9711542010708,-34.9159580163052,-0.564841383058423,-17.0319076734083,11.1742737280356,14.1016593201436,5.77154402161081,21.5319401965472,9.71524045859964,-11.794371777023,-35.7590077522305,-31.7128356612955,-33.0357053067553,-32.4416750121273,-31.9858877719228
"Inh VIP LOC100397259",31.9436316302613,2.78841575775425,-2.54709271635799,97.674114502404,-23.8078399370653,-26.4238159484825,-20.2719236106437,5.12384767238994,11.9150643868258,-7.29219035623802,-27.6225996166099,-28.7552307618628,-24.9691949027832,-24.7093719051194,-27.1630060941042,58.7408266238406,-23.8317881015599,-12.4454738054808,-29.8841541703888,-27.8550527303288,-8.56874426459822,-12.8411740726532,2.11065020270668,-31.8674492099708,-29.5949581370331,46.9750058291255,3.08281862660385,0.136991192754161,73.7892881733976,-26.5463390494213,-11.3747874423934,-5.57104983953892,-15.7531534680458,7.01727732874496,-14.9658223317597,-30.9312298309442,-42.0500326724677,-35.4317338249619,-40.7699713930344,-38.5160023692906,-37.3050010468945
"Inh GAD1 NPSR1",7.06235002994034,-5.27809264034827,-10.8337541146647,83.7275579582428,-16.3914052003258,-20.7482931844053,-20.8711099354293,36.5197578252718,45.2958318667168,17.9128868763669,-22.5049417085576,-26.2666623292022,-22.2498123945554,-24.3931285958512,-25.3025376242804,91.2350673873496,-23.9525287507697,-21.2917140622575,-26.0976279251948,-28.1382174808389,-19.3395877328424,-3.69099390123291,17.286509196877,-25.0550838318203,-24.0780062912357,70.4691356557609,37.6164654868141,31.3057076023818,83.7370447099442,-25.5467736674974,-20.0833892595672,-13.8549152558857,-24.1457158302462,-11.536687074797,-25.6645320060625,-30.0861696544366,-36.7953487504921,-32.3275375490675,-34.7491575410957,-33.5225204648329,-32.2014675461752
"Inh VIP LOC108589153",-21.7566814654102,-21.3899583252711,-24.1604475965497,-23.487086747598,67.3324511768475,36.1436064795073,65.3753127540874,2.22986626167822,-2.01900552191397,18.8640142290214,-23.6550033955121,-24.4852786388266,-21.6144744141821,-11.3153210666732,-21.3979915573788,-16.8973586472118,27.2011444482011,6.14447658284028,-10.7405914673109,-25.101002872228,-8.83632686166273,0.953712490369379,20.9633968792808,53.8906830803479,72.1467800865708,-15.1250975247745,1.04051727375893,5.38041145744411,-27.0953865760998,-24.8568221347667,-22.6418680630405,-29.4882027095273,-6.64516801600702,-18.3651138384914,-6.53970828627068,4.79961100114579,-30.0787700939945,-28.9461420374502,-24.7199639247369,-31.8773012090973,-31.5649269898208
"Inh VIP FIGN",-31.306361971797,-24.9533874473503,-28.2446428715458,-24.7758970234372,92.3967547681286,58.7896261188173,55.4606247440346,10.9519347187663,10.8456553187461,40.648084849829,-24.2080688425178,-27.5859712181975,-23.5067206844976,-26.8898165960456,-16.184585192784,-13.5807879445616,-2.17653708401234,-20.1707630422467,4.77353890137267,-27.6164020756191,-24.4246475036217,10.8415092083833,37.2790245545331,71.6093960877758,80.3385996866066,-5.56511696614404,16.0463408739119,24.5770094409078,-25.4716325059359,-31.7835803330635,-39.2408474415438,-35.1401030222191,-33.9386669046511,-37.5777298090919,-30.3698044815132,-21.5796300962679,-31.3571486593709,-34.6611003496354,-15.4836929192186,-32.5716166868698,-36.0681982025278
"Inh VIP LOC108588071",20.8975933906987,5.27896303762227,3.13222472628511,-17.0074640340741,-17.7783299390809,-24.079757080256,7.03572964668725,-29.7729648424922,-26.7283256711767,-31.1364450799918,-20.5662571560868,-22.889207016452,-17.8491528588679,26.3231106386344,-25.0276644099102,-24.9789043493038,43.4461004408107,57.6029597950729,-25.6892544739666,-21.2184136937881,33.6600660799226,-26.3974870434882,-35.1380888149497,-24.1643692075438,-11.9237920616843,-42.6788535554685,-41.3532988700614,-36.6793916721553,-29.4025951852207,-15.8390986712432,16.6812574461306,-0.79118367985969,40.7510284115191,32.6646981062897,46.496961949343,37.6545161769371,-37.0586348617414,-28.1694114646797,-37.6623626576651,-36.0666187379748,-28.7015581754447
"Inh VIP VAT1L",29.9214850426236,33.4537684210146,19.9235351156647,-10.3748368218323,-25.7800125693425,-25.2846347565406,-17.11261923744,-28.3373558311477,-28.8245990474882,-35.4931448287022,-17.0364054111052,-16.8035095035385,-13.6720939668996,10.7438916444986,-19.7948554324214,-22.2491992810174,7.52148041848455,22.0021511911945,-22.791146565857,-17.2827241442196,15.4129470834048,-22.9119847855874,-33.6651763407141,-31.6582177611084,-28.882482799761,-34.7206000998954,-38.8431662853061,-39.8853656995648,-22.4908499434785,-8.42857555645588,22.5710991590778,23.3765487582018,17.145218976226,23.6670595766864,16.8665602624128,6.83478784165808,-29.1591315940759,-22.9593026866389,-30.6334946304581,-27.9097846258072,-23.7859726027813
"Inh VIP CIT",-11.9254898805629,2.56164152204409,58.1581574678984,-21.4065964762,8.17739175364014,35.2526483133847,-1.42103398897514,-15.1776017030571,-8.0579467087731,0.942897482976555,14.4208883148564,-13.9267184375733,-10.7272064034915,-17.149381861425,59.3842074338859,-18.2913789282835,-19.4104970988248,-18.4619924911209,107.109900488685,23.0444382612518,-18.2812189137829,10.2491207763884,1.09416104393166,19.1028429659537,0.838907629399601,-22.2914158432806,-15.1219768030195,-7.45249738794286,-25.0867680120054,17.0431350255483,5.27888768362228,22.8007338583953,-24.5380946425725,-21.4792170567833,-24.0594029478571,-24.3105297127624,28.4867185263831,-17.0350956564234,81.2952816350162,45.7580377489661,16.9194855326998
