"","Sst","Pvalb","Vip","Lamp5","Sncg","Sst.Chodl","Sst.Chodl.Sncg.4","Sst.Sncg.3","Sst.Pvalb.1","Lamp5.Sncg.2","Vip.Sncg.1"
"Pvalb",-46.8023479305157,279.729840379095,-61.9285032678636,-51.577353460562,-54.7079205472191,-21.5073792771775,-20.7803026260804,7.68567026263586,101.502300933025,-54.6640237559929,-63.4792503341234
"Sncg",-61.0565067029389,-56.2656405458194,49.0165331240927,42.6451685385829,269.668318183023,-27.8132333591442,-29.4228073018213,-33.2617853539247,-68.2293752663635,34.3812223003111,136.410566007544
"Sst",194.183306244285,-47.1656955244303,-64.6319807549351,-59.7996838234529,-69.426830532809,138.474770127328,119.281725386255,72.3069061999559,75.2129775905976,-59.4781125893589,-78.0402941110388
"Lamp5",-57.222077936116,-68.801860964563,-38.856834392043,238.499981950459,58.0447260085481,-27.5635870034644,-26.2957236464642,2.60160852810124,-73.1334773429331,119.558988919271,22.2347337790053
"Vip",-51.8185006919692,-71.0934196861818,191.470219148619,-70.7915493801863,47.6721145108721,-38.8514999705639,-42.541693152727,-66.4359014311394,-75.4766230705016,-40.1451486481518,87.666123054245
"Meis2",-44.7195097572311,-46.8513720344654,-8.81003594202621,124.761235921172,131.936107473351,-10.92412405228,-13.2037454855079,-12.3921013917906,-54.7439203233844,67.6303303524757,67.9549152421422
"Sst Chodl",131.238488314102,-10.8285528941184,-62.2858453249871,-9.5720117286589,-31.4014147518753,619.593476739649,564.000836799026,375.431065684024,63.5395167622829,0.608326063875163,-57.0566652077963
"Sst Chodl:Vip:5",124.880404854731,-6.51133381915592,-64.4137708657558,-2.38370790858526,-30.3011517850419,584.373701798745,531.626567239777,357.047702171414,62.8280203878553,1.37315766038201,-57.0189681430715
"Pvalb:Vip:4",62.2690648146776,38.0454220049139,-65.6680262554815,50.3090465166094,-15.5695439664927,246.049930366518,216.177673439946,149.877418521575,49.3117790197441,12.0736923257436,-45.2734966914322
"Pvalb:Sst:1",81.2976444777867,141.083248090936,-71.1988195580181,-56.8213209322122,-66.7945451477092,69.6380085420478,58.2448284238919,52.6258207800343,105.072994987561,-62.5240445688035,-79.4087935199277
"Lamp5:Vip:3",-48.1693454327752,-65.9538996453284,-34.2619098782867,211.899366109129,68.4978646235734,-2.05542572872144,-5.17254668529281,9.94704542272345,-69.0467662593107,107.145903639773,26.4945410424377
"Meis2:Vip:2",-51.3515850724531,-57.9496352436872,14.8995335079129,125.828849095949,147.281749678997,-15.008526713135,-17.5914905034195,-19.2116767811139,-66.9446791059079,69.2995528686156,85.2936885194374
"Sncg:Vip:1",-62.9586723379698,-68.8740947443906,128.401971943086,10.9142727558436,181.085198432938,-36.4618908435167,-39.6007464926045,-58.1787871000192,-85.0843260553414,11.5671230137222,142.130669893008
