"","Sst","Pvalb","Vip","Lamp5","Sncg","Sst.Chodl","Sst.Chodl.Sncg.4","Sst.Sncg.3","Sst.Pvalb.1","Lamp5.Sncg.2","Vip.Sncg.1"
"Arnt",-2.32893936466645,-4.32669120073363,2.06075563777186,0.7483144720521,0.82124297190262,-0.945443318048285,-1.07973502910439,-2.9706910625271,-4.55392837063558,1.06394321304245,1.73950328040263
"Mecom",-3.53585024625349,-0.417742304465329,-12.4977169204883,-5.85621900805844,-12.1184750038381,-6.46452572052438,-6.89711861551729,-12.3562508992271,-2.68505628058219,-9.25823284033738,-14.1634880136006
"IRF2",-6.85638672211614,-5.66241184397178,-10.1219137754931,-3.7791303293942,-10.071957085742,-6.290167687213,-6.79274659304512,-13.7384224489132,-8.30782662904168,-7.11004779062804,-11.0450001689398
"MZF1",-4.77036058776895,-6.61251142299638,-3.14498488298513,-3.47350341981085,-5.41924596532408,-2.75695550070119,-3.18451857965747,-9.34406157221519,-7.8235519727171,-5.01318867184947,-4.76576275948653
"PPARG",-6.38865309834521,0.823295334830296,-2.54272983645139,-3.49413361136538,-3.6083791259049,-7.06751438717465,-7.43100843884471,-11.4140456224892,-3.77705755037197,-4.58314650789602,-3.73725666721185
"Pax2",0.267745255183114,-1.99797723556576,1.88234135678421,-1.41239873746972,0.905779565176464,1.98754268146789,1.88306944715659,-0.0132380559767871,-1.12558930237039,-0.886723861690551,1.41962540275886
"PAX6",-2.77809652116572,-3.09612395634941,-4.28328385635028,-4.34397389058215,-6.11727756747781,-3.95162705271765,-4.32801957139646,-8.56262642940411,-3.66669066921933,-5.82610102478312,-5.97075031732186
"PBX1",-5.67041583408714,-2.80988060722695,-5.26595802495971,-3.59450805453177,-6.98481040833648,-6.5910294851559,-6.98841240571272,-12.6080240495258,-5.81231432271192,-5.64716248981522,-6.77304804594183
"RORA",-12.6242524367871,8.81061096432257,-8.44514930364386,-10.0641481646974,-16.3944087756835,-17.8498591345403,-18.3452970540885,-23.4096102272554,-4.51794386066263,-13.3635197964002,-13.5170562046636
"RREB1",-6.26725771216714,-11.5731344952702,-1.31999257165232,1.38931029821958,-0.177682873016275,-1.29821781265964,-1.81074153655623,-8.06626820372859,-11.2887777512652,0.711180659948295,-0.817462637531413
"SOX9",-16.505221910839,-16.9444644650778,6.17950973362305,3.82474907147056,6.48892558362494,-12.9842941087311,-13.6373204849439,-21.8401518857729,-22.0356586417732,4.3004034335986,7.05532817212818
"Sox5",-18.5228920515295,-18.842374056732,-1.82070081352912,3.10394480706499,0.100736488178764,-16.7731353555377,-17.5595558350121,-25.793102004666,-24.3052380614384,1.36287540954058,-0.861071992857034
"REL",-1.22740941326361,-2.9203211458155,-1.98450348460393,-2.13906822584675,-3.07801530091762,-2.4880176636765,-2.67027493226799,-5.00723246469597,-2.5972907249708,-2.95595812376035,-2.8106563786633
"RELA",-0.550958402665039,-2.28750291098619,-3.24604755766477,-2.44966915289107,-3.72482656735592,-1.00947012060414,-1.19842467479853,-3.77670048182356,-1.85556473870818,-3.37862563798857,-4.06453199468294
"TBP",-1.73970226520293,2.22244606330385,-11.3944446708702,-4.71129012663634,-11.4156555301953,-5.09858659000484,-5.34077064683389,-8.13556435952829,0.0499675908378448,-7.52002266663752,-12.7431417672589
"HLTF",-0.280668986990085,-0.0322037200601885,-10.8159420267999,-8.3594173290405,-10.9907386122639,-5.3246688287657,-5.71709840570556,-10.8096231232755,-0.676341254712785,-11.3018867134626,-12.7643338089931
"Znf423",-3.27056422333879,-2.60756374808987,0.636934622886931,1.17388425157882,0.351471491286742,-1.21470250388246,-1.33460661503113,-2.95158477143648,-3.68217179928194,1.0619495101267,0.649454303717195
"ZNF354C",-8.78996735569462,-6.48367712766153,-6.89713667038337,-3.61260067774434,-8.84735346757528,-9.51968099099971,-10.1622160529294,-17.8621233437438,-9.82186901510264,-6.01304386347217,-8.47570798969616
"CTCF",-3.28062096604603,-4.41408589742647,1.10618099672622,-2.51820492960054,-3.00923588793774,-1.5040620904378,-1.78904480495178,-5.91890034978218,-4.80612532292702,-2.8329277156294,-1.00447805402291
"REST",-5.24126848028645,-3.86211967554982,0.852236858704039,-0.391790729198356,-0.7359132974749,-5.57015140856903,-5.82735055013829,-8.55052354640991,-6.20618092948099,-0.711030349291044,0.11752844154638
"RUNX1",-11.6077369889298,-5.547718311849,-1.71902757573789,-4.39267108143388,-4.44900567318739,-12.1028563256339,-12.6487140318549,-18.3703392981197,-12.4605235305522,-5.89002304531108,-3.76766661280335
"Arid3a",-20.0675818786562,-11.5162676358164,-20.4533905147444,-11.5333421972745,-17.1768953486578,-22.310480076097,-23.7434044351144,-36.2189070157359,-20.0996413852943,-16.9928412112068,-21.378589526782
"NFATC2",-8.34167872643253,-5.07194213419378,-13.5686116263371,-7.01484909749707,-14.6816131115795,-10.3413282293472,-10.8996833985158,-17.0543852948691,-8.96411336887033,-11.5719393419774,-16.0086118989877
"NR4A2",-4.73025119042519,7.66191630508489,-3.03673207536327,-8.56713554183644,-7.1919417981318,-6.6212869397699,-6.8695378509001,-9.65022207721418,0.324243776656441,-9.9646839267243,-6.13554950736136
"PLAG1",-0.218703415621298,-8.15998975700425,3.08875052328145,2.86715115560621,3.93490244038688,3.66130206897586,3.51255708329159,0.873412914096795,-4.68788217959716,3.50131445918916,3.98355936883144
"Nr2e3",-5.98412661228799,-3.9907836305987,-5.02399973380604,-1.3042171589925,-5.5500635892623,-8.67902884768091,-9.03695472315323,-12.4577661954538,-6.12694171800193,-3.17956179476175,-5.73519532906367
"Zfx",-4.83552979110301,-7.67344431677651,7.89227211109934,3.63390672902096,7.17464017339893,0.552023792806167,0.376222853975728,-2.05090615870449,-7.77174441467187,5.6736366962578,8.64422540980302
"Crx",-7.08439219503469,-3.47495329003831,-4.80174890382601,-3.00486450251186,-5.76844018677152,-5.8701401410104,-6.24876871721873,-10.8833409486797,-6.63553905847865,-5.21767497827136,-5.83959087485302
"FOS",0.3818817161003,3.61719458906324,-0.432912292346292,-19.7733759555207,-19.3409627382105,-0.15341778798804,-0.924321073300503,-10.8162052267681,2.02486504720414,-21.4727959652818,-9.79268256831693
"FOSL2",0.508718429935316,5.19202799332576,0.527374656926944,-18.6571500163663,-18.7113970764858,1.27329070879093,0.705508212825284,-8.11623720554859,3.00363110419495,-19.2373405105171,-10.6167120542962
"Foxo1",-5.32793465880883,-5.27535268999141,-10.2412099835724,-6.51127809136664,-11.853882392764,-8.34574848816339,-8.96268220670792,-15.8769224664131,-7.0703967544047,-9.93565381770057,-12.6604321914174
"Gfi1b",-4.45669293805874,-1.59567074147185,-8.81564618976864,-6.21858472040709,-11.3456287105165,-7.35330597654093,-7.76320344436123,-12.6155756783113,-4.16640708091573,-9.65063635653782,-10.8861119446947
"JUN",-3.35762170449518,2.50181558780872,-5.08438539945749,-19.2933328133189,-18.4229257982517,-4.93686570752555,-5.86202242124829,-18.28922342439,-0.978453707302577,-21.4498136680923,-13.2712735916613
"JUND",-2.76938187581268,3.44750199823137,-6.10056034240633,-17.7662717037568,-19.5889533861501,-4.83710592178005,-5.63041434386099,-18.4919508329271,-0.182587648910618,-19.8225415025793,-14.5797325955582
