"","Inh.LAMP5.COL5A2","Inh.LAMP5.TRPC6","Inh.LAMP5.TOX2","Inh.PAX6.HMBOX1","Inh.LAMP5.WWP1","Inh.LAMP5.LOC108591196","Inh.GAD1.PCP4","Inh.PAX6.CDH4","Inh.SNCG.PLPPR1","Inh.VIP.CYP19A1","Inh.SNCG.CNTN4","Inh.PAX6.ANKRD6","Inh.GAD1.LOC108589948","Inh.VIP.THSD7B","Inh.SNCG.LOC108587895","Inh.VIP.GPR149","Inh.VIP.LOC100397259","Inh.GAD1.NPSR1","Inh.VIP.LOC108589153","Inh.VIP.FIGN","Inh.VIP.LOC108588071","Inh.VIP.VAT1L","Inh.VIP.CIT","Inh.VIP.LOC108588539","Inh.SST.NPY","Inh.SST.LOC108589054","Inh.SST.LOC108588801","Inh.SST.LTBP1","Inh.SST.ABI3BP","Inh.SST.MPP5","Inh.SST.LOC103788660","Inh.SST.KIRREL3","Inh.SST.CBLN4","Inh.PVALB.SST.LRRC6","Inh.SST.LOC103788138","Inh.SST.AIM1","Inh.SST.VAPA","Inh.SST.PCSK5","Inh.SST.P4HA1","Inh.SST.TMEFF2","Inh.PVALB.OTOGL","Inh.PVALB.FAM19A4","Inh.PVALB.OSBP2","Inh.PVALB.LOC103790362","Inh.PVALB.LOC103789439","Inh.PVALB.KLHL29","Inh.PVALB.ADAMTS3","Inh.PVALB.SST.EYS","Inh.PVALB.PCDH19","Inh.PVALB.C8H7orf62","Inh.PVALB.GSTK1","Inh.PAX6.MEIS2","Inh.SST.NPY.Inh.PVALB.SST.EYS.11","Inh.LAMP5.COL5A2.Inh.PVALB.SST.EYS.10","Inh.LAMP5.COL5A2.Inh.LAMP5.LOC108591196.3","Inh.LAMP5.COL5A2.Inh.LAMP5.TOX2.1","Inh.LAMP5.TRPC6.Inh.LAMP5.LOC108591196.2","Inh.LAMP5.WWP1.Inh.LAMP5.LOC108591196.1","Inh.PAX6.MEIS2.Inh.PVALB.SST.EYS.9","Inh.PAX6.MEIS2.Inh.VIP.LOC108588539.7","Inh.PAX6.HMBOX1.Inh.VIP.LOC108588539.6","Inh.PAX6.HMBOX1.Inh.GAD1.LOC108589948.4","Inh.PAX6.HMBOX1.Inh.SNCG.CNTN4.3","Inh.PAX6.HMBOX1.Inh.PAX6.ANKRD6.2","Inh.SNCG.PLPPR1.Inh.PAX6.ANKRD6.1","Inh.VIP.CYP19A1.Inh.SNCG.CNTN4.1","Inh.VIP.THSD7B.Inh.GAD1.LOC108589948.3","Inh.PAX6.CDH4.Inh.GAD1.LOC108589948.2","Inh.GAD1.PCP4.Inh.GAD1.LOC108589948.1","Inh.VIP.LOC100397259.Inh.VIP.LOC108588539.5","Inh.VIP.LOC100397259.Inh.GAD1.NPSR1.1","Inh.SNCG.LOC108587895.Inh.VIP.LOC108588539.4","Inh.SNCG.LOC108587895.Inh.VIP.FIGN.2","Inh.VIP.LOC108589153.Inh.VIP.FIGN.1","Inh.VIP.GPR149.Inh.VIP.LOC108588539.3","Inh.VIP.GPR149.Inh.VIP.VAT1L.2","Inh.VIP.LOC108588071.Inh.VIP.VAT1L.1","Inh.VIP.CIT.Inh.VIP.LOC108588539.1","Inh.SST.LOC103788138.Inh.PVALB.SST.EYS.8","Inh.SST.LOC103788138.Inh.SST.VAPA.6","Inh.SST.LOC103788138.Inh.SST.LOC108588801.2","Inh.SST.LOC108589054.Inh.SST.LOC108588801.1","Inh.SST.MPP5.Inh.SST.VAPA.5","Inh.SST.MPP5.Inh.SST.TMEFF2.4","Inh.SST.KIRREL3.Inh.SST.TMEFF2.3","Inh.SST.KIRREL3.Inh.SST.CBLN4.2","Inh.SST.LOC103788660.Inh.SST.CBLN4.1","Inh.SST.P4HA1.Inh.SST.TMEFF2.2","Inh.SST.ABI3BP.Inh.SST.TMEFF2.1","Inh.SST.PCSK5.Inh.SST.VAPA.3","Inh.SST.LTBP1.Inh.SST.VAPA.2","Inh.SST.AIM1.Inh.SST.VAPA.1","Inh.PVALB.FAM19A4.Inh.PVALB.SST.EYS.7","Inh.PVALB.KLHL29.Inh.PVALB.SST.EYS.6","Inh.PVALB.OTOGL.Inh.PVALB.SST.EYS.5","Inh.PVALB.OTOGL.Inh.PVALB.GSTK1.4","Inh.PVALB.LOC103790362.Inh.PVALB.GSTK1.3","Inh.PVALB.LOC103790362.Inh.PVALB.LOC103789439.2","Inh.PVALB.OSBP2.Inh.PVALB.LOC103789439.1","Inh.PVALB.C8H7orf62.Inh.PVALB.GSTK1.1","Inh.PVALB.SST.LRRC6.Inh.PVALB.SST.EYS.3","Inh.PVALB.PCDH19.Inh.PVALB.SST.EYS.2","Inh.PVALB.ADAMTS3.Inh.PVALB.SST.EYS.1"
"Inh L1 GAD1 NDST4",12.1869008948068,14.6182229155573,11.8076493652428,7.38340778495935,15.4593766756564,15.0538919113069,6.73857197472282,6.45354605163053,4.42040887917727,3.01276164927931,3.27328391772927,5.21879822205959,10.7244729337303,4.52982796945866,4.078902041023,3.07290545296645,2.67222376171028,4.61594036421544,4.97674486197036,5.44431286287571,5.310701289432,4.59738724081376,4.38039051718134,4.68390318486985,-4.5342162804424,-3.59863408942994,-3.63851384162222,-4.47573944667216,-3.88289040263828,-5.74713132005938,-4.25034185550926,-2.96787775018959,-4.95424181320227,-5.03241173024158,-4.34382658919734,-1.92868907207721,-4.43462669322902,-0.996937571938027,-3.75784782684113,-2.88033046732658,-5.27074909311908,1.30991103964277,-3.82182420970326,-4.06178286428399,-3.83078364173298,-5.10160345005694,-3.16822494237326,-2.53002711849823,-4.0152691165036,-4.84283450170262,-4.23480098100858,5.2586411078244,-4.26072583054443,-0.784811524389014,15.7323870803942,12.1143165840243,10.5894721762825,12.314333960815,2.93598970987617,4.76823622236669,5.87682045833254,5.73642993460523,5.98420965427281,5.42288878923166,4.45732515374274,3.29779673568047,3.46400139224394,6.64492466713804,7.17213041525243,1.27117749574813,0.228670232553833,2.09312758157908,1.45615791216848,1.663512813893,1.82599912611299,0.234171884141745,1.36419386652229,2.22722043007169,-5.21223980045552,-8.92507803439409,-6.64215273287939,-8.27348144812289,-9.75270527669606,-7.55448484630582,-14.1668578442236,-7.12798734962104,-10.3811525734261,-9.87901429649646,-11.2054642118187,-6.46910569123797,-7.5634670157373,-7.31007034462012,-4.50042659634772,-6.95744423224266,-11.2950098944886,-6.51622989172849,-14.0254562297292,-7.48372169022106,-7.13133101471278,-8.08541496810525,-8.26803851209029,-6.46932630899105,-7.30302372645647
"Inh L1 GAD1 SP8",13.2019736412709,19.7108222146958,17.2563320344121,14.0453197564385,24.4661605366215,21.2272062355147,8.03111920522891,9.46884165609821,8.51562627935057,6.3231021761828,4.84194213417546,16.101811748273,11.0003368183451,4.38849754653681,6.06759091807819,9.0936157817992,7.71729637264688,9.40104860535178,6.13306221663838,6.21471024525575,9.99714612386161,9.3819615826363,5.8370564007083,5.14990894842122,-10.101576455617,-4.58237468999173,-5.98697008397772,-10.4243273956575,-7.90922617674412,-10.9288503137561,-8.07038720967063,-5.89758730138913,-7.80443717023616,-9.71016594449776,-7.81759516504029,-7.03129200971316,-7.50106060507554,-4.67852163074196,-6.48145815031505,-6.1272311290061,-6.40167151286192,9.41654677342654,-3.71462436838807,-4.01162835361921,-4.23883730756196,-5.30842606218487,-3.11904019563419,-4.78120877576008,-5.27143757485905,-6.67174307298608,-5.38774935770445,8.77519043638677,-10.4457570911935,-5.15971459257632,17.0621907336126,15.0153084017881,13.8955435646897,17.7582156739747,5.66645750303266,8.39399353377662,10.3320682231509,6.9399602894344,12.7017787335937,11.3350406758573,10.8482425296553,6.35524509075756,2.35823922360771,8.23666922392888,5.2187047651286,5.60443196847763,4.28491235324441,2.77876729881843,0.685677645576656,-0.679554840855213,3.04597101792931,3.4221801481269,3.70856567109667,0.999748107068578,-3.51449846447405,-15.3644994248068,-11.4413038707805,-12.6825899071329,-20.8925574724245,-14.1000871115245,-22.354589593444,-13.0380614932003,-19.2915752219928,-15.156865091053,-21.2127193419586,-13.7669773739696,-16.7727827721124,-16.8309444302472,-1.70025638518259,-7.26783308633525,-15.677149421483,-8.0631461157987,-15.2756864580862,-9.82446164619612,-10.4733357955186,-10.7357435125874,-13.8974973466561,-9.96792715056208,-11.2742565116023
"Inh L1 LAMP5 NDNF",5.37937693628151,7.8065777429158,7.54639106988143,4.04568600130844,9.34346098226271,7.92787874080103,2.1635501691634,1.62062259844111,0.808948150316579,-0.0500000589187116,-0.155672589016898,2.2619400829864,4.56498433736634,2.0938535647293,1.05908404135848,-1.02005493890801,-1.0786000781077,-0.0835521839958288,2.19840439760257,2.48067267231903,1.07401495463149,0.0761053890906707,1.12907888378084,1.8370583116074,-2.61709611514513,0.703035835759192,1.0235109600972,-0.265831963044533,-0.6650739962747,-1.70031200533016,-0.697227040040297,-0.388452975898881,-1.29881639346479,-2.46753165426802,0.14079964241714,1.29642321732119,0.293831546989218,2.27993450237238,0.29072453680488,0.279185057302626,-2.38466873484481,0.185813180647664,-2.36055837637318,-2.2834656866755,-1.95572404772548,-1.50972710508846,-1.91116364855881,-0.928673390214466,-2.44394747377024,-2.42416986800522,-2.58200946544972,2.60751936593565,-2.42403718377009,-0.637240518803992,6.69385834402008,5.43043112401467,5.08396980701505,5.85330861698087,1.09171129575291,2.23973092482097,1.44687044416831,1.18300835052646,0.87478451967019,2.30564693585062,0.468328828635674,-0.818488404614358,0.813483294362454,0.8013573179012,0.957011755329852,-4.06503798844162,-4.2250356658288,-2.63035408629382,-1.14910806370397,-1.09169285499269,-2.94914012990926,-3.78102715508318,-3.06154942982624,-0.643422761382384,-3.5114971908172,-1.62541076694734,-0.523418029045131,-0.836598482964989,-3.75834582044787,-2.76737567998342,-5.09782261533894,-3.06746397449564,-4.7621127275621,-3.2267214931521,-4.58982758626511,-2.24471225420286,-1.8480398431631,-1.44228171618356,-3.68563654433947,-2.71195124310322,-5.41911192301967,-3.06097143940958,-7.58279873977342,-4.30667356078039,-4.64743041782343,-4.60577094188562,-5.03974683563324,-4.04458433595422,-3.91559184538987
"Inh L1-3 SST LOC105379168",-12.66212830359,3.67909538845736,-5.7970722691522,-15.0054508272841,0.485581597907726,1.01772938177432,-20.7853169804752,-27.5479692965825,-19.1473380278197,-20.2920877914888,-20.6902451687311,-16.3025169852985,-14.4941538767497,-19.2640117187838,-18.2302610256496,-15.310594065143,-18.5108367577131,-16.793332904284,-14.8351844752068,-13.845292541435,-11.7206959262087,-14.9584771104499,-14.2766826222654,-21.586840740189,1.63132856034496,14.6000647979839,17.2783737952886,17.4813522039818,28.4805776916503,12.5963277143521,25.8659964653166,18.5074513747746,20.8028838010426,19.5251337991013,9.9610677888566,19.4041746400445,18.4406296699533,27.7876591193248,26.2865666615155,28.0472952045411,8.5975164083311,25.1274361260831,11.872551839089,12.8841929395478,13.2576988569604,8.71984623864334,16.3968668534361,16.5560314664595,9.64027248255482,9.3479810546812,11.8316478100243,-15.1812294161696,2.22556346191227,-3.93283386780891,-24.1035176276708,-21.3015030014622,-12.1068616105444,-15.8983672471777,-15.1232098589031,-17.2339361675202,-32.0752251286949,-43.5424792668135,-42.6909067054387,-28.2426437151473,-33.1789095847642,-33.9964395700644,-29.4753296561192,-44.4140290554161,-40.3182863141939,-41.4368738591224,-33.5552655863094,-49.2786074350349,-30.7362107934021,-34.5419544438491,-48.4479036784033,-30.0651511930033,-30.4105399743922,-36.8197788728566,8.163298578214,14.2431128164626,10.8751528569428,15.7300894697985,16.7411677108536,9.77027084175391,23.9700062129335,16.4264505687026,15.5387348031428,15.5499593640728,17.7265843160626,13.1608038539544,17.2407894799469,16.5025103327558,8.39897701005807,8.6899502142104,18.3396732395647,9.23906405839733,17.6389966494063,10.6489403222745,12.1683689297918,12.6104265599674,15.494394323982,13.6160719301673,14.7148952940115
"Inh L1-3 SST LOC392232",-8.87477085962521,-1.7168473349162,-5.46471039627219,-8.39150876579693,-2.50403880875165,-2.34000664259383,-11.9752485667516,-11.2379906769221,-11.5273722769333,-11.0773753456221,-13.6687675449566,-10.591492180086,-7.76069436245912,-8.79693876656305,-9.01521995276399,-6.65276138645019,-8.58794967532049,-9.69154978055655,-7.39797532323323,-6.95354391030979,-5.71508992262984,-6.74216403750976,-5.13180906909121,-9.66546464605059,-0.808010029896715,6.3908219256565,5.8547759955039,3.16031255663305,9.16046883592515,3.13178037086033,10.0069783729934,5.99230824248064,8.29110427282423,11.0836098590936,2.02453656750627,5.44743347504083,4.69122399024484,8.97830280130701,8.00101983723987,10.1855448206382,8.60768940831726,14.7286380600536,12.4771236770842,12.0627044438292,12.7712125873586,8.56361615850284,12.6661791665242,14.6925432947398,9.16559000342292,10.8166957650064,11.9943027446173,-8.82999916504439,-0.784042832168324,-4.34742263299505,-16.5850027646591,-13.2682148811852,-8.8654056122799,-12.9944939492095,-8.93580076651868,-9.67415523878313,-17.6647546991285,-22.9246208922698,-22.9894233597362,-15.2300637192392,-20.5420389104524,-18.4296555429201,-14.4012133389464,-17.6280520733381,-20.7833331964714,-22.4425789446883,-17.6815415281884,-26.1499026786093,-15.8882450779675,-18.0452068736127,-22.5529362150837,-12.9287150435351,-15.2358479999579,-15.0742654447173,4.65177084613314,2.74931132485166,1.74485548314049,4.28194575672216,1.84258017226137,1.26266295071422,5.10951708723905,4.37137103531205,4.26212355851048,2.37417823264627,3.27150895421526,0.700843098031196,1.07476317684621,1.74432810973267,6.05963536071714,8.77113913206896,16.3629189589793,9.80929927186448,23.6425869393503,12.381222874047,13.7218559604927,16.3754084618206,10.3376060165952,13.5123441890555,15.909752938158
"Inh L1-3 VIP NPR3",0.469892334925754,6.47731654692704,3.48876670074192,1.84861736529454,8.42168321464775,7.56269414222939,7.93653243456785,5.23904422980375,4.10733653232352,3.05048887539718,4.31024362849971,5.69243501975524,8.1274417325649,8.88350090932328,25.5126257408862,30.6212071230374,24.7370614127567,18.2248561834183,28.2452188698607,29.2500101857952,29.008436175027,19.9275284074971,28.8147396059516,17.0875686421071,-12.6429210052804,-7.76032637382519,-10.6396335355795,-14.9264487082401,-11.2742945186773,-16.7530764111136,-14.7401810777696,-13.5276680006555,-12.0891246712693,-14.2018614664614,-13.8493446812261,-13.3396562075926,-13.2405190565348,-9.50531861225279,-11.2776772914967,-12.0316555110622,-4.13007571983757,15.0464947490072,-2.1193294134487,-1.75765353945073,-1.7108110106396,-4.40391373673808,-2.55211486763466,-5.52656532732944,-4.44527416796918,-3.7360146617059,-3.02858236229837,-2.1234057444794,-13.4440568597599,-14.4593225719918,-7.63880326073623,-5.63851378538291,-2.93796767716967,-4.82024325293135,-8.83554102449483,-3.03435228658717,4.2233820461528,5.15237456095803,1.19000829848077,-2.34366079365847,0.369108972593406,2.69430986306963,4.64152992301592,2.72636692531378,1.13528022812825,23.121617570243,18.7877009057776,37.4849892674063,24.7062878000653,27.5090874616822,36.8694932521841,25.241516584725,23.0147421434765,22.0561570234264,-6.31106877418748,-25.3709593426384,-19.6933764646086,-21.0964773374218,-32.4971919276028,-21.4484467967545,-40.869184623998,-23.4574420785491,-27.5843460152866,-23.4927015250699,-30.7788957427549,-20.8528778833356,-24.6300168717078,-26.5219565621573,-0.527694790432763,-6.48017943245351,-16.2917881288666,-5.85476950298221,-12.5413655974989,-8.42043617419992,-8.42527895056066,-7.96280614075063,-20.8436355080019,-9.65203472671463,-11.5370080597205
"Inh L1-5 VIP KCNJ2",0.246986137591344,7.88005890112672,3.47435810748795,-0.710730938905846,10.7717533824278,7.70299712546902,6.57775185535869,2.64334001466846,0.616334386810298,-0.805806747029847,0.785652527818435,1.45042115850746,8.74627313854808,9.43323188661594,25.8740671651629,30.6045081758667,21.3062594548848,18.2604585332039,30.4840084133657,35.3805933361624,30.3107896112224,20.4539242484045,29.7290595228913,16.8559838420623,-14.6538530972455,-9.63855769215863,-11.1183023424079,-15.3169773035432,-10.7184915256054,-16.9801734738864,-11.5823913249565,-13.0066094342686,-11.2144000530508,-13.48306169855,-15.6336689512761,-12.7311707546216,-13.756567017807,-8.63375201342999,-10.2117883910807,-10.781963629505,-3.58718285844451,15.0027892042184,-0.8852274270965,-0.190527468737318,-0.501620454867842,-4.6008598860626,0.349995297171622,-2.79158509405035,-2.56387646683729,-2.91332170741117,-1.69767123970882,-4.92561278058183,-16.3037146612554,-18.0100671690171,-9.20225169384635,-6.48606681569232,-3.8610654291871,-5.23084836832292,-11.958843008123,-6.42819207237901,-0.477468687226216,0.958911794665825,-6.59612007520691,-7.68719408766628,-5.97880954259747,-3.27359332308816,3.3680718423072,-1.2903354735998,-2.0863769539749,18.9214272284447,15.111476019609,35.8505006329997,25.0082641395255,31.6668477137632,34.0502131276957,24.3854946005747,21.3182465433681,22.3424482906344,-6.89271416871455,-28.6756719776296,-22.2580187336479,-24.5752287018957,-33.2370252575688,-23.0332331584575,-43.788773165917,-24.8768355467918,-28.0180684362488,-24.8101925553133,-33.0702518226627,-20.6964196265373,-26.3761505093195,-31.9058535903782,-0.806746327125874,-7.64994005588867,-16.1811489192845,-5.26431700409899,-10.9935637485556,-6.78366873803412,-7.05523423100292,-6.98690109916249,-20.2352386652016,-7.47094901522356,-8.47211751225158
"Inh L1-6 LAMP5 KIRREL",31.6304034216157,48.6463415330696,39.6951720145789,18.0602428074596,60.696237448144,57.9746496096206,8.09658989712838,5.78011932546043,3.22943640218133,-0.721994420478982,-2.70760043384544,11.6729665828763,17.9408788697296,2.73037717176305,1.49948344823885,4.78320362758932,1.87150845816719,4.20779516895496,3.85844227028797,4.05412795582655,8.10420219820217,6.42097516958619,5.29148665353009,2.15213586416094,-12.4721090904211,-9.67943050860404,-11.3363808798405,-15.7028959024773,-9.08478244705173,-13.2280576431137,-9.8737020958054,-4.7918873902681,-9.0688533193913,-9.92107565025955,-14.1617918939063,-11.1680213999203,-14.3130225796594,-8.13560929896571,-9.57952810547096,-7.03384942944577,-6.35409641205354,19.4768756382998,-1.43184633250759,-0.035878401514532,-0.831493930846135,-7.38824463294346,-0.987093658505787,-4.41073087985768,-5.51210363434077,-4.15816139562372,-2.71848372006954,13.9089769939434,-14.8604451115442,-1.1095026564822,45.6838922389852,35.753696041385,39.4669656354216,50.8831267778073,10.7956124497707,13.0263463169648,9.95335203870749,-1.07160239620307,0.629822407443281,9.74719718310699,1.88209381012404,-5.67548068966401,-3.08505181899807,1.06711179075743,1.64982797755782,-8.00083775460199,-7.78294359527996,-12.2347188467805,-8.58939398070142,-10.8463799038873,-11.12090982567,-6.99985152294422,-6.41659285736511,-6.50536398845091,-1.70105422868911,-26.0826994434982,-20.8300273009387,-24.8052768631905,-33.0206852751659,-18.2014021117942,-32.7976720404592,-16.4423357478314,-27.7427694732885,-24.328511083238,-26.7309910525844,-26.1525715792946,-28.4714386729556,-32.8887926459912,1.55234933256141,-10.5416950364883,-20.6507686439468,-8.94751074265276,-15.5748386832834,-8.19576117208131,-8.44892251108855,-8.90935730185736,-16.5992070129178,-12.110908582331,-11.9402941296468
"Inh L1-6 PVALB COL15A1",-7.34608475037447,8.09526058089433,-0.517410087945108,-10.0453900846979,6.25781105572427,5.83035319966072,-14.439011288716,-18.0988174935271,-14.0928318223329,-15.0906847870146,-16.5976819407015,-8.12765024554172,-10.645753073114,-15.5015545680778,-8.48461477649824,-6.39052837802071,-6.532921230598,-6.9961643678984,-4.2393765827644,-3.64635883021764,-2.84121992185761,-7.31866544190685,-5.47385003678027,-16.007233373404,-9.653165398971,1.79987155896505,-4.69719830053813,-10.0842324810894,-2.79500168100549,-10.1501581309033,-3.13902445063678,-2.13577919178835,-4.65779013712152,12.2916145541331,-9.44350661628236,-4.66219523300596,-6.54257477694796,-3.10237615185803,-3.56579999275482,-3.4696726146131,23.8213790564179,70.5871654403401,28.3506055775974,31.4046204233224,28.7668307004989,16.3069823850709,29.3034163726014,19.0404971105503,22.4642783689396,22.6917051801662,29.0938989898876,-8.58087473003418,-10.7732335047563,-13.4349653665289,-13.9060863825311,-13.7097387738437,-4.24999205639134,-9.16215827601133,-7.80112581575365,-10.0059183768825,-19.9385348434147,-33.7726568974135,-34.0085132260591,-19.4705750360048,-24.0761312870145,-25.6648356414403,-24.4173076165846,-31.8313188300012,-33.1389535427437,-23.3141487281083,-18.3644351676772,-29.8053718317657,-18.2544468442218,-17.7152195001108,-32.3744066993631,-19.333242660688,-21.9563571831489,-23.7713204907087,36.7840464331071,-12.3606287530542,-13.2592668476206,-10.8516374986546,-24.2485816674673,-14.5364378071407,-23.6874662864941,-10.7007091758928,-18.3978348599809,-18.2472150668091,-22.381473724872,-17.1527873074312,-18.6179992590328,-18.6315317875522,44.7044388678884,21.7667331297501,34.2465062397839,26.2612026284492,61.4757845059277,35.2722010203009,37.8179642336705,34.5980072937706,13.2823407659073,28.0425910250817,29.0085182389379
"Inh L1-6 SST NPY",-1.57591922389541,3.1322989024907,0.215149758115512,-1.77983277533864,3.33468077406558,2.75362995510117,-3.25433949442828,-4.24741239841853,-2.74341626721739,-3.03116274843874,-3.98465421425209,-1.84721601022738,-1.86708781917691,-2.38732328908039,-2.75632413836307,-1.45530487927328,-2.41690040771601,-3.09725002385854,-0.187462008268456,-0.498017614682286,0.933431495837556,-0.381683303022035,-0.3450554498549,-2.58807256481603,0.27762957173091,1.60475987831797,2.96755216523973,0.807053511636261,5.27034215958677,2.24112168776764,6.33282695558932,4.70279423149236,6.03411661509075,2.94929893954797,0.215526795373355,2.91290345656384,1.67836887287254,3.90723334403192,3.94611415817932,6.61389311088293,0.759455343495142,3.69513574706365,2.66120492448474,2.57228299491267,2.90065578319394,1.46658790959263,3.08254590828911,3.26409207407056,1.53621441408702,1.33040814250836,1.40760714545582,-2.80731444469982,0.416129888171536,-0.851809232275486,-4.47197491706862,-4.02391987634223,-1.60922890345053,-2.99706758158013,-3.34464657912514,-3.20224381373768,-6.1515046476473,-7.63744225842551,-8.11311105541652,-5.26494716856218,-6.04133426037574,-6.08670090900996,-5.11965016239939,-8.05704750094869,-8.75740474587572,-8.62428274961811,-7.15619933223077,-9.92481949592232,-6.37379897671655,-5.81656522341724,-7.76904745319632,-5.18776009235297,-4.98033846777907,-5.43997101236724,-2.39060206772804,-0.745673514987307,-0.402396054440612,0.410123283794888,-0.19299133464732,0.794075567407339,2.67541996628482,3.61090837458475,3.23026844215534,0.0792541152983262,0.867272781346906,-0.888852714670212,-0.788386599168003,-0.515101142982046,-1.73001703587267,0.337159583897579,0.9921328953973,0.601814278476434,1.45111322843361,1.1853247790388,1.50903932383428,0.775662442982488,0.98425635228007,1.52958507610568,1.56646047366673
