"","Pvalb","Sncg","Sst","Lamp5","Vip","Pvalb.Vip.3","Pvalb.Sst.1","Lamp5.Vip.2","Sncg.Vip.1"
"Arnt",-1.47407598420794,1.64260841740841,-1.11327885292524,0.165708586711413,2.19483782970864,-1.57744299307725,-2.17410653446544,0.658090494755224,2.18994898048866
"Mecom",1.17369625710233,-4.24922076523115,3.53120433897757,-2.09834264350546,-3.5742315744369,0.921322593471984,4.30293115297188,-2.86459375718007,-4.66997979970867
"IRF2",-0.424361304421603,-0.525471130500867,0.0919546548604313,0.60626379267205,-0.619157490307127,0.270716200556851,-0.181213089903886,0.352964515475918,-0.561409486196591
"MZF1",-2.14522141142711,1.48822379651404,-0.540714929695987,1.75357802721227,0.667871068304823,-0.0874291086906666,-2.25672818737474,1.82161021136754,1.32524862980974
"PPARG",3.32197611849657,-0.44052381896259,-2.05334719917349,-1.89167762113009,-1.14668607200739,-2.85799652771434,-0.0859064826982222,-1.91964265318965,-1.06993688580805
"Pax2",1.33296954292843,0.574905682155373,-1.58091922851678,-0.0914220494735599,-0.475916062394939,-0.944747115287778,-0.690122047987173,-0.11847215516851,-0.0301482158443325
"PAX6",0.683043143464046,-2.24336597249636,2.17939020637123,-0.74017286851805,-2.69223853783676,1.03702458082172,2.49914803378617,-1.34772772516288,-2.80812263385639
"PBX1",0.754172777168693,0.0634028650725096,-0.295783157310221,0.36047041749428,-0.887927065268077,0.589049359967227,0.24798642319821,0.211855333780605,-0.447587321665183
"RORA",7.06682482122238,-4.75581893879952,-4.75581173122373,-3.98667564712338,-2.44728773733065,-5.63804288629687,0.190349515959081,-4.63657916120641,-4.29463784631406
"RREB1",-3.15625393182284,1.75613256782555,-0.0780675342979275,2.73807724223047,0.442990067793063,1.16972669274717,-2.0811788897925,2.76549697806556,1.40697955029287
"SOX9",-4.05532108304542,1.60576617661549,0.328235818741969,1.50963538896734,3.96630031402259,-0.249510450883383,-3.08932253794421,2.06826074425482,3.38229819378022
"REL",0.361983307622586,1.4413043178288,-1.70306939731276,0.0619460957739699,0.515759043454655,-1.65058645157908,-1.66809315658445,0.264138107814038,0.995644184338864
"RELA",0.204828265541111,0.94934842571404,-1.18552704864709,-0.259188510376858,0.458041400453989,-1.37739068862766,-1.0840648901224,-0.0609850909487205,0.723561756347947
"TBP",2.77684930938346,-2.68302489444526,-0.346806990182376,-2.61330604562176,-2.28526555948289,-2.159950404246,1.65729876821601,-2.97916906926619,-3.08743608258908
"HLTF",1.96013457268149,-1.8941579077104,-0.100609211680549,-2.16158505943637,-0.802211517326806,-1.62525367123303,1.22608231416676,-2.35268271366776,-1.70487787131486
"Znf423",-0.351585555615324,0.933026206766901,-2.38127352455886,0.313742148294615,1.8195532939484,-2.29990143379515,-2.62799609075334,0.580671897699961,1.58155365851142
"Nobox",-1.50237784076693,0.48362003054533,0.884570630910124,-0.112125576061664,0.981855385939551,-0.0170369070747935,-0.176307765417584,0.160188550644218,0.812331580061387
"CTCF",-2.56242285420878,1.65589080763989,-0.863786395144224,1.32260869704609,1.83957623208966,-0.919608593298246,-2.63089141242319,1.68499865053906,2.22890167904806
"REST",-0.0743071998832606,0.765013541988455,-2.84307289568058,0.252025753896508,1.71095017616883,-2.17954409899904,-2.52257772565904,0.52171402182968,1.40843006739707
"RUNX1",0.230630637820441,0.559996279935648,-1.41027785792832,0.504894164443426,-0.140672581724806,-0.808712209343509,-1.24060551508722,0.464634180154776,0.282292846895296
"Arid3a",-0.518592914732566,-2.75018975768995,2.46513633127047,-1.72715269151942,-2.08870855798533,-0.774314246481375,1.78489268021057,-2.18089831850756,-2.88399509470405
"NFATC2",-1.38173125208387,-0.914924292317003,1.68761300698236,-1.62747463747605,-0.367508561178111,-1.49776887637762,0.615681103371993,-1.67886502090399,-0.871974252799566
"PLAG1",-2.72260412080131,2.6718934321359,-1.62455725342412,2.74268676859833,1.54064208125247,-0.188392854469089,-3.25265317915805,2.89234827348795,2.40157865698577
"Zfx",-2.85858518873848,3.39827900568464,-2.68194280862347,2.33090544407049,3.18325213216298,-1.59856706403024,-4.58428684450438,2.95636990327935,3.79573265910251
