"","MG","mGPC","OPC.Oligo","GluN5","GluN4","Late.RG","GluN3","Peric.","SP","nIPC","CGE.IN","Cyc..Prog.","tRG","MGE.IN","GluN2","Early.RG","GluN7","EC","GluN1","GluN6","GluN8","EC.Early.RG.14","Peric..Early.RG.13","MG.Early.RG.12","Late.RG.Early.RG.11","Late.RG.tRG.1","Cyc..Prog..Early.RG.10","GluN8.Early.RG.9","GluN8.GluN1.8","OPC.Oligo.Early.RG.3","mGPC.Early.RG.2","SP.GluN1.7","nIPC.Early.RG.1","CGE.IN.GluN1.6","CGE.IN.MGE.IN.1","GluN7.GluN1.5","GluN6.GluN1.4","GluN2.GluN1.3","GluN5.GluN1.2","GluN5.GluN4.1","GluN3.GluN1.1"
"Mecom",-3.56345589769168,-3.66446672653537,-3.13533018652669,-4.41800547111007,-3.27114686529001,-3.64781179510501,-1.16486626636703,-3.95726191514784,5.43247458263326,-4.8093137471827,1.0536443284896,-4.08218557459102,-3.81314602984231,1.15395977809792,5.2951526123803,-3.74982460424604,5.92069739145301,-3.80117979305938,-5.78546275831803,5.17622511193025,6.03599749654679,-3.82515345714604,-3.91396975638638,-3.74377594643849,-3.88129966757728,-3.73987621832434,-3.89606126220562,0.772964439363544,6.00279465258568,-3.17091293885853,-3.86522809957438,5.79396999395516,-4.42258707912202,5.30116344691662,1.28383105536405,6.10302203014737,5.32905766581922,4.94465516306906,-1.61334852941431,-4.08388995800954,-4.30395454786341
"Foxd3",-4.35259410206798,-4.23966532492004,-3.95406478356658,-4.68774890882725,-2.32081616680776,-4.15903792101903,0.0909316550724062,-4.18832177318854,2.76573621357172,-5.99797560648503,-1.03882768995653,-4.99903961763286,-4.27889283951995,-0.456128571731565,3.8677692874305,-4.31235459062572,3.64519679595906,-4.21668591885116,-6.33025256111639,4.02288779810508,3.80723647493005,-4.21850047970354,-4.22314232423951,-4.38293408855926,-4.52741375802708,-4.23590681019383,-4.91456511593232,-2.47299634752739,3.54012710597086,-4.07874261208793,-4.5281584991192,2.92740489767514,-5.25382001296877,2.0377270844456,-0.679393363110436,3.76420395092931,3.97984187485857,3.58025632117309,-1.95313304158009,-4.0546320584848,-4.13284639361693
"IRF2",-1.47368552761022,-0.380431550653048,-0.249393673576954,-3.63035324948257,-2.4382329886865,-0.237448763211647,-2.45753758857843,-0.636973586091946,2.09922973935628,-1.39339561215555,-2.11888999217096,-0.404372312975353,-0.334255504231555,-2.17594189275015,1.95203511677287,-0.251762393007912,1.98851987413777,-0.671536720887969,-4.50924241783155,2.10071359598633,2.25248566328891,-0.678900496289574,-0.707006569533449,-1.15117420252116,-0.458452652882467,-0.29327142279937,-0.318714296619118,1.30748793456817,2.2419755319884,-0.218651329594633,-0.472908165300166,2.00067956250071,-0.817541892568313,-0.328436314604874,-2.18313406223201,1.90539755046772,2.0401863970772,1.70528658743945,-2.476751488306,-3.43921149561012,-4.13190325459604
"Sox5",-6.05868727644765,-4.49096930280779,-3.91053589137158,-6.93987988490985,-6.25555663545876,-4.71989444680207,-3.35779187907478,-5.00958541762311,-1.3269685721789,-4.84266276360872,4.34241853380591,-3.72203040017018,-4.83231167946131,4.0773225068666,-0.0270767872600086,-4.63832289003983,-0.398783742919208,-4.94228105729322,-7.78658261599906,-0.0817257164637788,-0.404255100645248,-4.97636936785111,-5.10286115175361,-5.72854050126962,-4.83045759620719,-4.78410714165838,-4.00060546031802,-4.6996559517007,-0.655035831512415,-4.27572215750345,-4.70482320985262,-0.939607069975053,-4.95185072264821,2.79505373763685,4.31858727785674,-0.105526581807248,-0.142807520665002,-0.462482456720901,-5.84838181960827,-7.03379426857778,-6.91256055221538
"CTCF",4.27308172458749,0.310714275028631,1.2122042368985,4.42839689530659,4.12810823802692,0.0253451779071458,3.71597351184891,1.33574424722008,0.644076318767885,0.297870628182086,-0.228251535924686,-1.05385026094602,0.0754022247335657,0.105020741266071,0.135777728118636,-0.118180457499378,0.445363008919137,1.5592880044408,5.00392451314233,-0.0752643479765352,0.148867224481782,1.56785240184579,1.59984175859069,3.09746465949322,0.308133634303014,0.0631761687026532,-0.889715804645783,0.253635409617445,0.230035561830458,1.02809096908155,0.36539394196348,0.573420650895242,0.135668488505143,0.286312456133516,-0.0443201964617865,0.380122450494005,0.0617710515224285,0.409633517790316,4.1717068205218,4.5691274032325,5.1689925577546
"EWSR1-FLI1",4.12141853323744,3.44792576174148,4.67775468129356,-0.54445846377064,0.636394045098538,2.76284449532733,-0.635312922368568,3.59963852441726,1.74530870116821,1.08076931476239,-1.07249505744436,0.791606968248812,2.72952609166335,-0.0683853597390701,-0.456037301737481,2.64427929224263,0.492272167905187,3.63478927944484,-0.0604920693398164,-0.627267498467972,0.385641633827757,3.63766049467676,3.64546729179822,3.83897602633509,2.57518640225382,2.74132239271457,1.1558823321713,3.32263919834027,0.720432715855367,4.4925871379764,3.36231945272755,1.53295325114395,2.13712257170355,0.243569734428919,-0.563038867379875,0.303867964868094,-0.48148961838916,-0.47305198327683,-0.433309358219667,-0.187526529478064,-0.323395642354114
"INSM1",4.31359994621022,2.8575246241276,3.44680080301434,3.71208954649092,4.69105338449577,2.72453917513233,2.76936884461324,3.13845864189618,0.432586211087327,2.30190351911543,-1.90919111967845,1.76568470531681,2.7906055616445,-1.92755533769158,0.256235397136806,2.61950618352722,0.243604170218531,3.20279776271778,3.99060331852508,0.506124818354159,0.350907291527476,3.21274604723415,3.24847620660981,3.87176501636129,2.75361324075786,2.75945826820401,1.95677325131891,2.74424885742388,0.449306270221954,3.41406045149073,2.90961775445358,0.309845483183242,2.56849000582604,-1.3329829056558,-1.97790035192228,0.170121532465149,0.471673209821801,0.548855804705321,3.6765161373116,4.22836811960256,3.9899547358595
"PLAG1",5.60007514634221,3.97171825262403,4.7837924880671,3.76253448784727,4.24918225926798,3.48686562662758,1.69298028095994,4.4742900487149,-1.58838138422917,3.39680520632625,1.63328463840993,2.37619234977037,3.61243310017839,2.28513707645284,-2.63132926307103,3.3945699188215,-1.98190378039816,4.53796201029618,4.84329117708259,-3.0321907394021,-2.61489292493598,4.54519343532137,4.57009662814594,5.09554683370421,3.58530417334651,3.55194282044265,2.53518180561964,2.27727162514585,-2.32065433676727,4.61127774963398,4.01188019579258,-1.61279645736716,3.55529942576353,0.0325578733581958,1.97598832701473,-2.05586170466805,-2.84029101087618,-2.39630551942833,2.52887830892093,4.09941586325301,4.15805578965554
"ARNT::HIF1A",-0.767400445347831,-0.909232254659516,-0.332685603469648,-1.40587999475404,-1.71334491437429,-1.11282046436961,-0.72401355642828,-0.827250857529425,0.496409176709637,-1.26446424748486,2.39093676232489,-1.59700959214263,-1.15688045734728,2.49587727068538,-0.945994760787013,-1.13438219694128,-0.64532643293851,-0.739597128610195,-1.09136261939114,-0.934938758749416,-0.741892052201495,-0.756103210851106,-0.819252675631507,-0.86516500024572,-1.25268245957606,-1.14128732576398,-1.58943483736193,-1.34508214740067,-0.570789070171073,-0.53323117930325,-0.955915082075582,0.49172292839517,-1.21805846918379,2.09256393422094,2.51764979024965,-0.487989902610237,-0.895061787865502,-1.01048971583671,-1.51676189663583,-1.60064904609864,-1.10587015317828
"Zfx",9.7265152605037,9.09368405855427,9.98214157309517,3.8363938252306,4.58507206616068,8.4765527040941,0.440411970122876,9.33355374183192,-4.45581603910491,8.08366391243757,1.98142877728773,6.80174723693687,8.64929023556996,1.88453700413636,-5.46503210424178,8.32953186761421,-4.8132417079557,9.14157382139424,5.77297330128068,-5.66525120190795,-5.22431399856301,9.18717922463812,9.35268095259931,9.55830213069715,8.46656462907163,8.56251281541063,6.99880597925277,4.32405275812389,-4.8699599085393,9.83083042346272,9.23356624132425,-4.45885082418724,8.63621369415085,-1.96035124141139,1.86968756660012,-4.94713127881946,-5.57400177618568,-5.09284361275952,1.52091608564409,4.09575201714971,3.82916395392313
