"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FOS",0,3.79207360099386,0.971,0.288,0,"vRG","FOS"
"EGR1",0,3.75246516398957,0.927,0.14,0,"vRG","EGR1"
"CYR61",0,3.66121609758628,0.763,0.032,0,"vRG","CYR61"
"HES1",0,3.65052379617302,0.904,0.085,0,"vRG","HES1"
"VIM",0,3.3247216890189,0.954,0.172,0,"vRG","VIM"
"ID4",0,3.07725967701604,0.776,0.099,0,"vRG","ID4"
"JUN",0,2.97164316330205,0.934,0.316,0,"vRG","JUN"
"CRYAB",0,2.88827402862122,0.222,0.004,0,"vRG","CRYAB"
"ZFP36L1",0,2.60615790442474,0.674,0.06,0,"vRG","ZFP36L1"
"SOX9",0,2.58760412774775,0.747,0.09,0,"vRG","SOX9"
"CLU",0,2.54202522368287,0.65,0.061,0,"vRG","CLU"
"COL11A1",0,2.46646483919622,0.651,0.065,0,"vRG","COL11A1"
"FBXO32",0,2.45536701402297,0.509,0.056,0,"vRG","FBXO32"
"SPARC",0,2.44019814792373,0.64,0.056,0,"vRG","SPARC"
"SFRP1",0,2.42949006293081,0.866,0.191,0,"vRG","SFRP1"
"CTGF",0,2.39266974608981,0.268,0.004,0,"vRG","CTGF"
"PTN",0,2.35946153987853,0.942,0.319,0,"vRG","PTN"
"IER2",0,2.32738006665502,0.702,0.131,0,"vRG","IER2"
"C8orf4",0,2.19060946791038,0.554,0.039,0,"vRG","C8orf4"
"SOX2",0,2.15903915086833,0.845,0.155,0,"vRG","SOX2"
"ITGB8",0,2.15457043546611,0.62,0.092,0,"vRG","ITGB8"
"FABP5",0,2.11444018271137,0.828,0.328,0,"vRG","FABP5"
"ITGA2",0,1.97931336091107,0.43,0.03,0,"vRG","ITGA2"
"PEA15",0,1.92763828125526,0.73,0.174,0,"vRG","PEA15"
"JUNB",0,1.90988556208633,0.379,0.02,0,"vRG","JUNB"
"CREB5",0,1.89289903941117,0.524,0.06,0,"vRG","CREB5"
