"","Endothelial","Mural","U1","U2","U4","Microglia","OPC","Astrocyte","oRG","tRG","vRG","RG.div2","RG.div1","IPC.div1","IPC.div2","IPC.nEN1","IPC.nEN2","IPC.nEN3","nEN.early1","nEN.early2","nEN.late","EN.V1.1","EN.PFC1","EN.PFC2","EN.PFC3","EN.V1.3","EN.V1.2","Choroid","RG.early","Glyc","MGE.RG1","MGE.RG2","MGE.div","MGE.IPC1","MGE.IPC2","MGE.IPC3","nIN1","nIN2","nIN3","nIN4","nIN5","IN.CTX.MGE1","IN.CTX.MGE2","IN.CTX.CGE1","IN.CTX.CGE2","IN.STR","IPC.nEN2.nEN.late.1","nEN.early2.nEN.late.2","IPC.nEN1.nEN.late.3","EN.PFC3.EN.V1.2.1","EN.V1.3.EN.V1.2.2","nEN.early1.EN.V1.2.3","EN.PFC2.EN.V1.2.4","EN.V1.1.EN.PFC1.1","EN.PFC2.EN.PFC1.5","Glyc.EN.PFC1.6","IPC.nEN1.EN.PFC1.7","nIN1.nIN3.1","nIN5.nIN3.2","nIN4.nIN2.1","nIN5.nIN2.3","IN.CTX.MGE1.IN.CTX.MGE2.1","IN.CTX.CGE1.IN.CTX.CGE2.1","IN.CTX.MGE1.IN.CTX.CGE2.2","IN.STR.IN.CTX.CGE2.3","nIN5.IN.CTX.CGE2.4","IPC.nEN1.IN.CTX.CGE2.8","MGE.div.MGE.IPC2.1","IPC.div1.IPC.div2.1","MGE.IPC1.MGE.IPC2.2","IPC.div1.MGE.IPC2.3","MGE.RG2.MGE.IPC2.4","RG.early.MGE.IPC2.5","MGE.IPC3.MGE.IPC2.6","IPC.nEN3.MGE.IPC2.7","oRG.tRG.1","vRG.tRG.2","RG.div2.RG.div1.1","vRG.RG.div1.3","MGE.RG1.RG.div1.4","OPC.Astrocyte.1","MGE.RG1.Astrocyte.5","IPC.nEN3.Astrocyte.8","Endothelial.Mural.1","U2.U1.1","Endothelial.U1.2","Choroid.U1.3","Microglia.U1.4","Microglia.U4.5","IPC.nEN3.U4.9","IPC.nEN1.U4.10"
"ExN",-31.3790896510244,-13.1456332266571,-17.8410758637097,-59.9144764200417,-11.4511997888063,67.8027067240373,-48.7328982319783,-67.6399219731289,-70.4849959654348,-61.8927635872924,-66.672768563828,-72.4193638853627,-69.3245465621925,-48.6018324221329,-55.4733348688598,141.315467236358,168.422978627542,76.1804476194009,122.479405914205,150.09936101262,155.1360950351,-26.7102290629063,-39.4878069167065,-24.2260185021304,64.3573946457958,-40.2152510731303,-0.8433511912964,-0.282343281150886,-42.5483461608574,52.7917527196211,-51.5092013022239,-10.6146701390527,-44.9983248001623,-51.1852328100582,-45.704365891623,75.7767025363386,92.5538817938774,88.313144710708,81.9859116118069,89.4769751602637,92.4975795931679,68.6467095370429,68.0829550979497,66.7465954406002,50.2268772271813,112.023969341707,170.121659281895,165.645516566167,160.789845672562,30.2607736512251,-7.80369833436975,77.4431113899213,10.9213153886653,-33.5158804783497,-12.6278723225034,44.5517065492777,138.869734938549,88.7938053068846,92.9176339549938,94.2486268646235,95.2152604724396,69.2894515251005,60.4799856977494,67.4921057728918,96.9137117927197,100.343182099657,128.337593135102,-45.9542006870406,-52.8597368626783,-49.9092235666836,-51.2773212611262,-32.2453181505448,-36.1732675582499,45.2346957303635,71.7987965443424,-67.1535247593375,-67.4954376143669,-73.4660907486878,-72.9522319634925,-65.1228741781294,-71.6243208012647,-74.2236096079976,11.0638563545118,-24.9020431894622,-37.5471412405572,-34.7589622225779,-12.0205510790555,39.5129062699204,15.3433027041222,30.7847721082843,95.323313242649
"PgG2M",-4.5787339650353,-3.20845324628416,2.23947179102149,73.4928901556781,-6.9163360761065,-7.50109238849204,-6.11980439280686,4.03754973990126,10.337890182702,10.2529943303966,11.9188837873465,41.9616716033923,84.5027907137712,89.1072174068776,71.8147676946335,-1.70442629607441,-24.374791487216,24.3668184987821,-47.7884252760439,-47.5309667437998,-42.7203944808256,-37.8823353585753,-38.3567945193333,-48.3328530726138,-55.4417776800973,-48.0294180260477,-52.532186403798,6.60438994375172,80.6816550756853,-29.5180928996878,20.8305453106193,49.497996237463,68.4281263115132,88.5090906221274,73.8277115298814,-3.13868996051529,-42.1927407289825,-45.8462713949615,-35.3669810528663,-30.8963736037633,-36.818139363621,-51.5358333512301,-49.702585597692,-43.3550231344264,-45.3513034094317,-53.3915914677159,-33.7365411578759,-40.564614835348,-15.3610741860426,-58.7169707143277,-55.4057443043955,-56.581519937602,-54.2808745282239,-38.7693908299469,-45.7286266245323,-43.5327534999607,-38.3686542562358,-39.3717710427678,-38.5603790900614,-39.1104010851331,-39.7963415357431,-51.7496976821214,-46.7032078717396,-51.2716038530796,-56.2134280425484,-49.8421062509325,-48.5091767816551,71.9210732839345,81.9996853895579,82.3551084684931,82.3079059622175,73.9706856174323,78.3864831929372,47.9605607060256,37.3083894152183,10.527077870974,12.1813345463479,70.1712063802935,41.1531938436598,30.5873074873678,-0.945696668415278,11.8027542272929,27.6161547884768,-3.84881377737244,44.8847945146391,16.1419036466462,11.5321883357564,-0.68263728915585,-5.25588525184323,4.61988632027637,-19.8402760157289
"OPC1",30.1738052635589,31.729003326421,32.4077836381306,59.7037121460439,43.4022178655116,-6.9683938186025,101.265710510094,97.9098167354704,78.4013800466268,72.4509103279635,70.29343609841,85.3823541965544,65.2586303436116,42.5356401376614,47.5104113104209,-31.7611817801598,-46.6336964949569,1.58355880991478,-67.6500522000411,-68.922489475491,-59.7725941009082,-47.9036548851626,-37.7502535120026,-47.4220595012964,-66.5321364071705,-46.4736740024156,-53.0931766180998,11.3437899289456,49.8322161339277,-30.796210448502,66.9679885687983,47.2935345588575,45.7623937863932,44.6734658809251,41.748773322187,-24.6778768244717,-45.8049620012483,-47.2331822903952,-42.7324587766861,-40.8380315238968,-44.5039769935608,-43.2205303292496,-39.8547052987299,-40.2745540631186,-34.6477160889933,-50.2403035709782,-56.5213976777234,-65.4967694064316,-47.31219898834,-62.5153384163303,-57.209753533542,-72.2432995704736,-58.8548251772571,-44.0116629440506,-55.2093001717762,-46.885404809803,-58.849665548749,-45.3681056568381,-45.7108222881107,-45.2755164194376,-46.1080963132405,-41.9436609956545,-38.444242024877,-41.4496693720084,-48.3964540501757,-48.9987993281069,-55.7428072933335,44.0125819449938,45.6896520037534,45.2118518763585,45.9828702240825,51.4812651579931,50.7871810841511,8.10792846053572,6.0005083315078,77.06020293155,74.3572551528579,80.3789593571688,84.727889261753,81.1249977856181,108.182959287879,108.884538388413,72.9092763444799,36.2503733915372,49.299367903456,47.0414396288219,26.933784490121,9.48561949776428,38.6744566611584,55.7532659396989,-3.62644931698898
"End",111.479063041941,79.995299038188,64.6116434325439,39.7295345284605,20.3949943118158,53.5700562386253,22.3272102975259,31.4087752169307,22.2829273806925,23.0932541657303,16.8971111596607,12.5682099797812,5.62674060660726,-1.97863592677099,-2.46033939581312,-30.5153572190384,-37.4988602133998,-13.3670770523578,-50.4633039921909,-62.9687017854662,-53.4496716129723,-21.0578926885037,-17.514247065429,-37.6067017557627,-52.393636558579,-28.6999177246966,-42.7608836367967,50.7104926619651,11.4152491172603,-11.2618265563062,25.7046385432396,9.04106229290993,-0.600035141006196,1.23787054636093,-2.4842632296289,-16.4036110857604,-31.1176935104939,-34.0902855937298,-26.547314242161,-29.4134570211819,-25.5561941672618,-33.611025698438,-30.6913580148739,-29.9423973646392,-28.858448171989,-40.8283790910171,-47.5615509423732,-56.4748427419589,-41.3711435252693,-50.7165035015997,-38.3065987530829,-48.8261838793389,-43.2877697818362,-19.5602747007831,-28.2161856722429,-22.3251119749185,-39.6981817136085,-29.1721516041847,-27.8731382048808,-32.6154911406638,-30.9232294786571,-32.6173097182517,-30.2224903547292,-32.848120406515,-39.4500998883047,-36.7164367281319,-36.7731317434509,-1.51987773978985,-2.21765174552874,0.0694846828812155,-0.993070895503659,3.97499426039848,7.91193151585162,-4.54129151842823,-10.7719437572333,23.0796065996289,19.8565889417877,9.93789821314311,17.3238497548845,23.3156996275706,30.0750753993038,30.3319251554103,17.547279793486,103.02167260957,58.6556449930445,91.2035002340004,76.3638819681627,70.9109218525986,52.5618181700932,40.4727305585555,13.4792398499064
"ExDp1",-20.7653459518731,-23.7011917575825,-24.0042136132238,-42.1499247993704,-25.7744390802008,-31.2673471597155,4.2904546133776,-41.1368276013021,-50.3875411913017,-51.8502641357947,-49.4321397243551,-52.8496085378528,-48.837343110302,-40.8484110916678,-43.72468632665,-43.8037750535685,-37.428940859444,-56.7418803186423,32.9163441313616,-13.8591288515862,-10.633173913728,110.698414475553,113.020368549192,77.945687794897,23.6283154955353,68.0066212137391,35.188192867717,-17.8371033133329,-53.9115078356059,19.1856600581038,-58.7437388949458,-69.2150779763113,-47.6796249042574,-42.3318012239315,-46.3449475951827,-62.0816876813705,-32.4982632824493,-33.0746201676495,-37.2214227039167,-42.3323450866672,-40.7814658727826,-14.4016025243944,-11.3637780011456,-22.1519380566795,-6.70930012464482,-6.67860426487321,-26.3018832824404,-21.2195685167952,-37.5125171229022,32.6354022227597,55.8485930839835,50.0188561895499,72.7219697035449,112.3769759148,102.041428496057,66.4985441147462,20.6328156948681,-36.049975040203,-39.4582048291107,-38.9942735003129,-39.4374694568973,-12.9963278292573,-14.1202992388229,-13.8913527155205,-11.4938863102163,-25.5653764499891,-13.8787920204491,-47.1498388779864,-43.3999938542042,-45.3652034682607,-44.9399428182355,-58.5159120473762,-57.6458659683718,-82.7490555280732,-72.0612577148698,-51.9150319929365,-50.9294009167509,-52.9312529315201,-54.4230846388637,-58.32464007372,-18.7403431410926,-40.6578322883461,-64.0030328384398,-23.6825501328568,-34.6943813860219,-31.3631003222318,-27.3569082869353,-32.2192928120903,-36.8193422744392,-53.6447799772242,-46.6407901192391
"Per",99.4208350359574,132.606882461699,95.8627719430323,81.8443963130899,25.1693843155113,41.4883979589438,37.6633170233275,54.9212247698907,44.0857942303825,42.6494810428113,37.4421599901315,37.2685137576277,31.2420106200197,14.3539714647437,16.4532876677613,-37.1482375456342,-44.8964964358624,-7.33623764244489,-63.1373279785947,-62.9529651423577,-59.8046351416866,-33.7853498677486,-30.4558040083249,-47.0240630589643,-62.0044332210155,-43.8748857127166,-56.4494765178203,56.8506016672668,30.7926594196723,-24.798483335916,48.95339890181,31.3206939127243,17.9520109477052,18.3087076994595,14.2545426365171,-17.996507663179,-38.6182029065592,-35.7535698200853,-33.3846957887787,-31.5642406093894,-32.1813240564633,-42.4907357126354,-37.7277725212931,-39.6420705357356,-38.7905305986882,-44.7607992669298,-54.6769152963253,-61.1728544131987,-50.3274744504869,-62.6241739127958,-56.3628989896226,-72.2725130794714,-60.212167403833,-32.872150090023,-45.3685735844557,-42.7170297986166,-58.511706430241,-36.778406240761,-34.7840602459146,-34.5840085623663,-35.2787378633399,-40.7167703947441,-40.4454847282545,-41.7292404052751,-45.7897088084857,-41.7200980633003,-46.1492920462034,16.307593222246,15.9592432249667,18.1383593150599,17.4065990373169,26.8575732271881,29.7700557547674,2.49818227948814,-3.04937852185434,44.3746233269015,40.7724226034012,37.3679503149641,41.6374621985392,47.9303397143883,54.1898592789707,58.0937833551073,37.2376165309316,125.838448050558,98.8066624744277,129.691431896464,103.650974146756,80.9016916412741,52.6288898936304,49.7828331986989,4.95116129896396
"Mic",67.9740231325291,63.4500467932323,55.4594736868835,51.450955937867,21.964783724362,93.2784866418686,29.2929381879271,45.3440451737698,38.8604575241614,40.968313163443,32.7517035813376,32.164239667904,27.496225459046,13.0373228248413,14.867800466538,-37.7245464642296,-40.9992102892174,-9.29928025883605,-54.1449614207834,-55.7922787302016,-52.8045119293812,-39.0848733110311,-30.7992072512077,-47.4852425287226,-47.9675962456324,-49.3380704460915,-48.3188159205451,24.3434604310061,28.6477638673119,-18.3509876830374,42.1416172959398,23.6523522399937,15.2863076032073,15.7162771403081,13.6612000980323,-19.6890222432984,-32.3954297981053,-28.6007993406685,-25.6560133565741,-25.5521611770824,-27.0076144680542,-31.9124592658555,-28.3241014769148,-28.6275146008344,-32.5734223296608,-36.7577066843605,-48.802780723276,-54.1256961024198,-49.2290339572044,-50.3943286240219,-54.1620759076245,-59.055093933874,-56.8761791813292,-35.7697325145087,-49.8521272024835,-35.2142541627795,-52.2743230612879,-29.9879725968689,-29.3050037998405,-27.946863066645,-29.3114711187602,-30.4999853998038,-31.5044997358603,-32.412735734501,-37.115817605372,-35.0139476903254,-40.3469672766881,14.6840605894612,14.4798820353893,15.7118325913106,15.3745983442625,21.7370099126798,25.7211389414034,1.47930553351253,-4.83351050384223,40.2664793231898,36.2849023484707,32.7044297722198,36.4021775593241,41.0848419088529,42.8615059042284,45.249834297898,32.3839006724196,71.3172848934149,58.3124050267694,74.9065932125411,50.358860023285,86.700793769126,58.4446800797643,50.7164470258963,13.3223161365249
"ExM",-48.4900054671853,-50.8445982346751,-53.8765029988974,-72.5253366306996,-78.4576343542797,-53.8505677126213,-45.9806001297944,-80.5204131577145,-98.0432622381258,-97.1902012467039,-91.8674017990131,-100.630118292203,-86.611928522032,-63.7014599496325,-77.4785136485829,-42.1513509017966,-21.8593200036058,-103.836107233447,94.3105900670077,86.1205823864113,53.2294106313567,82.372076001208,67.4643282568445,128.917673055746,137.025220941325,145.567779696157,153.038216023897,-51.3472133876396,-99.7453973496657,5.15866697930458,-98.8253136200763,-101.089628700021,-77.3385851948186,-64.942210941433,-75.3859909837029,-64.2119135421,-49.1305894420309,-45.8257269642887,-47.0975385519273,-42.1146630987195,-46.4402686984717,-35.3169943267208,-36.1072518572513,-44.6570139213196,-29.2537184419073,-30.5084448040099,17.532903878839,55.2201340400042,-0.398196090723606,153.906316649722,154.930029386853,138.268070173363,137.532764292711,78.5371287567513,117.307278407098,55.4964238634756,28.974266602127,-48.9469353136353,-48.3999767239228,-45.3808427489333,-47.1574358637972,-36.5390694095077,-38.4029278545181,-38.5425293883765,-36.3391816497049,-43.365618180814,-24.7855841158585,-77.220396849522,-72.8634536194296,-72.7899756881946,-74.7884485354858,-100.264815292755,-103.12821551406,-88.8417517579952,-113.295480282253,-99.5920079475181,-96.318329784565,-98.6311105494273,-103.104552604992,-105.589357053192,-73.5741903511624,-101.20389124739,-132.441042188433,-52.7476384967152,-66.5641485839701,-67.7831680687035,-64.0861943515061,-66.0600799127556,-87.1602304051154,-116.649435965598,-78.3650633746177
"IP",-0.130256877178443,7.18476862423556,0.550887882521489,22.752141233171,5.46811296968065,23.4086741241019,-14.5487584662765,8.47969084483937,24.7460616404273,38.8567155604619,29.060217826718,39.0757380141411,42.8961477518085,49.6124799399715,54.0986260805301,118.678966692821,99.9309176235117,137.943946934704,2.81185417760093,12.7978592429642,31.1819149939803,-63.9583178853218,-64.9956467751144,-65.0932798930252,-40.5248601164921,-74.2981324235306,-65.1049193111272,13.5708626500622,70.3920856467321,0.181759870127038,35.2457568343254,62.3461979104734,49.288509221046,44.1416197570415,46.1220958533503,49.0421062062451,2.71399273113527,-0.589359708356548,1.26718119066021,10.898468335974,7.54922760290606,-25.684286093819,-28.5206039789837,-10.4502502880388,-31.0421135165876,-2.06815907661148,72.5210546260997,46.1308679414217,99.2530820730636,-57.7387150607002,-69.9117861432918,-40.355987402113,-59.9737966413973,-65.4736002936107,-66.2655013547539,-23.8646170163705,51.1662531760098,2.15972452633396,5.09516646704952,5.4860678762113,5.09680478474433,-27.3878553882845,-21.3371041599272,-24.4688070424734,-12.4148662561223,-2.34558623932071,34.9544786904119,48.2121417140923,53.5967225491797,47.5251996347099,51.6495553635484,63.4182200711339,69.2192576549789,67.7232725988449,126.933608964572,32.5306233418298,31.3214028634145,43.6857386376739,40.2958726838392,39.3595906390002,-4.33614198594938,20.3790650056913,96.0551301687026,3.50494393938115,10.3867846343032,7.75128877831745,13.5821948183963,21.4446381022747,15.964121411402,54.6398557927076,50.3119671889261
"ExDp2",-20.5471575247089,-25.8928248037073,-22.8535228960058,-36.1733771255583,-23.6784757255039,-33.5146005359268,14.1079838125167,-32.7669204436343,-45.1369745668157,-53.3125469198692,-47.3100375357368,-57.5818035520733,-50.7182327437954,-34.4380297614287,-44.333978354976,-42.2198078728293,-46.5574171620151,-51.7653706612698,14.4688534606622,-28.4064923631881,-25.1677857842797,100.392386033627,111.794010664651,65.7179297128029,10.1339551853435,66.2087578622233,22.8738650148722,-13.5343123456251,-62.8789038291441,16.9699729177001,-48.8223455459321,-64.3756825223809,-48.9601649931464,-35.9730848199479,-44.7930601522834,-49.3300341359101,-28.5364424408563,-33.3052980139784,-34.3742545042291,-39.1265106717599,-39.47935443479,-17.0835275300569,-13.2243492765302,-22.9509628048089,-6.79689986563143,-11.4086364851782,-40.4401204439656,-36.900728768323,-44.6423421218848,19.0053146021922,48.64874482876,34.7109988615429,58.2283021927402,107.044698583424,91.5294064210322,53.4073418844276,9.10333722218598,-32.1792829748778,-36.421116210063,-37.266136373612,-36.8417267827207,-15.31374026432,-14.8694905751641,-15.8652697273074,-15.215087526395,-27.349011955757,-21.6452156886919,-46.9276266425826,-39.8389519555327,-41.2748595200697,-41.3877846289043,-59.2834021641981,-64.1620928570226,-71.2756241490199,-66.546981348755,-49.7490789296378,-49.0493986357643,-60.3425036907589,-59.0969387575317,-54.7830359374332,-10.2148553775077,-32.6834935220841,-58.0249938335996,-25.2422231041398,-31.6361026570077,-35.7344435205118,-25.6906987259187,-35.4307287566362,-37.6919584283871,-54.7383673112145,-46.8419250033611
