"","Endothelial","Mural","U1","U2","U4","Microglia","OPC","Astrocyte","oRG","tRG","vRG","RG.div2","RG.div1","IPC.div1","IPC.div2","IPC.nEN1","IPC.nEN2","IPC.nEN3","nEN.early1","nEN.early2","nEN.late","EN.V1.1","EN.PFC1","EN.PFC2","EN.PFC3","EN.V1.3","EN.V1.2","Choroid","RG.early","Glyc","MGE.RG1","MGE.RG2","MGE.div","MGE.IPC1","MGE.IPC2","MGE.IPC3","nIN1","nIN2","nIN3","nIN4","nIN5","IN.CTX.MGE1","IN.CTX.MGE2","IN.CTX.CGE1","IN.CTX.CGE2","IN.STR","IPC.nEN2.nEN.late.1","nEN.early2.nEN.late.2","IPC.nEN1.nEN.late.3","EN.PFC3.EN.V1.2.1","EN.V1.3.EN.V1.2.2","nEN.early1.EN.V1.2.3","EN.PFC2.EN.V1.2.4","EN.V1.1.EN.PFC1.1","EN.PFC2.EN.PFC1.5","Glyc.EN.PFC1.6","IPC.nEN1.EN.PFC1.7","nIN1.nIN3.1","nIN5.nIN3.2","nIN4.nIN2.1","nIN5.nIN2.3","IN.CTX.MGE1.IN.CTX.MGE2.1","IN.CTX.CGE1.IN.CTX.CGE2.1","IN.CTX.MGE1.IN.CTX.CGE2.2","IN.STR.IN.CTX.CGE2.3","nIN5.IN.CTX.CGE2.4","IPC.nEN1.IN.CTX.CGE2.8","MGE.div.MGE.IPC2.1","IPC.div1.IPC.div2.1","MGE.IPC1.MGE.IPC2.2","IPC.div1.MGE.IPC2.3","MGE.RG2.MGE.IPC2.4","RG.early.MGE.IPC2.5","MGE.IPC3.MGE.IPC2.6","IPC.nEN3.MGE.IPC2.7","oRG.tRG.1","vRG.tRG.2","RG.div2.RG.div1.1","vRG.RG.div1.3","MGE.RG1.RG.div1.4","OPC.Astrocyte.1","MGE.RG1.Astrocyte.5","IPC.nEN3.Astrocyte.8","Endothelial.Mural.1","U2.U1.1","Endothelial.U1.2","Choroid.U1.3","Microglia.U1.4","Microglia.U4.5","IPC.nEN3.U4.9","IPC.nEN1.U4.10"
"ExN",-44.9920946077388,-32.9925873369666,-40.9324113048124,-76.9623002170695,-34.346385943417,6.07099184925636,-54.18215090194,-63.1384069536888,-70.400635064084,-72.6293740611976,-71.3048309595354,-83.7671671119783,-72.047771842757,-63.9221774100407,-55.820012098699,132.265893455696,170.433421454618,36.8307189205055,86.4448550474901,162.711514877054,180.980722077104,-69.2637228149166,-68.1948874684702,-71.0952949347986,43.1608046569373,-71.7459357765473,-32.4592857685922,-33.3052617330907,-67.4401183830591,22.795822203027,-66.3602724906305,-60.3960308276411,-72.3652244333931,-64.6880409844232,-60.6061570411449,45.4340600719984,43.6086507078068,59.9087680505353,49.8947850309796,51.5007213787543,52.1585974372974,29.6578032662838,28.9541613753485,32.693826248499,16.5875766762983,65.2644886767479,218.66034524781,230.539928963851,216.157691623336,-1.02261539007225,-55.712384825805,35.1029856202302,-39.0566771669947,-83.6842397349283,-84.9086273417168,7.3774411155563,124.671514277353,65.2020459665428,78.5462876201184,94.907307276926,108.155710755814,55.0783723332473,44.0324533618235,62.9319412613156,83.1417534752251,124.283765450217,127.040951453021,-82.2947845665234,-68.0637544645272,-84.8075179728646,-83.8853131741741,-91.9843367406941,-96.6077154235619,-13.7940369004672,24.442844706836,-83.4023330695569,-88.352863374888,-107.887391094156,-110.25888021257,-106.906498753027,-78.5917577866189,-106.99536804669,-57.4210519280606,-55.6670676983447,-99.0026430885994,-92.5552118067655,-54.1104546707989,-6.00648191250666,-28.9590968400386,-35.3080918511773,34.1332833313837
"PgG2M",12.2493119411354,17.0998578395257,22.508642160211,135.725459940045,15.7013178949511,0.919720480525659,13.7592569058691,34.9844015756331,35.9084928357035,34.9273738198755,34.2344908121737,72.8564292202366,140.863740509362,188.925475145052,120.876370586039,-6.41969906885106,-48.1850393820353,43.5869107839923,-64.9532196272267,-73.6514718194881,-71.1184278481405,-54.7702481137788,-63.1251560473648,-66.3521247770216,-70.2906778064542,-61.2749284316352,-79.0636656078857,58.2354973403607,125.772812389422,-32.5796410197275,63.81478830947,115.858818934878,119.035916112635,167.969152476525,126.337381908708,17.3346289770656,-46.5313239488829,-46.1984181475,-43.1258806335223,-35.5747820341865,-34.1447093852994,-54.9333568394109,-55.5334231046883,-44.2692088948602,-50.9868634093106,-44.4156736626522,-74.8117155319399,-91.2781408128129,-38.9239183997544,-92.5322104074639,-91.955835405267,-101.550968988617,-94.275195163999,-75.5349990728097,-99.047216259098,-65.4398949890777,-69.1523125222212,-62.1668929550499,-65.9990215751593,-55.8177626064126,-73.0283479673563,-84.9957760631057,-59.3614799021578,-91.9712366803404,-70.9454582196285,-84.7227249743698,-66.4013417347074,159.672584800105,141.216692459801,167.363430703833,179.25485566544,221.081283881218,196.919104867661,132.734618165456,88.0700958021698,45.3006162403862,45.7733767746578,128.324754612909,110.594908901953,118.04312687966,31.8055277946767,75.5025490032588,91.9814865622787,21.926719127174,97.9822676902173,70.7284216036108,87.5303219360415,49.2919437156695,36.8251678226104,61.8432964570351,13.1722478917365
"OPC1",58.393578077862,54.3324826728755,60.621924750161,100.643685370718,76.2020962888676,9.88572252376245,144.002659130549,102.768451243526,117.111638152991,95.3521518092812,109.504541186142,112.344953954035,105.294267214217,101.913336916825,81.3853479412597,-43.1674540912108,-60.9650461674706,30.3838866471066,-83.4289579641661,-86.9705523033965,-88.9419577218398,-42.8573870650307,-54.0874684357804,-74.5361200850341,-91.0921624596339,-66.0768436709396,-92.766553010877,57.7322572004326,86.5544540084012,-23.9458749962416,109.885997053944,88.5464397209981,76.0609182322014,90.7279837148407,74.8734603225566,-6.10567532613632,-43.9881217257331,-42.8998152271056,-39.5616702091509,-48.228486117712,-44.1089256504407,-46.9533974012359,-47.8452143256287,-48.7839225246642,-45.7422476369807,-54.0393536628291,-88.6646046863505,-105.003965024703,-78.4571577463239,-114.342341675359,-102.098544663652,-111.004744594436,-99.4080027762831,-56.9489387407328,-84.0612578517038,-49.7216987453115,-73.2216171921256,-50.9238036265782,-57.3875791271327,-58.3028422306824,-69.2431221995163,-59.5460849662126,-58.1817572749548,-69.6300972252842,-70.7505820546456,-80.831793229857,-50.7204802245132,99.0571446122982,85.6897575851824,95.1771753205253,101.020333440822,117.841632902596,116.693360066227,70.897692753735,54.4100780475506,138.434365854094,140.901589314862,127.176621897903,145.021315494045,148.094884233952,174.810817466195,180.843179580889,145.182572530511,81.9007501808323,107.090701966413,131.698373046316,124.649815698764,69.3160130681103,111.987240380845,143.967348012123,65.861797707186
"End",296.494184559001,176.534322254258,121.854228843589,78.0083095640067,55.6201831314818,110.648329643464,37.3833444266727,65.1071758561976,34.1402410112274,36.1699477937329,33.2817695678052,22.1336105061288,18.8009679780881,6.72682599532252,3.00237099567587,-35.8264480342928,-47.779520265503,-6.95434757973948,-57.0296381961727,-74.1690378264501,-63.4658386472133,-33.3900601074671,-34.6558069490525,-44.263790988195,-60.5002895679832,-44.3032983442999,-54.0106705165175,123.599439219741,28.3804060351899,7.36754452916642,62.2835103910705,34.2569478784788,6.02991722136391,13.1999689919332,2.23910608347676,8.55917543406729,-22.7983519091395,-20.6899694694036,-14.9025148074193,-15.97858646841,-9.28767383087063,-27.3163912052546,-20.933651155397,-25.7472551951491,-26.3814547913437,-31.3632026078728,-74.0194784081292,-89.9217287121037,-54.2583012581428,-68.6922268594093,-61.3059757861786,-67.6345109533791,-59.2813717795359,-42.658002151857,-56.8963372584129,-15.0053612374374,-39.7177265456885,-21.52838198086,-16.3285494047034,-25.0277337928531,-25.5906485523768,-30.1452831879178,-32.7920169695333,-36.292622834735,-39.248163794648,-37.0376020086579,-13.9081508502409,5.44061800334818,0.0883969914704689,6.71981471277391,3.83425855849915,26.0975003915866,33.4753049814442,25.7906172581479,6.23528164462068,40.6672353195726,40.3592999441737,23.5883360150831,35.2691685340822,59.5232370588362,64.7513523020131,73.5033585159762,54.0958179428811,348.148611399589,151.747971707123,363.445472830828,266.82284577756,236.21090339514,156.823598747623,125.52136907187,71.9048890253932
"ExDp1",-23.0261128587786,-28.0729631287049,-25.3824403784928,-41.8728891864332,-17.2008663653906,-39.6743398538152,19.6412011456441,-46.9753026382349,-48.961155129259,-53.1100179356705,-67.1292810146101,-53.8005921459003,-58.2503212962484,-43.6970188427219,-46.4976895935765,-57.8217999994235,-65.3392291599424,-66.3511641274656,42.1623052250807,-39.5334051220449,-33.9666465003348,156.45032763781,157.214464859875,147.777871394917,20.4940078293309,133.139669673655,45.4185467846028,-10.3759342596937,-64.5478677250335,37.501311344565,-52.6931993956884,-60.1088994055281,-44.3631844704244,-42.8861004138431,-52.46159405638,-57.5000839291499,-39.3839446583408,-38.5701268214295,-41.4592871566692,-47.2328399081407,-47.8965673020704,-19.5062044011335,-18.9048419239903,-27.8155496283306,-7.80997337662585,-4.50849167616101,-64.0028568890033,-64.5127501814515,-64.6462261704909,54.0423797589392,132.146654585456,94.5597368989479,182.017319111059,225.207876114704,260.497417949127,147.587312742059,34.3307389141076,-50.9489993695202,-65.570994320712,-57.9308546493284,-74.3343945525392,-22.1146818482847,-19.7691834422394,-24.8021499665307,-15.0643059046613,-48.2541864170993,-13.0145445201586,-57.0810827858825,-51.6055477840524,-57.525860099423,-59.164455067499,-73.7718048619272,-82.9690418372322,-90.048302350846,-83.8226783658194,-64.0774848982416,-75.0990824672418,-68.6029001477631,-80.1269171576367,-75.5316998806155,-15.9442170779535,-50.0791037481587,-75.7047760883087,-35.9906439028709,-48.9718226713842,-57.8492335064405,-37.8028895442582,-47.0944822727205,-33.6940978443619,-59.2682514652289,-42.4343701574898
"Per",166.36815040839,216.781355405019,166.711770876137,152.198564972351,70.6044816342002,82.0186432422205,53.8345672483462,106.857031001595,98.1159729674983,72.2465884436596,68.0086759438727,59.974169622938,42.0810789559199,31.048432683373,30.3832377518073,-38.9146207290307,-59.2549866213173,7.10635873143161,-81.9734579183062,-85.864669539881,-79.0281088001142,-55.3220654350731,-37.2593767497297,-64.9768608362772,-82.1037108919466,-64.5307112030022,-87.7229818299798,113.94725543899,49.9345579535832,-2.15515488483255,94.1576221143035,85.642826389586,25.9363512820292,38.0244970479814,26.9911986722646,3.6976153775414,-29.8017297044795,-32.0681490815535,-28.4315385069149,-19.717462193636,-22.9710300050064,-40.4488624032172,-39.4380468633908,-37.1424872993513,-37.4084006262727,-42.9292824022373,-80.1626682057677,-98.8250231977097,-68.3075455353871,-104.723445440647,-94.3164541017601,-107.611652303556,-92.9898406554792,-57.5169339214901,-82.0652791143836,-28.5321299022077,-56.5120884256101,-37.1198022034908,-37.7848837778274,-32.6333114820931,-43.9723456306257,-55.1333700172194,-48.8472250601904,-69.9133900102162,-67.3489309500194,-65.6360085716274,-35.3072027985685,34.0317821467439,24.2785614967476,33.8464239192432,34.4613323699468,77.0520021985763,69.8348548897394,47.5690405529486,25.5171841337388,99.5400075747507,91.2795068078716,54.776356968001,79.1570205822371,107.605612168354,108.661444065387,118.218551230885,86.7222138740945,252.285462406114,211.467031289035,321.35479042008,297.067311278235,219.395782594594,179.979056526994,160.880356441372,85.4065286693906
"Mic",159.074220607032,110.388267160181,130.949341237898,92.7532933824109,54.2024269815003,195.461567981033,54.1740519141599,105.847520060028,78.9885387241031,67.9342733917927,69.6917734894087,55.5230138565987,47.3949362668145,32.8876410128859,26.8787071030518,-38.044468082514,-63.8434235843081,11.2742186381319,-57.5833123213689,-78.8663643052142,-74.1567246738102,-47.7009395521285,-37.0613374656528,-52.057605976405,-61.965587549025,-56.9140017655071,-77.7844942131597,95.8817795319671,60.8203880373741,5.02641847456365,80.4797520757699,54.8191216453344,27.1893036293425,40.2501613092203,23.0687204108161,7.29021312927631,-15.1840571390299,-9.96589727337895,-3.73947255592438,-4.1240958609816,-5.52938255364718,-19.2270085279139,-15.6772325964435,-18.0321545375984,-17.8861539061059,-31.4006726390265,-91.1237182266707,-99.5403696974658,-64.1765464476833,-82.2232062237536,-81.0757552341787,-76.1671785193866,-70.8519815767081,-51.5032288217131,-74.5335663926182,-24.2892625285934,-53.3872229062424,-9.13706329948638,-7.52115297269411,-7.01052418613683,-9.18289800854871,-21.0450595648694,-22.5455371053489,-28.6470659336112,-41.8348896415269,-28.0615966398625,-10.0704486374914,34.1052109169836,25.8386207660845,35.3924698972695,33.7934036042195,63.8151609112687,75.586814343577,47.6973482868351,30.9815876015282,101.4581743539,103.510027542741,58.6603381805017,90.8239593247159,105.147810922517,90.8618484528982,109.99258171743,99.6161498156726,202.118459230728,184.824972526997,267.439940887176,233.070715194275,294.300279986886,179.192705986849,174.590910279632,107.792090494665
"ExM",-59.3990271266642,-55.9441902511522,-83.966430743608,-66.6629115412186,-75.0810445439808,-66.1099012467555,-63.0732846171428,-95.3556824341772,-97.3156290673154,-109.178814253489,-98.4482314051465,-105.412971375598,-91.4360275810667,-81.4902260828509,-82.5062487778402,-65.5913838264227,-35.152004896999,-108.566265215744,73.7561718288161,107.326512343591,43.3693586257601,35.2214037144189,11.7721506968655,147.654129325702,163.446543716607,160.800806023925,228.503111457789,-80.5886555932464,-91.5403494665755,-13.5389769911397,-106.912901720255,-119.784671534577,-102.589741749041,-79.9325571555289,-81.1732944754678,-99.6241872980112,-69.5180829178547,-69.399372529534,-79.4254358978756,-79.875677352275,-65.7662372353692,-64.7524205089863,-52.1244195596275,-85.2222243739389,-50.825110622875,-49.4660360547194,5.75892364963405,64.4477274572082,-26.2174283897553,287.77622448231,252.336301083496,166.125399968844,187.28158966973,43.6510645703797,134.702644033924,38.6292290982708,4.46137508210075,-97.4792513956904,-93.9389008823428,-109.205650893379,-124.951982028186,-87.7182197315014,-76.0483564379916,-95.8709666122332,-76.2682733138611,-114.837720947361,-79.2877046470761,-116.148316087203,-91.8250314369887,-113.419901297786,-122.637365749603,-164.807285730936,-139.458520980489,-154.237966743354,-150.365996263383,-141.780700117558,-148.161332062936,-121.419815487213,-147.088295325262,-152.307252887194,-96.4855247924826,-141.053885407053,-182.118328075742,-81.3622636773581,-98.3302788391906,-115.214011164377,-123.03683673154,-108.52240741992,-103.142948457586,-156.124633614478,-134.576870759046
"IP",4.38636976575047,7.53079234663149,5.02947478914335,30.5740667424386,8.36433699251595,8.00707936382457,-8.71895011341292,15.8441093779445,34.9223360011892,47.3996119580081,40.8809408696923,43.2815141005245,63.4830394292817,78.362743749245,71.7351588972272,152.022031983633,100.196199942491,180.008545885865,-20.8843571879086,-14.7976792109183,13.9419479607757,-84.6522666670488,-78.8232660779499,-104.129755774329,-72.3641870050591,-111.07325569753,-139.805540302426,27.5334669053804,63.6671960809874,-8.53879356206183,44.2279299875849,77.2972996475269,48.5599698303816,61.4417199518753,55.0527469537236,60.8254482589485,-12.815078819157,-17.7465128987227,-11.5657955809545,0.162313352873401,-5.9141166930704,-41.5286767095231,-42.929348945042,-25.1326799432807,-46.2471439430473,-20.8752596170083,85.6969445886623,44.6938681121709,147.036085431624,-133.268863333166,-141.637621620763,-93.8526002778413,-119.88378660957,-111.051746631135,-135.52043235643,-55.0856510791345,63.6106595644524,-13.4895322590296,-9.33294745572621,-7.88102733969896,-10.6113741662466,-58.3450728943831,-46.5683930171513,-65.169577399153,-43.7683249378165,-31.6550193309241,33.8078711449685,66.7190080480103,63.3972225225686,60.9302298645096,73.0325333645369,100.285568629196,93.7071915002833,106.964132928612,194.970223108434,51.3356192827538,52.8923837604701,58.1074135125392,63.2863831369615,63.1129773904556,5.05608782594156,32.7869316063478,111.036785516226,11.1206581744833,22.9783884674201,24.6343239887398,41.1789574512585,36.083342861267,31.8020161248334,70.8395218256264,61.9535305677564
"ExDp2",-24.0251118188064,-23.6226491006004,-16.4949165361196,-33.8885796407051,-9.2477807860989,-37.3176432629156,22.3688559815294,-35.3270546083936,-49.0370493184638,-47.3425319336312,-46.7180576174491,-56.5724198089803,-51.0003606121841,-43.4297955459033,-46.2907131905128,-60.5392084327793,-68.1426177063676,-61.9940687922941,37.6373482171703,-56.1367692764803,-37.5434356594473,180.648604297822,151.075134882532,120.953336952844,13.2826880643204,82.7779503371165,37.4042885756729,-6.8635647835643,-53.7000020731264,42.8668324895133,-47.2775228801521,-65.0590298402138,-48.8086013758823,-37.3257243708989,-42.007194333254,-51.3152064614772,-33.1959843619279,-29.3561013210991,-42.0422266804685,-38.4613826464601,-42.6246066548227,-17.1134940131093,-11.985928901456,-22.8028543992253,-2.41947541826108,-3.22438283742025,-70.3952567217885,-79.8855024949393,-73.8143540864377,39.6191806466673,86.9556180719292,82.5476446922815,142.965806289529,236.195354190607,248.312482768931,139.545423445682,36.9091295235227,-48.5157601799127,-55.0243340565843,-45.620179846769,-59.2526323045958,-17.8236546994501,-13.8964233038226,-20.4676467732239,-12.7840878263359,-44.0832063694063,-9.12607606011262,-54.2551590232977,-56.9675633711297,-55.5561016346902,-68.9511342376898,-98.4320065588033,-76.8119171743881,-79.9340236980062,-81.4853806088922,-61.0191065485022,-59.5547099449223,-64.3380752376477,-66.9382943728132,-64.0577466359765,-4.54975723159607,-36.3424364077817,-68.7875512170625,-30.6947491607553,-32.750310787856,-40.3481948288219,-24.0092031810236,-41.7622137760518,-21.1432133071009,-47.1287859433971,-35.4217400592976
