"","Endothelial","Mural","U1","U2","U4","Microglia","OPC","Astrocyte","oRG","tRG","vRG","RG.div2","RG.div1","IPC.div1","IPC.div2","IPC.nEN1","IPC.nEN2","IPC.nEN3","nEN.early1","nEN.early2","nEN.late","EN.V1.1","EN.PFC1","EN.PFC2","EN.PFC3","EN.V1.3","EN.V1.2","Choroid","RG.early","Glyc","MGE.RG1","MGE.RG2","MGE.div","MGE.IPC1","MGE.IPC2","MGE.IPC3","nIN1","nIN2","nIN3","nIN4","nIN5","IN.CTX.MGE1","IN.CTX.MGE2","IN.CTX.CGE1","IN.CTX.CGE2","IN.STR","IPC.nEN2.nEN.late.1","nEN.early2.nEN.late.2","IPC.nEN1.nEN.late.3","EN.PFC3.EN.V1.2.1","EN.V1.3.EN.V1.2.2","nEN.early1.EN.V1.2.3","EN.PFC2.EN.V1.2.4","EN.V1.1.EN.PFC1.1","EN.PFC2.EN.PFC1.5","Glyc.EN.PFC1.6","IPC.nEN1.EN.PFC1.7","nIN1.nIN3.1","nIN5.nIN3.2","nIN4.nIN2.1","nIN5.nIN2.3","IN.CTX.MGE1.IN.CTX.MGE2.1","IN.CTX.CGE1.IN.CTX.CGE2.1","IN.CTX.MGE1.IN.CTX.CGE2.2","IN.STR.IN.CTX.CGE2.3","nIN5.IN.CTX.CGE2.4","IPC.nEN1.IN.CTX.CGE2.8","MGE.div.MGE.IPC2.1","IPC.div1.IPC.div2.1","MGE.IPC1.MGE.IPC2.2","IPC.div1.MGE.IPC2.3","MGE.RG2.MGE.IPC2.4","RG.early.MGE.IPC2.5","MGE.IPC3.MGE.IPC2.6","IPC.nEN3.MGE.IPC2.7","oRG.tRG.1","vRG.tRG.2","RG.div2.RG.div1.1","vRG.RG.div1.3","MGE.RG1.RG.div1.4","OPC.Astrocyte.1","MGE.RG1.Astrocyte.5","IPC.nEN3.Astrocyte.8","Endothelial.Mural.1","U2.U1.1","Endothelial.U1.2","Choroid.U1.3","Microglia.U1.4","Microglia.U4.5","IPC.nEN3.U4.9","IPC.nEN1.U4.10"
"ExN",-39.1487491060785,-36.0120776105854,-46.8911990600151,-42.2322875542343,-45.6227300825179,-13.0390485668174,-48.7986813990418,-47.5244605171221,-39.5013459678641,-39.4669130276736,-32.1754239749522,-40.1037835613497,-42.3465123160297,-21.8494729915713,-27.6250267558908,97.8892330765199,98.1014616604396,53.7949823576917,43.9764503679539,77.8831639762169,144.805692747956,-58.2254273940658,-60.8865332729641,-66.6725293953397,0.478261751684221,-89.210801386353,-52.8232923614903,-45.8923596574823,-38.2796976949758,-2.39238655456861,-48.7224943617283,-38.1966718088757,-29.6327895475118,-36.2948123536109,-29.6442129685263,10.8035578064789,21.6824682641643,26.548977453162,21.8377381987645,20.3254645797626,22.3687557327071,16.876543154141,11.8395327387474,12.3362047836355,3.2324975078841,24.7362993927435,178.104838453392,166.70221691469,169.679981124704,-42.9514049224371,-100.787499146732,-11.1561844698112,-73.6973075919343,-76.8415291708499,-113.161964021864,-21.7740936732036,93.9046648366856,33.5050353568386,41.6279420778239,34.3880883351295,57.3284866070581,30.0625809528679,16.9972494881607,33.8997849937456,38.8034363104009,71.6924308497319,96.1188822561237,-45.39918020187,-45.3155720223258,-56.95370226992,-67.3020444568557,-58.5180582520623,-57.9983855188637,-9.93408454641193,41.7118175010836,-54.6863253977927,-53.4747995548053,-51.9170053944668,-72.2306851351885,-69.1582336977506,-78.245417414233,-106.741122777789,-45.5553122478187,-52.9056209080906,-70.6960052298504,-86.923113981951,-67.0524020233735,-27.6728147303089,-50.9876518941362,-55.4133289721833,5.34694182398841
"PgG2M",-0.770263494567976,-0.125722960426035,7.27256372893711,87.2810278568912,9.16179494602329,-2.35919565864008,-2.47608707312511,6.78830115043309,-0.823997023608862,1.67152507774505,-10.1303945258314,30.9073300920809,75.8767338699043,117.472042362175,70.8153174202146,-9.87848070906418,-31.0742408222809,14.7907697760572,-48.305080001836,-59.5281000609454,-46.1360846876957,-50.943531001629,-51.2171848232708,-51.7172638350638,-72.0426354735794,-43.9334498736437,-51.0356264803865,37.0238119507091,82.5358811083267,-21.1304198762973,36.4593114297124,64.969831347195,61.1613923049261,94.9743143741825,66.457471547817,18.3711119889141,-39.9297397383073,-33.6453379951701,-30.1013382709255,-25.9689276117635,-26.2969779307286,-59.5534144651596,-54.3262934619944,-38.5284308077886,-38.1841910723298,-41.8099617553503,-54.0527649402056,-90.0514598272417,-32.4399535903275,-79.590458598136,-74.3783053490051,-78.5143212493023,-79.3698862637702,-70.7988181653421,-100.567191330386,-51.5063823184355,-62.7648812411201,-47.7734637770866,-48.4918090256102,-43.2958720165293,-69.6370775392541,-78.6164755922548,-62.1942682171551,-87.838928130215,-82.9923343770435,-98.5404407105645,-97.5515169082538,118.946034246104,99.5083545763586,116.217093565,137.093738386843,138.211334833054,124.816490401863,97.0867886829348,47.5233441296278,0.24278543916009,-7.94432952920083,77.2800469695114,48.2513581213399,65.0178584127235,3.54525830701913,29.8029846243161,48.8265277553457,1.63752441665748,67.1675810889922,37.9938550266624,54.8728217473672,28.7614363715856,23.7222207098406,37.1000076434658,-6.52220734352544
"OPC1",35.6319118912973,37.1146776971954,46.1527893530602,55.5917664295479,68.4104632978768,9.09918148049739,112.287680524623,87.446203662672,59.5317520861725,53.6871823632003,42.9586672565706,57.5546289926205,49.0424322973517,36.4292032246766,26.5249229886164,-41.5072209475354,-48.4249578494465,1.64425783806881,-57.8951515474513,-74.1446633855499,-71.2727156675078,-57.3567089492235,-61.3551805083971,-52.7786683256612,-64.7391069709643,-57.679946765087,-71.4231519655086,47.2807581758145,56.5873151119724,-13.3138540709987,75.295658750194,80.4324796615168,23.8362377498,38.6206943735316,21.0296317792575,0.474782641449062,-34.5240409827519,-40.0116338994462,-41.7734225167314,-31.5658440395548,-31.6781202627783,-50.7427105511595,-42.1756920916243,-39.714625148846,-39.3735905333102,-45.3374278590601,-88.3582985451566,-117.419365847691,-77.6883965413075,-97.0507109801975,-92.5829768156904,-101.104663267732,-85.7598287166977,-100.378266371879,-136.949007167314,-51.2142057630901,-89.636326987929,-48.2653791853663,-52.6811299203786,-49.6543936676722,-73.6724051169395,-61.7063553508862,-57.5736160695919,-77.3422911292341,-71.8987979148364,-96.6601944372908,-88.9781085767541,31.7171646640192,20.4829956630061,31.6086735384188,35.9898705282778,83.9830450761336,88.3866214296619,46.8107613425951,26.4985838177221,76.3731536074968,73.7988664039083,75.8071571628898,114.736491314916,122.507651587806,145.13484466554,193.974196571914,151.636188494149,59.2215309668883,74.4168357839451,88.2909084554333,93.0623331095578,51.424973423978,99.3354934449746,143.856923942232,84.7678857717086
"End",116.160443770974,80.9570213607693,74.2046003863593,35.7672587837061,27.5668920765671,56.601482782858,23.8895142402146,31.1409561890432,18.3122385853184,20.6180316115683,10.5729851511731,7.18669825805442,0.41669599270868,-7.28644978621585,-9.94536012733499,-23.4669961025077,-25.748319826456,-12.9933182347492,-23.3730150023824,-34.066238228085,-35.728099129295,-27.531350722169,-22.1490820845975,-25.7601803847761,-33.9565230875922,-26.8074711806902,-34.6056194992025,71.2372302508362,13.8036420988346,6.60771354398082,34.5904152501416,20.5859259696973,-3.38379857620457,-1.65060572423996,-7.38482914294949,7.14767351549813,-12.1155864459795,-10.7142977148412,-8.30981040834536,-7.44163006050063,-5.14484849737567,-16.687230634907,-13.6489275673225,-16.679062744738,-15.9554357537103,-16.767881231269,-41.5085406179796,-54.0313760486117,-37.3259313063648,-47.5155760437184,-49.0490766778367,-44.9074956581974,-41.6859511445971,-32.8964546000146,-51.6605339569759,-7.62550423823787,-29.1307231679368,-13.1503866069218,-11.6430169692217,-11.1440832525737,-16.9930559584746,-20.6138195078021,-23.405195655172,-29.7628551860646,-26.6042188338944,-31.0398533091088,-13.9291636940205,-6.993760211013,-16.1930245293351,-8.86392196366357,-15.8222282921008,7.68100365903677,18.3960261865997,15.8920030138389,-4.05201375668918,27.192493087117,21.911629355562,3.35590952566322,16.4415641774732,39.4308752519187,36.5089334755916,49.6295492164881,46.2596693728257,139.287299924719,78.4013847374444,153.413673500797,155.715725093441,135.46847524814,78.8399093656853,86.9982203565972,66.1965758562698
"ExDp1",-13.4818839537603,-10.8347504960285,-9.8217267390502,-19.162610823036,-5.02051988415222,-27.5921429942707,36.4835800963251,-15.6224257339354,-20.1433679093473,-21.5179395816801,-22.6312177738476,-24.6567823243553,-22.7764194675449,-17.5868558897716,-17.7956086172714,-32.674194708874,-38.5552838355216,-37.7838707676957,48.274708689069,-23.1986618252459,-12.0698518800164,164.775269470453,146.59623054096,132.102490311074,29.5050929600608,94.7536599573786,48.2957667489549,-0.413894341656402,-35.4666402546022,31.9343262336208,-26.8304247400764,-38.8248938147458,-22.0478175742921,-14.9227558417304,-20.1856472380369,-38.8763885207298,-17.493307813969,-14.6460293223497,-18.3758755360074,-26.7866587675873,-22.3171455369913,-3.42710462377603,0.451113218055473,-9.11700649431973,6.51684270054044,6.97269224311297,-35.5570215028328,-38.7515170411898,-39.4908522237228,59.4414916939531,110.733135860917,131.103015874537,190.728365954823,260.939180738282,308.040023242679,116.486041137045,60.6047181658679,-25.0722992304606,-33.5406296722093,-25.6870256123321,-36.5539920440789,0.00773068713529586,0.844184954210075,0.989676295521056,8.13268076130064,-14.8496326795315,27.7201518176146,-30.0555103875215,-27.629235394843,-26.6309739141919,-43.4469638998045,-53.3800758399113,-52.8333905449543,-60.4667521674592,-55.9863630124996,-27.5450558741611,-36.2239755193141,-40.0251096567886,-53.2557487853047,-45.3354738494318,13.0515090089343,-11.8354520503662,-47.4328395561152,-17.4101321649669,-19.1877984574008,-25.9896913675518,-8.720439212051,-30.2013537242124,-13.1794701723372,-29.5014880811491,-7.84374660988948
"Per",75.5055298054233,116.266511948964,94.4302618818663,56.0988686033215,44.385659106293,39.784140228755,32.0564357877845,55.9354885055278,26.8935923857029,31.0907563750758,22.9659236134029,21.7122471728031,9.61188708841409,-0.0731801989754235,-5.21800928772192,-38.6363012113665,-37.4085577322411,-10.6660638548358,-36.1427834190705,-48.6643963446935,-49.2826855132091,-41.116186807261,-39.6023729979691,-37.0149808280031,-49.5866685440341,-44.3754644579801,-56.6976843081276,74.1992677752776,25.9296865625691,3.26365752199698,58.1422978558564,39.1182247732685,0.684184064367266,4.64772300578248,-3.56147024383174,8.77467955775322,-24.1820311532463,-21.9729115940267,-15.6329842183281,-12.4379755432311,-16.3318982313872,-28.6738252272903,-20.8042244579366,-24.2690709621345,-25.018070216126,-24.7870929807224,-60.4269113475346,-73.9681594903211,-65.5382669736057,-83.1682406115316,-72.9598731673578,-65.5432268829869,-58.7756343042007,-69.1313189595248,-100.250963687746,-20.8531045568002,-53.0685901556632,-25.7375505498187,-29.9676376741016,-22.9916574571652,-42.2139146274956,-34.5606991857614,-37.4008292678948,-46.6435058771206,-41.0012469423542,-53.804285113598,-40.1905968571432,-0.833846044967219,-13.4862326012421,-2.88359063043298,-10.2407355232156,29.8511896025265,37.744053056481,31.8998942402229,4.50392654612857,40.3084812358778,43.4817071129875,17.5751220064734,38.7206808815315,71.8302772645087,57.2647236104152,82.938051925946,72.1870591910505,132.396219348089,103.462297073102,145.129679817876,162.845946527224,109.377124635833,98.6103487962574,111.255411568085,79.0429151598472
"Mic",58.4786990657331,47.9092967397848,51.2410535045802,38.6205986215857,29.5771312539133,105.298427173632,22.3669585559242,37.337456855219,22.651613184272,31.286501944735,15.5014696308086,16.0916076563593,8.36598740658563,-0.168113991152119,-3.99464981057552,-29.7331505606944,-37.4365187932351,-6.26418384283075,-32.2139108100144,-49.1983761703739,-49.7808529795265,-31.0522017851613,-28.402791083584,-32.419822823714,-48.704609763614,-41.3093467035147,-40.4998902191285,47.0820531646075,18.8197602203536,5.53871262259187,37.1227946632556,28.1776059719364,-0.0947189123227429,3.10039365694636,-3.38913268598427,9.09422029229528,-12.1379667784262,-5.17886299905727,-4.45433924566391,-1.19332548315741,-1.43136176793266,-12.33182282481,-11.1965406314498,-14.5051796909935,-15.4122433402444,-13.0442341891918,-59.7169118474798,-70.8766555424951,-49.0491254412589,-60.4274733622671,-64.2269422566236,-59.9784108770109,-51.6002559201518,-43.1700101009358,-66.6809128487066,-13.2397830787332,-39.4129139028863,-9.36811242961037,-4.33646971996815,-3.38575580927481,-6.46132796143816,-15.9034954351645,-20.8600774577291,-23.9196747188478,-20.0796067661782,-20.1232087276427,-13.2060361225894,-1.5537474846599,-10.3053282139006,-3.63469769962838,-9.1329541863929,22.1551117548667,26.5555558360612,25.3952387704953,3.28492844674864,35.9821119267918,28.466579590734,14.7539826072144,29.6667117773468,45.1147575609835,44.9564407827094,62.3081996882046,49.5404736386801,80.5100251767297,66.8223118855716,99.381816939435,103.087592958868,153.894478189189,89.3388813160727,96.995959219872,83.8154499418144
"ExM",-44.8463311861631,-56.2495498731985,-41.396345771615,-33.541121035402,-56.118399885831,-63.8587865139139,-31.9321635326462,-31.5552111597965,-29.4062821151157,-34.9071692147475,-42.0017578674318,-32.6986556188696,-37.1801624061483,-21.0689857883509,-32.2837882901656,-17.9907143606828,-14.3030675871059,-59.8270427798854,68.9443367293864,79.9205244299544,54.0821448040166,62.3582411946149,42.8327959888127,127.098568301155,123.523839462647,110.929700638454,179.357530596885,-50.4348941996328,-57.2373074413833,-0.938317243536205,-43.6893993755001,-50.4336955173191,-37.6849443090556,-33.4234877919872,-31.6340298941325,-54.4399163661811,-32.0982738425903,-25.3438474802204,-27.3011563932683,-30.7946084731248,-38.5823210035072,-23.0362567062096,-20.5815386125446,-30.3696425917263,-22.0064642381801,-24.5025119806447,31.0781690757079,84.0328658618751,9.01047772447003,206.54053770215,201.603021059203,180.633812846382,187.19781680847,83.7094826218616,156.182155236321,50.3784100576944,39.3886797847194,-43.1974975421835,-56.2155703516642,-38.5796733128745,-61.306946407356,-26.2030319897971,-30.5108042307638,-35.4154439242416,-39.4014726052118,-66.8726474795497,-29.568208649282,-44.7695727079881,-38.8409952579237,-58.0888976193406,-70.2202894597297,-68.5079234696609,-90.0396874415334,-84.6665464803431,-96.256267704286,-40.061898077832,-59.6206809009525,-48.6615642119913,-75.1471586959517,-63.4865345853459,-55.3884100999153,-79.538921108587,-118.834641082894,-83.0787688179625,-59.2383604186781,-98.8738114832057,-70.2814132601666,-102.10354889629,-88.469811202762,-122.077739222758,-98.2570712646346
"IP",-6.0903561848908,-4.6353772569909,-6.69230935693863,19.1403480792144,-2.37090270159214,-3.36255598453914,-18.8073926926686,0.764159716045424,8.57961354830079,19.8768450431178,11.3195869488915,24.9990511459307,30.8028404157697,47.3714661026854,43.5369487597885,116.258432805151,83.1841036489297,134.086102439013,-32.2363153181608,-21.8702869540337,-0.592261907611108,-80.35729228027,-78.1115221923671,-92.1497313557358,-77.8687152001819,-105.147512173726,-118.944637894439,8.97955204938806,49.2911358643616,-19.1405400192579,24.7008084438475,43.8121754427243,28.8192084704234,42.3732321165796,24.791627884792,31.0704911863693,-17.7579300884261,-24.312936976324,-22.8407730406968,-9.51044487165743,-12.6525899824752,-42.0965657147025,-55.0128954538133,-32.2202401531472,-46.5680352075991,-24.5704127435628,86.2643162635596,25.2892127919602,125.22938309354,-138.813894078207,-167.204949842116,-116.790018497808,-136.111574628595,-107.297574769708,-164.895226848247,-66.8363660105366,34.1542403140015,-28.2086483713081,-22.5201341661203,-19.0302142904835,-30.8750876187429,-73.2924721199631,-53.6160310208104,-77.9717858202219,-53.3265025415317,-59.0878304916797,2.87025245599685,40.3382651321926,42.3196772961533,38.1788001487827,57.4350264463859,70.3892482279756,75.7651651627792,67.0750821325701,144.081891561559,18.310028525926,17.4944059026055,39.0772213965954,37.9916752434513,34.9774825936885,-13.6802607476239,10.8117902264555,118.486996795203,-5.17847495095607,6.93741943818494,0.603455744323665,14.4692376502423,17.2170963559334,8.87793763888827,40.3717051274369,34.045248460991
"ExDp2",-9.51142391213094,-8.89511645488837,-6.56729062874259,-18.9033480768032,0.83952637454689,-27.0266181984485,40.1524015442104,-13.0796303377523,-19.3821486772649,-21.4366339376463,-24.4287592293826,-25.6452945999495,-24.0208289961689,-15.8502169835085,-16.8157443145194,-32.1483809178425,-40.3238117684626,-38.8741517454042,41.9472131061037,-29.8740216991492,-15.5058932944722,151.223713646479,142.339666073982,116.502676921225,27.6993348604619,90.3375474557612,39.1949413075071,3.5836570454964,-34.4913190498188,35.3036800749206,-25.7154048997592,-39.3890041072785,-22.0663061651051,-14.0954111421145,-19.7175600530049,-33.4338306070797,-13.081842319406,-12.8748847136934,-16.0902363905582,-28.5789664856376,-18.9066280906161,-0.191772373432518,3.55724475349378,-6.52158325670672,11.773528422741,11.0574500275207,-40.657040802268,-48.5643068001811,-40.2622551403653,52.2618366411833,104.554435347413,114.699988279453,164.489828285779,246.550069905795,288.744973677171,110.512087230647,62.3431924965029,-20.70964301052,-28.7019748081566,-23.9275790670872,-30.9666034975294,4.91306598057563,6.83733966366462,9.36448615612371,14.8883456848383,-7.99763162497353,34.7371819415413,-30.5823247745664,-25.8002570301432,-25.7705157406532,-41.6180236709922,-51.8805283758268,-52.5847778076009,-55.3261923699792,-56.3552131791694,-27.1474040347476,-38.2086416639051,-41.5335543929328,-56.4346799285169,-44.9000349467965,17.2069143499863,-6.87573062281341,-45.005354706988,-13.3306081308855,-16.9825075720686,-20.8085115773967,-2.67620673595511,-24.3310961316487,-4.85161899174697,-20.7902245977019,2.10045956646226
