"","Endothelial","Mural","U1","U2","U4","Microglia","OPC","Astrocyte","oRG","tRG","vRG","RG.div2","RG.div1","IPC.div1","IPC.div2","IPC.nEN1","IPC.nEN2","IPC.nEN3","nEN.early1","nEN.early2","nEN.late","EN.V1.1","EN.PFC1","EN.PFC2","EN.PFC3","EN.V1.3","EN.V1.2","Choroid","RG.early","Glyc","MGE.RG1","MGE.RG2","MGE.div","MGE.IPC1","MGE.IPC2","MGE.IPC3","nIN1","nIN2","nIN3","nIN4","nIN5","IN.CTX.MGE1","IN.CTX.MGE2","IN.CTX.CGE1","IN.CTX.CGE2","IN.STR","IPC.nEN2.nEN.late.1","nEN.early2.nEN.late.2","IPC.nEN1.nEN.late.3","EN.PFC3.EN.V1.2.1","EN.V1.3.EN.V1.2.2","nEN.early1.EN.V1.2.3","EN.PFC2.EN.V1.2.4","EN.V1.1.EN.PFC1.1","EN.PFC2.EN.PFC1.5","Glyc.EN.PFC1.6","IPC.nEN1.EN.PFC1.7","nIN1.nIN3.1","nIN5.nIN3.2","nIN4.nIN2.1","nIN5.nIN2.3","IN.CTX.MGE1.IN.CTX.MGE2.1","IN.CTX.CGE1.IN.CTX.CGE2.1","IN.CTX.MGE1.IN.CTX.CGE2.2","IN.STR.IN.CTX.CGE2.3","nIN5.IN.CTX.CGE2.4","IPC.nEN1.IN.CTX.CGE2.8","MGE.div.MGE.IPC2.1","IPC.div1.IPC.div2.1","MGE.IPC1.MGE.IPC2.2","IPC.div1.MGE.IPC2.3","MGE.RG2.MGE.IPC2.4","RG.early.MGE.IPC2.5","MGE.IPC3.MGE.IPC2.6","IPC.nEN3.MGE.IPC2.7","oRG.tRG.1","vRG.tRG.2","RG.div2.RG.div1.1","vRG.RG.div1.3","MGE.RG1.RG.div1.4","OPC.Astrocyte.1","MGE.RG1.Astrocyte.5","IPC.nEN3.Astrocyte.8","Endothelial.Mural.1","U2.U1.1","Endothelial.U1.2","Choroid.U1.3","Microglia.U1.4","Microglia.U4.5","IPC.nEN3.U4.9","IPC.nEN1.U4.10"
"ExN",-32.521074646519,-27.913390471165,-34.780100796285,-65.0261130133258,-43.5106605601908,14.9912085624268,-52.4240514660871,-68.6188197369801,-72.9863706326841,-71.8097806087568,-73.8125145042433,-80.9252222531544,-71.5095931094701,-50.9422029196491,-61.616778526061,120.378475442531,151.95387264246,25.6360612233158,86.4010740472908,134.856195764979,143.097375061026,-38.6471623713582,-44.6950570307269,-37.9861307005146,32.3097916815903,-50.9517167301102,-21.4782536964835,-21.4844808494811,-65.5515753941755,20.0680248401548,-73.4138244765287,-54.6048860018736,-58.025281308754,-52.3423511455132,-54.9632733069878,37.2563454744326,59.1533346776801,57.3979398499968,47.0722465191152,56.2246642228003,56.5040752059545,37.396453870635,35.3254032754942,37.3903172702608,21.0225551177204,73.674514100333,156.772885565417,153.058978152925,141.355338749219,5.14945333815797,-28.0699373844317,34.7450803744151,-16.8568200508769,-42.1912589571307,-33.5172591025679,4.43128406929838,92.4454591584286,54.4596621424054,56.6057499272806,59.7474627893879,59.3907028747352,36.6962223025359,29.8285631650627,34.7135134862244,58.2836082069406,62.0015603804086,80.1313996789537,-56.6704968594944,-56.9113693728454,-54.9272531834394,-56.3630414627983,-59.1241313539019,-62.9922194286297,-11.4554515803714,11.7212199206329,-73.3510113956744,-74.1692369000895,-78.9560061199512,-79.8172635698611,-80.2501698250177,-70.7810646278265,-81.6042577056361,-49.3407196798904,-32.816699551402,-52.2685870402877,-46.2620458308758,-34.31243913848,-8.46994848895863,-36.7766826817126,-38.9196240506434,22.4236734360559
"PgG2M",-4.26108889290217,-1.92198270238128,4.45959710557878,71.5684673528273,-3.4874171762119,-2.41006666412132,-4.36138812204051,4.84057183993661,12.3137661050829,12.3258707154659,14.1625118957125,46.3779798045029,87.7999859480102,91.0110480344409,72.8911259801935,16.3985525924386,-15.9328100800016,42.4313062950098,-36.0991442224635,-38.9058776902129,-34.8411921992051,-31.0827923941975,-33.084479282291,-37.9722882232785,-40.553489059002,-38.9515639330663,-42.3436751634728,9.8083401725551,84.2858207234843,-24.2237571026347,26.3668426787049,56.8657255755771,69.6435646511323,92.3451792887447,75.2390498899257,14.3086761362272,-38.1494540197345,-46.4855654650906,-30.0451758238101,-23.5171621387745,-31.3804086024208,-49.3385198742953,-49.6762276149377,-39.3679028631107,-38.9679130822906,-54.1209224476816,-25.9161280211064,-32.3831862112282,1.72995452548872,-45.3085786423181,-42.9324290347705,-42.625105067859,-40.5343573087693,-32.506627377249,-35.7800322427135,-34.4679899967335,-28.0054665861872,-34.835467803879,-33.642747826596,-35.5108868567885,-35.6355046301666,-50.9642925893894,-41.2754446906142,-48.1524361690244,-56.6389904927289,-48.9261680801299,-44.2395580259521,73.2464269004887,83.4786004024388,84.8381724588287,84.231582005133,77.8430712702699,82.183157943956,62.9017436865993,57.9324323375086,12.5823582176621,14.5007708235101,75.3486966770174,47.7577024040392,37.3837708944131,0.187372558015431,14.4637723687952,37.7843426921345,-3.05487658379641,44.5868372176414,16.8755762398801,14.3947862645389,4.10276121539657,0.203042788161339,13.935169096672,-3.4915924232718
"OPC1",31.3435312905503,37.989350952921,37.2610820755685,60.1384753897323,50.3783969911053,7.86093060168949,108.915986567636,103.161763987634,83.7253950256809,77.3476205471407,77.0432553470716,90.2905151379583,65.977075171757,43.8117211136292,49.4768410945999,-22.4168429409451,-36.1267284733678,23.0574451988283,-48.6805993261869,-53.0196616135319,-49.8406095935772,-36.0202006410214,-28.4309982732323,-38.6343584244885,-51.2456769635694,-37.0766292670328,-43.4344002343324,17.9876890903398,59.586086668856,-15.337769829088,76.5364032976607,66.1653020600907,48.2619068862237,45.6088814045601,44.0984052515496,-8.99562742823705,-37.4644799028666,-40.4913044144021,-34.2517739412027,-31.601610842694,-33.4990095271424,-35.9676188162253,-33.8236755798987,-31.6526078033602,-25.5853415884449,-41.6652953907555,-45.4840030045638,-51.9825833866608,-36.626990106121,-49.3537236207348,-45.2438303914937,-53.4697543420345,-45.8176168159557,-32.7339571253374,-40.6586514870528,-27.9457824386875,-42.2424182939124,-36.9695550996219,-35.8877066519813,-37.6045783886433,-37.3991580279314,-35.2941659456688,-29.0664395875256,-33.1024071064564,-39.5918066378299,-39.7752600334364,-33.2255269515194,46.3378322705567,47.2871624724589,46.727288552579,47.5846080537969,59.4479483347825,60.5806773977807,37.014560042899,34.1346605422658,82.2897902692857,80.4886436379495,82.3688776342765,90.1735815624691,89.3271993803719,114.475425652174,117.23861593112,106.482753498081,40.0347601177055,52.3965001218185,51.8983664794563,36.0286427761939,24.2210862208914,51.0401730753455,80.8832297312212,43.7426296407762
"End",116.450808585104,81.592576561874,69.1754748375145,41.7997232726536,25.1796193686516,59.4877613214546,24.0171203843214,34.6276051247204,25.0815502112771,27.9018013014724,19.3873721277361,13.8918940303374,5.79378438870093,-1.7114820354569,-1.92444687199036,-24.519055499653,-31.0195737823779,-5.38947980897997,-31.3737539673257,-48.5968465062326,-39.5622444852494,-14.3762242579711,-12.8636821243296,-23.2228929959781,-33.1718789226277,-18.5712362292565,-26.60266595814,55.9326826418972,14.2285623421734,6.58246293559654,31.36432250592,15.2961324724231,0.744374040927495,1.48868410568515,-1.34049499677799,3.0536476254174,-19.7765308746005,-20.1652687400252,-13.8069671252957,-15.0313739749007,-9.13494647550116,-23.3412739432063,-19.7000712373772,-21.6233259865222,-21.2281887362655,-27.8707396920098,-39.1882198863149,-46.3979299170403,-34.2046248153312,-31.4540944861299,-23.528119801901,-29.1374051210851,-25.809040628217,-13.7830162902946,-17.4657859652959,-5.9853115107837,-23.8063834590072,-16.8596909877367,-13.0077520644211,-18.2166438914615,-16.0705813193583,-21.8829289745549,-22.0435289228204,-23.4497652690754,-27.7953154674061,-23.1918884902482,-11.2781144592289,-0.288466811709179,-1.809932814593,0.730295454627071,-0.391327700683506,6.91373108017765,11.1274529513129,9.40443668334706,1.53478006456025,26.7621941797857,22.8877676372398,10.5061215901247,19.2625462881269,27.6467646530916,32.9000295994412,34.6122966951101,28.7616227302599,107.07580972139,62.583053255867,96.6574528549123,82.4841191671818,78.0738652487973,62.2955144863193,54.6168132939453,45.2141536242824
"ExDp1",-19.8762931208517,-21.8307901268463,-22.8151266037215,-40.178646583155,-24.1545083406681,-20.0858679881366,0.88536835095551,-42.1888938640179,-51.027076683552,-53.529106486444,-50.6826508029458,-53.8366885123968,-48.6255739656719,-39.9865334909745,-42.8544811068679,-39.5985004526314,-35.2079435762652,-51.7485822850602,57.7237151017573,0.171467458166879,6.63042622063211,109.358082324233,110.395538174741,85.8470584366964,41.4423711125757,78.6564628861252,52.0555679824979,-16.8462533192291,-52.6751110737693,26.1374453895822,-56.8701382966226,-64.0817935306447,-44.9791162669689,-41.0442234932803,-44.0590106316751,-60.0836058833828,-24.7661462309103,-24.9792461848369,-31.0403713842996,-38.7884872672537,-34.7286505931282,-8.19796056786916,-4.86033243930016,-15.5487069434558,-0.677527400085898,5.54576863148633,-18.8847380844553,-10.8322644813855,-34.5488141554344,50.6916038405729,71.1380503874891,70.5743189588779,84.7131418439483,110.418064206322,104.40441502083,71.4536210459402,44.5859362693622,-28.9526818713729,-32.6970524709718,-32.7184516127688,-32.5619437389747,-6.5739491620271,-7.21395304292552,-6.91410512079218,-1.25685231442263,-16.4143172566075,0.364668766862786,-44.6636850917194,-42.5549791172826,-43.5190547079888,-43.5036768849397,-54.6884596881323,-54.866121041107,-73.1023514438782,-65.2844991042816,-53.0229753905778,-52.1507414621742,-53.4585607955464,-55.7254685753913,-57.9060183978835,-20.5123176635359,-41.9436391428272,-61.0379058019972,-22.1938298857123,-33.1643118490941,-29.4820576453596,-25.6524155948042,-24.7961672279374,-32.0737093661371,-47.8288568982832,-42.8339384692901
"Per",100.007130747713,134.584852773746,99.7375481537793,81.1882777732021,31.9575786335999,47.7909265516029,42.136475005957,60.629302744026,48.6540851902352,50.5468670192744,41.6251780712192,40.2020403505394,31.6422456166038,14.5868082749705,17.4434686693003,-27.4142211397371,-36.9752538691867,5.45070812772576,-49.407381678178,-59.9885519012688,-52.9631632744616,-24.2641890864578,-22.3402676735251,-31.4715053298259,-47.0139406846913,-27.4908552698087,-39.5122775290101,60.0700987289549,36.2953660532799,-1.59484876442898,59.4013105573929,43.1498381284937,20.115197790675,18.3157575058739,16.5097122603405,0.066376125211197,-25.1839598644376,-23.8522669220323,-19.5146560189512,-16.6411086494017,-17.4096374033668,-30.6546419625743,-25.3897823327858,-29.9039256135427,-29.6670479378839,-35.0085282301286,-48.257467631782,-56.0253287822931,-38.9059195570198,-45.7955544510147,-35.8026891199033,-47.2731811684507,-38.194194161945,-23.6921553202642,-29.5265120572722,-18.4734984327295,-36.1987892256157,-22.7541456745301,-20.2166959307285,-20.9220764108933,-21.0444469194145,-28.4597883136173,-30.8828247967141,-30.5254568561085,-34.5389528358356,-28.3749269816769,-20.6694194432794,18.4876519843202,16.5581632274324,19.0068537074339,18.2534268443052,32.389055601782,35.8868701747522,23.7923941114231,15.2977360344528,50.7067994099336,45.8530086238505,39.2632279458662,45.8009058191906,56.265390679179,60.0967480321861,66.0988318193462,57.3718584736734,127.878431138209,100.317546089489,132.161390996028,105.421471102506,82.9106432449126,65.0614173716297,71.3014307166088,43.4383030835957
"Mic",66.3441093883754,65.1619022446714,64.9233503430875,53.8663367818493,27.3759146512529,105.084530685832,32.7345677140546,48.8766685525835,42.0702728641717,44.0291229207855,34.9931258148693,35.6610171064937,28.0491319136657,13.882804441176,16.7196184470378,-26.5131066528517,-32.4592782602142,7.91013587092256,-42.7538316265323,-48.4115416216314,-43.0126351093297,-23.2813152392858,-19.8458458778281,-36.2112641045913,-40.9180384779023,-35.7723993137959,-42.2213138655002,29.9057111696038,35.1904676385671,2.16284929446243,48.243820969331,36.8568964516623,18.1431489440909,16.2569883065205,15.5491228883572,2.00592307512179,-16.2622944540604,-12.0734505387993,-6.78464683927561,-7.20952210300791,-7.47072470601915,-17.7854395856762,-14.8244541273886,-16.1277751823226,-19.797322076221,-25.790062103964,-39.2249447212861,-45.5254333652103,-37.4175087545271,-44.5404562914953,-44.2578982210154,-47.6615717612685,-43.1646234783617,-21.9955337317602,-30.2817227739819,-12.8971597594975,-32.230789654748,-11.8422871382752,-9.7698360091086,-10.0384784452171,-10.3370787120168,-16.5762542870936,-18.5511440472224,-18.5510857268767,-24.4194507588999,-18.167970096719,-9.70483856023699,16.9424204064029,15.7351072982486,16.913193645725,16.7051521150276,27.9194817139922,32.5957753581261,24.4671971114331,18.5504209686886,43.3745717041411,38.9622249646149,35.0790057017448,39.5367833384051,46.0331672465254,46.2487391793214,50.046202932192,47.6029606097759,70.6806367598903,65.5981065857147,77.8977176476938,57.1922215425357,99.5780059209738,71.826296144446,69.6265303690233,55.6478191200725
"ExM",-43.2944444414587,-45.7943893459923,-51.0223391136407,-67.918349146019,-69.6953029480402,-49.5354437042773,-52.1595099969478,-78.6549261857038,-97.4844857313596,-97.3197481614912,-93.2328599861568,-98.5529002262069,-82.9010642509995,-61.1506144199465,-72.6980243205911,-50.8993003437064,-31.6340521290957,-107.374151281467,62.5726772236185,74.0951906349114,34.7631011677204,60.3757688507052,42.3038921279352,130.594420661579,131.051111998462,150.126692389318,156.170515443908,-52.0339570811691,-96.6696077520639,-12.3353678004941,-100.666928948171,-103.894115324901,-75.2042052950743,-63.1869660444898,-71.0561447252656,-79.8994922117835,-56.935194955732,-53.4482199649368,-54.4822839757033,-51.5343789138999,-54.4383968588816,-46.1053520161697,-46.1674457839592,-52.4576655776261,-37.9771264142339,-47.0736055117903,1.26804990889475,37.2492133801149,-18.5768330815182,158.494717309034,164.467844947886,120.945599545332,135.653113430892,53.5465485433347,98.0034959335698,24.3577749589297,0.368093268560403,-56.5679561469264,-56.0536512379221,-54.106040079568,-55.5147924522157,-47.0453090282341,-46.2839570619757,-47.8161352199619,-50.3196607561905,-54.668094155882,-53.100882301685,-73.6301981715595,-68.8331961626142,-69.3950561683731,-70.4771611909743,-95.7774717869672,-99.6476578906467,-108.45553498876,-123.786721280806,-99.0595425673098,-96.7808305850184,-95.3710226106998,-102.144334857432,-105.784532189475,-73.8740950234142,-99.9045140927207,-132.770481160506,-47.0203396145154,-62.7203982451684,-61.4584278793843,-61.8705334862778,-61.7362664605298,-78.9357888762012,-112.49222429698,-103.139389608001
"IP",-1.50575040489867,1.40211180685023,-3.69767826665235,21.8495437220438,-1.81851189158133,10.1446028554585,-14.192214915682,6.4618977004751,22.0695243128166,32.9890292493982,24.9994927419609,36.0933073859211,42.5704834992172,47.720740131608,50.4868588416635,131.942929605745,103.92814193938,144.863563766073,-4.20266444737499,12.1266032655802,33.8154308911585,-58.4547047106251,-58.7420834765142,-67.8494539776298,-42.6145274115223,-69.0596116099288,-68.5231373552159,8.11096066264415,59.255529210805,-6.69713182250117,27.7951728064446,52.0728740964656,45.8542240187108,43.2426563582568,44.343664518908,36.8564189645445,-8.26897959232751,-11.6730597847678,-8.02852812388943,1.47916459037091,-3.48138445498002,-33.150869797339,-35.4774760725819,-18.4132786583636,-35.4959104786802,-15.0514616917157,81.5588197602313,51.8351052953092,115.841899150441,-62.0909886469442,-70.2632321328142,-46.7921889102479,-64.1232206921577,-59.4672350911145,-63.2214350575461,-27.950725296674,46.2125502253323,-8.19094550002065,-5.7419814890811,-5.02852974356596,-5.68933246170166,-34.8538219594143,-27.776750176548,-31.7001899906792,-23.9075438846779,-13.7679708635389,21.7838994496077,45.486641982884,50.7491016507771,45.6255381076279,48.9330246322652,55.3038521872679,58.5328592477978,57.6224986089223,125.223985310513,27.9128792220742,26.9121267784057,41.7974013770194,36.9628340113251,33.320952315742,-5.11151875616446,14.6868921194162,77.0962578880949,-0.180829374918951,7.57491948841034,3.62930021987821,7.52052437310576,10.120306864037,4.66577883895339,34.7757766466575,33.5502340779931
"ExDp2",-18.863848108041,-21.6761458557766,-19.1868090976877,-34.0481394127175,-18.7644238413972,-18.6844676693295,10.1632474650567,-33.8189616651023,-46.2224921078553,-53.2191310981871,-47.3650091015531,-55.6457345479075,-48.2534883732311,-33.0546113302547,-42.7405149210639,-36.3031639962615,-34.4559773948755,-53.9256373186088,41.2542500702969,-11.9323418394973,-6.14630690293033,107.570038901879,117.513622914995,86.1476553488101,32.2975080572657,85.4946660280767,44.5414580365949,-10.4979541494155,-54.9775204100281,31.5763565307139,-47.6035177211874,-60.9589789972973,-45.448485752144,-34.0215455897973,-40.9989486383513,-48.0709246096933,-19.5837057519634,-22.5427591178919,-27.5136776415283,-31.4920609049343,-30.2970026054306,-7.99022606786273,-4.73484356573745,-14.1015445041648,0.752322531534304,2.177853196422,-25.1159490576539,-20.4320899049977,-33.3898008931049,43.2010226738174,73.4371299373833,62.9282746012424,81.8538027858263,113.597207867518,105.324111511971,70.1668208128667,33.2276207557598,-23.7722520614256,-27.5783969978165,-27.7428498492541,-27.4468618852541,-6.40400924939072,-6.09100559443999,-6.40377493820733,-2.67354538098831,-15.4960896787604,-0.909534188096417,-43.1736555814254,-38.1534243595432,-38.294434284236,-38.9009444324217,-54.2857787648764,-56.6958731080524,-66.6393666535032,-67.0248804241951,-50.2016631059072,-49.2279875924471,-57.097198673391,-57.7914419687196,-53.8374984657606,-11.2891267517274,-32.065595210135,-53.7623491688969,-21.9920839589027,-28.1050929647693,-30.3113287913307,-20.7790391606414,-22.4697127817002,-27.6438298141487,-43.2070706644846,-33.3296239676086
