"","Endothelial","Mural","U1","U2","U4","Microglia","OPC","Astrocyte","oRG","tRG","vRG","RG.div2","RG.div1","IPC.div1","IPC.div2","IPC.nEN1","IPC.nEN3","nEN.early1","nEN.early2","EN.V1.1","EN.PFC1","EN.PFC2","EN.PFC3","EN.V1.3","EN.V1.2","Choroid","RG.early","Glyc","MGE.RG1","MGE.RG2","MGE.div","MGE.IPC1","MGE.IPC2","MGE.IPC3","nIN1","nIN2","nIN3","nIN4","nIN5","IN.CTX.MGE1","IN.CTX.MGE2","IN.CTX.CGE1","IN.CTX.CGE2","IN.STR","IPC.nEN1.nEN.late.3","EN.PFC3.EN.V1.2.1","EN.V1.3.EN.V1.2.2","nEN.early1.EN.V1.2.3","EN.PFC2.EN.V1.2.4","EN.V1.1.EN.PFC1.1","EN.PFC2.EN.PFC1.5","Glyc.EN.PFC1.6","IPC.nEN1.EN.PFC1.7","nIN1.nIN3.1","nIN5.nIN3.2","nIN4.nIN2.1","nIN5.nIN2.3","IN.CTX.MGE1.IN.CTX.MGE2.1","IN.CTX.CGE1.IN.CTX.CGE2.1","IN.CTX.MGE1.IN.CTX.CGE2.2","IN.STR.IN.CTX.CGE2.3","nIN5.IN.CTX.CGE2.4","IPC.nEN1.IN.CTX.CGE2.8","MGE.div.MGE.IPC2.1","IPC.div1.IPC.div2.1","MGE.IPC1.MGE.IPC2.2","IPC.div1.MGE.IPC2.3","MGE.RG2.MGE.IPC2.4","RG.early.MGE.IPC2.5","MGE.IPC3.MGE.IPC2.6","IPC.nEN3.MGE.IPC2.7","oRG.tRG.1","vRG.tRG.2","RG.div2.RG.div1.1","vRG.RG.div1.3","MGE.RG1.RG.div1.4","OPC.Astrocyte.1","MGE.RG1.Astrocyte.5","IPC.nEN3.Astrocyte.8","Endothelial.Mural.1","U2.U1.1","Endothelial.U1.2","Choroid.U1.3","Microglia.U1.4","Microglia.U4.5","IPC.nEN3.U4.9","IPC.nEN1.U4.10"
"ExN",-34.9310665316138,-30.5537229284813,-32.9287964559338,-69.4155017715024,-38.5681523341679,17.9366768887979,-53.647153604099,-68.4685246045392,-78.02379058867,-80.6970897814285,-80.0058435090555,-87.3720569890449,-79.2093145237241,-53.3822486900773,-66.6952220082048,127.027634507012,35.1504008193483,79.4501957543811,120.136236067424,-41.9547222163094,-51.2921952234182,-47.4131515737817,29.8978828557879,-57.2590097744893,-22.1189689295753,-16.9864817806954,-69.9411704864456,19.3943588330227,-79.378394087672,-58.5574519355389,-62.7694209436567,-54.728077103767,-59.0606730596013,36.2948946954709,45.5606253557794,51.2604252532278,39.2591246047328,43.6606945157145,48.7219981131261,30.3948618278736,31.0994213930814,34.6473922057532,21.1391363375091,51.0839939346425,144.627784325076,1.76270154231697,-33.20511478443,31.4872199870066,-19.4892500417033,-47.2023834520109,-39.2444305694371,5.0593427100069,94.0194317632967,43.2810816333789,47.0005161501928,48.7177247215032,48.3257725945446,31.054191613832,28.196214075589,30.7275020350787,44.6786448142206,48.5643136276137,73.2915812926095,-61.3223103056167,-60.8703186741938,-58.3971622711529,-60.217705431304,-65.6288348329307,-68.6430922282637,-13.8894800696814,15.1649252251198,-80.4482763716496,-80.9619845466258,-88.5161299978457,-89.0810571531864,-89.1427178878938,-70.2324977943549,-85.4302675114646,-55.5051691783838,-36.2298383183245,-51.3315097103547,-47.6906297847138,-31.0239501970399,-6.21562910552354,-29.9756943873512,-35.2283818016354,20.6820868264757
"PgG2M",-3.59992992208087,-1.38174427850389,2.99582552594678,73.0104431726391,-2.93950683233872,-2.51766787336243,-3.78967101586675,4.50089983888458,10.4996101782591,10.3056061522882,11.9454049658338,39.0267684476544,101.960264142741,111.997755947729,102.510255685566,16.9002045188234,54.7751767888272,-33.9111943187331,-38.3127544491835,-32.3908093691238,-32.1444761762681,-41.8329575666544,-41.6709787159986,-36.8802729020104,-38.5370860142356,9.52296271103262,97.0000738718261,-18.6759804067459,21.0235164446547,62.3825936295035,101.930037438832,110.010738814774,103.587117175713,16.4538921906436,-31.0517052087558,-33.1986661608979,-25.1599946254966,-22.4634198230787,-27.6932951211563,-31.7458740081328,-33.7072789434023,-30.5454718027386,-32.7022364156274,-36.8306050721725,-0.672341176208748,-42.4164813384429,-40.0644610165832,-39.7485490263455,-42.2206376453037,-32.6005169200682,-36.639712577131,-30.0544868517169,-22.229862976736,-28.8682801729156,-28.8736332262149,-29.3086408990858,-29.6656851179991,-33.0618793522663,-32.4161322159759,-33.750353950758,-37.6848397273406,-35.3709915378566,-33.4419198686322,104.242206485068,113.330632002241,111.256581203008,112.861106306645,102.341183964071,102.689140758943,78.8586285464047,73.3072904551932,10.5983586136195,12.1699518649412,72.8536317533885,38.612783192598,29.054068358765,0.662743713579927,13.8169344867961,35.692285608912,-2.35293751389693,33.1137320139367,15.3193465294187,12.9258645143737,5.45558930805397,1.12978018651151,14.3203388935598,-2.16265144396691
"OPC1",24.1982634748485,24.3783283568281,28.1640263381093,43.7682381642788,54.3093448809761,9.44244500048828,104.383349513098,76.0245989365654,60.0664892396942,54.3685480147694,56.1676617202514,62.7077880046095,60.9364690036044,44.7809768384699,47.8836198207506,-21.8414971120809,24.9634473260599,-63.5551109547871,-68.4513435702972,-28.0820392381602,-24.6281582606444,-42.1801606047636,-51.7683263406412,-41.2746015829719,-49.6730778739844,20.2261426836783,57.0827741564262,-12.7113586327479,57.664371250563,56.3901118738598,48.8356563997885,47.5688232337068,45.4289573082176,-8.74854768817309,-37.5766109691857,-35.2837052843519,-33.5572659711411,-32.1365218124697,-32.8125234191042,-37.9554345284734,-35.191323814542,-35.086880006885,-31.092720943518,-41.8355278069997,-47.0573263330259,-53.4385744821472,-48.6933012492495,-61.8330805247045,-50.8333210238765,-26.8337750524589,-36.5249467272907,-25.0293306943187,-43.7068576325113,-36.103881999386,-34.8355497179961,-34.8366669420924,-35.4683768716805,-36.9669829616638,-33.6705612128192,-36.4232898878534,-42.3498364278985,-40.3210369271632,-33.8395736524229,47.6424624927959,48.1073836712001,48.9263926522844,49.1366673150891,58.2427385674852,58.5373692835639,39.8867392916318,35.8939172431123,57.8013469511195,57.4270228183817,65.9958690144883,64.3908394427626,63.8072776016315,98.9986319111239,89.9224246478629,80.858871598373,26.0792321766967,36.7024188768157,34.4852704091139,31.3871325671051,24.2050501528998,50.8073999332381,65.9449067727915,40.145109173295
"End",119.936941660088,96.7337533843803,63.7161648550188,50.8943234409191,31.33473846891,70.6647101116063,25.3272398206454,37.990035414448,24.7255216700551,25.4582354959675,17.9725318589605,14.4058123542658,7.76408743729268,-2.09980981805435,-2.36197905448742,-22.6266448114602,-6.19463996200393,-42.0436161987221,-45.316001685564,-16.8006585178114,-14.6087520983958,-22.9824052912704,-38.1275745366255,-22.1160217287916,-32.7216894923966,49.3718045813043,19.3631913339842,9.58110984618236,31.3564466402948,19.9095821274798,1.43299651236347,2.42084679922906,-1.57139248616708,4.29482901077622,-15.1625569865436,-14.4077420721098,-11.9179553196335,-12.2700614970312,-7.04733629294843,-20.200973753598,-16.7472791788311,-19.9584693148013,-17.8678186632746,-23.691730133987,-34.8003608116522,-37.929879160735,-29.0589042236445,-40.1372927357295,-28.3899954315295,-15.8448823039053,-19.698259701921,-4.85403816471254,-24.3698231803505,-13.6898826078153,-10.3075093807439,-13.5814360740049,-12.2802430855608,-18.6224466024894,-19.1514580060825,-19.636397670947,-22.8461286009564,-18.1198964150849,-9.07193243749374,-0.00808033475044486,-2.27060439399239,1.38659294126393,-0.243557366566242,9.90176263899054,15.5402092210743,12.6103211322706,2.24328891150017,25.3299785803464,21.3654803922513,12.161633080176,18.8407016359615,27.5853199022856,35.3733967080351,36.2868950597421,33.911763802864,122.780626974963,63.5388466307288,107.308191358822,86.315243278949,88.889617285638,69.2001317895767,62.326872824486,46.7029926348654
"ExDp1",-22.0081443322239,-26.3495056463081,-17.7416881594194,-33.6436889000574,-26.0315028414152,-24.0556137781258,-0.049988741144776,-40.7949932068053,-52.4616497527111,-52.672092639098,-51.4734114283831,-59.1896728325828,-51.4820685626935,-36.1796671688607,-44.160294113962,-36.561178941632,-65.7400537146728,55.6816374692579,0.976498564141866,109.454569571822,111.035623443404,116.466214511304,48.8449946796335,95.0428334471914,60.6229574321374,-14.2624050993259,-57.3763323743452,28.1322713716538,-60.9336599033629,-66.8629341273406,-44.6559717005253,-36.4715178314618,-42.3324616470438,-63.9629064845121,-22.133535284521,-24.3491649427214,-29.1343771257992,-37.1358799594835,-35.515749747261,-6.64997291858992,-4.70041908805241,-13.8839377440952,-0.0585304185023058,7.65406946775835,-27.3502273012534,60.3168511824074,85.4852521441531,77.9520447655861,106.704688982175,110.978540153407,114.228182541613,80.1769680910789,40.8839684998516,-26.446316471711,-31.5109197684111,-31.6937123318456,-31.4294304972376,-5.7447066639076,-6.58393200856358,-6.2340314620068,0.171404593052364,-15.4487983164797,1.56842051440832,-43.5892690484928,-40.805102941246,-40.13225224488,-41.0744757196059,-55.7922609726947,-58.5026908998175,-73.324138739167,-81.7048263367803,-53.4068265190806,-53.0925889745777,-59.8404061407479,-62.0088690648841,-63.5041891454387,-23.8410132365954,-43.6115716482613,-65.756178210758,-26.0185025496574,-26.576842584717,-30.6145600310816,-25.0909738661411,-29.4219258283672,-32.7065933243811,-49.3926595601401,-39.7550490958061
"Per",89.5238505469322,139.478173908843,99.0893542954549,84.1167587274914,36.0409422348282,52.0540967813559,38.020506651477,52.9546722574552,41.6554163467337,41.1545257710557,35.1070346021631,32.8545797176983,25.7887648441351,11.1999779259677,13.7739896166184,-26.8417593041515,6.01304221950519,-48.4474385573032,-53.2213205627659,-24.8802978205,-23.1314389256922,-35.7481561970168,-45.0394825401114,-36.8014058915016,-45.3057743707998,43.9233298057588,35.1017548066257,2.98439963960379,55.8686867477508,33.4424923669401,15.5253737199636,14.2920373772361,12.4706588188723,2.34371711058848,-27.6476327978731,-29.2543632685019,-21.5626343861382,-19.0320201226568,-20.0289403994699,-34.0013441083627,-29.4709408401935,-32.2032041572788,-28.0929168201299,-34.7804497232157,-42.1995811786113,-47.3375733227948,-43.4901910111088,-50.3479007156973,-41.5889765547983,-24.2964650337156,-30.9142905683898,-15.8571210568178,-35.8181533077567,-25.0776520499637,-22.899237693895,-25.2416318714854,-24.6955825019957,-32.2912101042092,-30.4685278254072,-32.4426101080004,-36.480109899048,-32.0774540614954,-21.2816511453301,14.1129641628115,12.8980549452244,14.5873475019312,14.1420079418815,25.6595011005461,31.1300637834012,20.9505778159624,15.7646524442212,41.6869694057647,38.272062789079,32.5273280780531,38.8888089332299,50.7891431068126,51.2845064382686,55.5901852994981,49.6189499773615,121.445561343816,105.614788017587,124.935073680766,85.2239069311635,74.9100832798984,61.4071251845162,61.0316892747912,38.7714491369063
"Mic",84.4900697934332,66.2173615058356,64.9834973535979,44.68764888039,35.9326690243577,139.859881017773,37.1450743109887,49.8610214289734,42.4571353435305,46.5687886967117,36.6440231621756,36.2207914561301,25.5770475913975,10.3667965853494,13.8069488464623,-23.9898797114777,6.22364371407136,-40.0007790326192,-67.0422218192436,-21.1406803944965,-17.6332755706702,-36.7875602707411,-56.2407690892476,-27.5472304917821,-43.955475794996,43.6180835231064,34.3081061376003,3.17873988350856,50.5816396293182,39.484609318191,15.507295961026,13.2609794616464,12.5022116276048,3.92680938989075,-15.4612294854474,-9.81662775004134,-5.38867776392795,-5.38200286810039,-5.38304083570316,-14.978440682101,-12.9918389155109,-15.4469758656555,-17.7845941499058,-20.8536708842893,-41.6038942697764,-52.7601914781387,-37.9110350869017,-45.9096521346659,-41.7510805373809,-19.6463119743076,-27.5923628213501,-11.2499041644648,-31.891080933949,-10.2749296200384,-7.63953887343928,-7.86734187045491,-8.06613980812338,-14.2447947736929,-17.1300657934512,-16.566030294214,-19.798224890164,-14.5020762398635,-9.75601058002109,14.0553136143161,12.3010541903274,13.8974103123162,13.4600290254574,26.8937936645184,31.9529487273742,26.4174886595767,16.4649471496382,44.8512844308661,40.6200330308563,33.7482339235651,41.1003179296922,49.5101263029829,51.7100182420175,58.3549721565328,51.3771826918261,83.0696342584995,60.1240827760425,84.2371589620591,72.0360465942855,118.540861279424,84.2810680183539,81.0498384875459,55.4639052240321
"ExM",-49.8840913997141,-63.0560027761249,-60.321995245346,-76.4861509093961,-75.830622029841,-60.8310079346366,-63.3346303942537,-85.07825554409,-97.5476038782801,-99.7621822520962,-95.5568113387016,-106.763279908313,-87.4170828186089,-63.7461808950415,-70.7036899051972,-56.9284832236517,-106.333312829341,77.4541325975071,83.4421249590096,52.2971538533254,31.1035465680345,113.202569251336,121.705330469178,118.616720747812,142.894903582528,-52.5385489684416,-101.554598630952,-15.6315214306687,-120.732663438656,-129.454611944928,-79.2217021869769,-65.9201932649272,-76.5441553594494,-98.3773060115839,-64.382720192882,-60.2124025164833,-66.0382737487868,-65.2329894141553,-60.1357794771438,-46.2063111352504,-44.2612783446936,-63.1121971664006,-43.2343443543121,-43.3605319513844,-0.501873765054453,142.388786081446,136.019367845201,132.429696159487,124.323841708386,42.242893427906,80.18698563209,16.7279589609972,9.1509221056687,-66.8563984188772,-63.951379107737,-64.9922875958852,-65.1933728447159,-45.7954611342751,-53.2827736327539,-50.8034291682365,-50.6409543724648,-59.2982641780254,-48.1626346206385,-78.106458814705,-68.7173344579926,-72.1947891302222,-71.8029798035816,-105.478530493281,-106.932337278558,-134.87870537066,-130.237859389162,-100.386580816693,-98.7205274357964,-102.620976134032,-109.990423505033,-122.204431647437,-81.2740445660764,-112.155402844184,-154.383631088585,-61.9436212469604,-74.9070517885595,-77.8481407867191,-69.2585867093386,-74.5273061531309,-92.6592734310809,-127.086903699769,-107.692779625311
"IP",-1.18605484577544,1.8918864236811,-2.72460606921311,17.2416950984531,0.931204476566661,15.7231667468213,-13.0199573893153,5.85231102023584,16.6163774712911,25.5629868340077,19.970053866514,31.0995343652112,31.9738587231791,34.4689252943291,44.1202868316594,127.995325156904,127.471603126702,1.57843094243919,13.3897291795977,-59.1923277915605,-57.2431743241491,-76.606600312986,-50.4534699667988,-72.3785749747618,-68.8635346045237,7.12415128240575,43.6401647509663,-2.29001054263876,25.7142769373655,54.1804418159531,40.8946478711998,30.8197694241253,36.2721884849829,47.9556074716115,-8.45546602639726,-12.1852789494449,-7.57212300241136,2.4710970013633,-2.9643517359782,-30.1215053496809,-30.1425073863705,-17.0472968135393,-33.0143694665526,-11.7303684480084,94.5541385268466,-68.2939427128662,-74.5895428318612,-40.8307573051062,-68.1948294004517,-59.0443121765984,-66.4391133782482,-30.9680853395045,47.479536576037,-8.04836039664286,-5.44418593196626,-5.48390538289956,-5.76679214009696,-30.3376985514003,-25.9640766554056,-28.3848272135069,-20.6248332775877,-12.7384130048252,23.4032080984136,38.5059404862626,39.2950034213802,34.5039456524603,37.4476363163891,47.6810673975587,46.3247126039573,61.7855175009966,112.605169552996,21.1556172089926,20.8786039057668,32.8822791984459,28.2486050175027,27.0837818540476,-3.01932477424339,11.8256582544761,59.6682539118896,0.307997841369041,7.00594578094173,3.86993776809344,6.47893500423437,12.3880462349043,8.16504407569355,33.9241721477376,37.9499677210678
"ExDp2",-17.6267803993171,-21.3286051029586,-24.0199596073358,-41.3017901262311,-24.6872637037467,-32.3007815260798,12.0164992748894,-31.2388872675471,-38.6009029538378,-44.2335368503239,-38.9803114940815,-48.6349762068492,-46.1660972022917,-33.178399572762,-39.3727672031464,-40.5389549021175,-52.0437881117522,39.8326966938173,-11.3719283118856,104.093525143042,109.646984099125,94.6871113308503,39.603755045846,81.754178369788,49.7624355673273,-11.2667036630662,-53.7033115919532,27.6004102980988,-45.4448563278327,-66.6051753655938,-43.0861863130895,-34.8108117573257,-40.123857326316,-45.3878010937708,-19.8590293339765,-20.7990645884218,-27.1120761495165,-31.6295524925148,-28.5090883733517,-6.87514140873752,-4.35174771154374,-14.5620292827109,1.47832239919851,4.73296050402448,-36.046069782279,49.6762299683942,75.0328433468945,63.2229789616423,87.6061849551687,107.615563992657,104.376505383183,73.6501036639476,40.0570041426549,-23.8901452514064,-26.6922865101338,-26.8530109613081,-26.5661941153777,-5.65418005828815,-6.36272651452973,-6.06299160831199,-1.13398442670875,-14.1699268202255,-0.189152699832944,-41.6602899758512,-36.7829538576016,-38.3407289318649,-38.2109821392463,-55.2685375533558,-55.9005753009267,-66.2945899813663,-65.252395071527,-41.7702081822259,-40.7159619242465,-51.265381358119,-49.1372768261995,-48.4624151470869,-15.8695694928447,-34.5801982152809,-53.4379738923426,-21.1378542397086,-36.823355511056,-32.7803125250991,-25.1646375030905,-36.5710318026703,-42.9675166242846,-56.1283308788118,-43.8587174339341
