"","Endothelial","Mural","U1","U2","U4","Microglia","OPC","Astrocyte","oRG","tRG","vRG","RG.div2","RG.div1","IPC.div1","IPC.div2","IPC.nEN1","IPC.nEN3","nEN.early1","nEN.early2","nEN.late","EN.V1.1","EN.PFC1","EN.PFC2","EN.PFC3","EN.V1.3","EN.V1.2","Choroid","RG.early","Glyc","MGE.RG1","MGE.RG2","MGE.div","MGE.IPC1","MGE.IPC2","MGE.IPC3","nIN1","nIN2","nIN3","nIN4","nIN5","IN.CTX.MGE1","IN.CTX.MGE2","IN.CTX.CGE1","IN.CTX.CGE2","IN.STR","nEN.early2.nEN.late.2","IPC.nEN1.nEN.late.3","EN.PFC3.EN.V1.2.1","EN.V1.3.EN.V1.2.2","nEN.early1.EN.V1.2.3","EN.PFC2.EN.V1.2.4","EN.V1.1.EN.PFC1.1","EN.PFC2.EN.PFC1.5","Glyc.EN.PFC1.6","IPC.nEN1.EN.PFC1.7","nIN1.nIN3.1","nIN5.nIN3.2","nIN4.nIN2.1","nIN5.nIN2.3","IN.CTX.MGE1.IN.CTX.MGE2.1","IN.CTX.CGE1.IN.CTX.CGE2.1","IN.CTX.MGE1.IN.CTX.CGE2.2","IN.STR.IN.CTX.CGE2.3","nIN5.IN.CTX.CGE2.4","IPC.nEN1.IN.CTX.CGE2.8","MGE.div.MGE.IPC2.1","IPC.div1.IPC.div2.1","MGE.IPC1.MGE.IPC2.2","IPC.div1.MGE.IPC2.3","MGE.RG2.MGE.IPC2.4","RG.early.MGE.IPC2.5","MGE.IPC3.MGE.IPC2.6","IPC.nEN3.MGE.IPC2.7","oRG.tRG.1","vRG.tRG.2","RG.div2.RG.div1.1","vRG.RG.div1.3","MGE.RG1.RG.div1.4","OPC.Astrocyte.1","MGE.RG1.Astrocyte.5","IPC.nEN3.Astrocyte.8","Endothelial.Mural.1","U2.U1.1","Endothelial.U1.2","Choroid.U1.3","Microglia.U1.4","Microglia.U4.5","IPC.nEN3.U4.9","IPC.nEN1.U4.10"
"ExN",-38.039011937061,-34.7468787489633,-33.4136518652823,-60.2537359088527,-33.506355093959,16.8250415094309,-44.2920753538079,-60.8676334869591,-65.9479141294374,-60.8807142085407,-63.5311423379851,-67.5800230223448,-67.7797789556689,-50.4428591594306,-53.7457630834053,107.136289085821,26.9691970953633,70.4755019116485,110.765352975566,126.798245223186,-30.2175125413202,-37.6795087095002,-32.8604128028137,33.0779690126281,-40.1180656956959,-15.8548273108774,-21.9254573587048,-61.7874531138609,18.2648763989896,-60.8310756276621,-46.6463849749799,-53.257678253069,-55.1327925039892,-51.887727721131,39.895250190876,53.3128011585927,53.2050231076323,46.0663426270896,60.6814536403478,56.7429100367147,37.7883958785898,34.7772229593697,40.1233444841697,24.3123889646367,55.1105480771758,123.523023224331,125.111684977157,5.89493650838649,-21.9873124749579,27.868183893775,-11.8897772346955,-34.2422614235154,-25.5011639967787,4.70257920893076,79.6676240275638,50.985987733366,55.2382719337211,58.6063023729819,57.9954371985875,36.8039042319345,32.7443591182771,37.2433234234921,52.8101593594978,57.5377033468687,70.9457437758422,-53.0374658910148,-53.0616465407182,-54.9737656556037,-54.4113672688936,-55.8416609819279,-59.110098781669,-10.9318375119468,12.4315939753617,-64.0628643125727,-64.2922607932915,-71.0056297105602,-70.8622269986121,-68.2908429613947,-57.6566143990881,-66.2785767001893,-40.5707183094082,-40.6585588449769,-48.4747947170925,-51.8921667772152,-36.0916913445587,-8.31246143754036,-30.2792834277936,-31.6884100771402,19.386009136032
"PgG2M",-4.57644375754054,-1.64857870079656,2.86432102836056,62.1854409387841,-4.29158061473813,-2.76094206679275,-5.04287911508464,7.1721770078779,15.0059611738481,15.1090528917738,17.0022881639178,47.478483007628,80.9462160759964,80.6229718233828,80.7168270486772,15.8638812853387,47.8861914574758,-33.2090297305525,-40.4480453704795,-35.0518827327297,-34.3831370476019,-33.5553458555513,-44.6981803762551,-48.2589137481392,-40.2392828939161,-42.4042838465749,10.758925637515,80.6041189838292,-19.2653305048934,31.2816807036065,63.0314340291043,80.3157741247367,81.2838234343226,80.1040918893295,19.3196137089904,-29.14201166798,-33.6680612843791,-25.2172580185722,-21.9700271549631,-25.0872516868994,-33.6178329717242,-34.2368581425254,-31.5203624889157,-32.3926937310759,-36.4443825833804,-37.4462008372989,-0.405731756883927,-48.4408724585699,-44.5500327363079,-42.5825958241928,-45.6815872091182,-34.3926893674231,-38.8268230988809,-32.0549835728805,-25.1140097805274,-27.7086032640741,-26.8430645066884,-28.9527872060377,-28.6083043450297,-34.2542311756974,-33.0340070425177,-35.0813361280454,-37.6056473236153,-34.6004311793467,-33.1937794575229,80.9657944960522,82.888341557464,82.8797039766491,83.1540130722079,83.2890643811348,83.535180564613,75.2048624897747,66.5520905288563,15.5140130903175,17.5974971628548,72.228836565039,50.0138730245369,42.1727151703497,0.459787191026886,22.2710607603394,52.7147488580816,-3.11558690436745,32.5126579003788,14.3743521170368,13.7807584206325,3.88541769088072,0.0288589108863196,16.5621730498639,-3.66632338035295
"OPC1",35.7622600046592,34.963747000245,30.9564436445007,49.7598304685766,59.5193059836664,9.71457157613197,101.880364376501,93.1436948587542,83.4374075755904,72.5486782377934,73.851438510601,81.7757058980998,69.6347166399323,41.9126797465612,53.7310336595085,-26.3310337210256,26.8852014096355,-53.0519067650397,-59.2729873244624,-52.2451155099708,-29.2451642115968,-25.4495084937771,-40.6741511369423,-52.1866472437454,-40.6913840218838,-57.0926430689799,19.1170475543451,68.8754736121497,-15.9575877547487,91.3046821800539,71.9357661888762,50.1453717535558,43.8244595154666,44.5833660201877,-8.12623907113554,-39.6946205686691,-38.5549088724917,-35.1389848085503,-29.6816230897124,-32.719276509237,-40.635655900059,-36.2487794391825,-40.8551026260698,-39.0056603339095,-41.9602443604567,-57.6315599860025,-43.2087784110315,-59.2038186509167,-51.0185389447904,-60.7167076967619,-51.3467254353318,-27.8190292863489,-37.8074426539419,-29.1674898658083,-46.4957543609004,-38.3545373115235,-35.8830024427641,-34.7295885058118,-36.0627648914218,-38.8969765302772,-41.8321612488341,-42.8741713688822,-45.9442070078914,-42.5279875114881,-35.325074594209,47.5996252674739,48.6824329993397,46.2777101233416,48.2351560383437,64.6452011288988,68.8384865666072,37.3072761420699,39.6558200906451,79.2842307601977,77.2681914410684,83.6314766412591,88.6670690922786,100.224514866947,110.595462826267,120.65344255918,109.999432460933,39.3805620815099,42.3671117497195,48.192955679338,34.5567859109023,29.2361808443086,69.2493500653742,100.924454190387,49.6586879012106
"End",118.939830178838,82.5598381201094,66.6901643509131,41.6555183940739,24.0206173461038,61.6721556546107,24.9141988386254,37.8320485409552,23.6890988990254,26.5889333472939,17.2947668193471,11.1200573465173,4.91305320036746,-1.94348636444913,-2.10421255635575,-28.209091524053,-8.08652952961092,-39.2253774307199,-43.6160937381357,-40.7053803292383,-17.8615938943624,-15.626607055778,-24.9653851186665,-35.3593692559601,-20.7863053788124,-29.0366647831764,51.3545775568668,12.8946114369362,5.08711487577624,31.8463792011727,14.535334297936,0.513555973659352,1.34577415799089,-1.56364479886928,3.14507865776553,-19.1066658157372,-17.001101186261,-14.5781018210632,-15.0758673217247,-9.68884844631757,-24.5418769849133,-18.6185635308343,-22.6253478862516,-22.5349970312242,-24.1959376480951,-45.2064596488871,-39.1552704233412,-34.7392770838037,-27.1282407403494,-38.1005052467547,-30.2493390182969,-16.9238319057742,-21.2594255411625,-6.16354160541485,-26.8397082105147,-17.2839035647627,-13.6701980701032,-16.5901077193565,-15.6499174573392,-21.9212914157646,-23.4782460781103,-24.0842958534515,-25.7885763389536,-21.8048059099713,-10.6041694400541,-0.510099474796916,-2.03146496082193,0.529973302019408,-0.636383596224273,6.39102972559477,10.1863904788444,8.91105210739369,1.14829994187275,25.1130410634632,20.769912093992,8.34918862432763,15.7023393253702,25.5639805199515,36.1360114881431,35.6847876389778,30.7167374273055,109.253935538902,61.326353290698,100.331164074973,79.673850014832,85.3761695965531,58.2114019525738,55.8324070474176,43.5007400921951
"ExDp1",-25.0290879456088,-29.5151470832068,-22.3240834865721,-39.3769987963083,-24.1426287817099,-31.7451738800049,0.571752187357547,-41.5374762782642,-52.9027691882236,-56.4204701842918,-51.3340557040718,-64.5295857878476,-58.6515155297031,-41.3839721182538,-49.2535777007017,-33.8478964000284,-58.3872734455906,56.5082772069013,0.291563049133839,4.07618749936652,130.191231362053,128.576216680472,113.552285326025,47.7060449195453,100.806472532257,65.9140400468363,-12.5601615153688,-67.8675883507598,24.6109512873029,-59.829178232947,-70.6477549543767,-51.5859508730441,-42.5093714525943,-48.3776167140845,-46.2583550199955,-17.0246349841599,-19.0220692429924,-23.3618861129035,-29.6399690808225,-26.9248360508364,-5.80097017421356,-3.54610641768795,-10.3961152268829,-0.0257102491905485,5.76514316620175,1.03339200321228,-24.5770484049398,63.5981733327697,93.5056202936316,86.1391890997363,114.291141255688,130.111538708979,130.93184458827,74.9370225522338,39.4521741262883,-20.4864058398421,-24.0597494716802,-24.5912819419431,-24.113063869342,-4.70605866291085,-5.07383221490602,-4.84467385790502,-0.118804217277416,-11.5677860119958,1.30138966575335,-50.0966818650314,-46.1777893946027,-46.4970496101581,-47.0099572815557,-63.6099635693319,-68.6901387140927,-75.7342792062315,-77.2611780502968,-55.0109250402848,-53.7715875573922,-66.6592672602168,-66.2162610706621,-64.8051619121555,-21.9593019710831,-41.5190203621286,-65.9290346111598,-28.8683334097918,-32.6433947276888,-34.0998298749633,-22.8117437805316,-31.0868479161728,-37.5861111901646,-56.9438879045545,-38.599511857753
"Per",88.0692399072505,113.565362551682,86.7224855886821,71.3939759644207,35.758358557734,41.5191683029021,39.4970001278649,61.2725696588257,50.7345475291578,49.08067361326,42.2987427233937,45.3791589725353,26.6195794708526,10.5314512242965,13.3598925264225,-27.1356049875897,5.01696224498054,-49.6663082469595,-56.8563772667722,-54.4521504253912,-28.344078662008,-23.482795452453,-42.2089340914059,-54.0727132028083,-34.7958067109371,-46.0686641233049,53.6612632597416,40.8106680575243,-0.893175653882023,68.7165850009533,45.8547464440249,15.9724617796754,13.8835161186908,12.2683053791427,-0.0723163726022423,-22.6986464647803,-21.7719029153961,-19.2459226906258,-18.7095586433659,-17.0943384693229,-26.1492301351102,-22.5259208131091,-25.0673022476882,-22.827084458802,-30.179016888843,-58.367882770666,-44.2375455743904,-53.1355542857019,-43.7349773096432,-54.6778902646574,-49.0682434939356,-26.2059166902552,-34.8540425849803,-15.5266108549797,-36.6404167778073,-21.3898121256359,-19.5029705542405,-21.0130613094275,-20.7366079481829,-24.5741237159994,-24.3409552489237,-25.2081444830977,-29.3556592979739,-26.1969871508843,-18.6186919218788,14.1516440870468,12.1939426204137,14.3114967393182,13.6139817360656,28.3550665065272,35.8825793686287,23.5045647762929,14.7681380294189,50.3906786013737,46.4204522905387,39.1190110119383,49.5161142397922,64.1750212673284,58.3858662243009,68.6349770013426,61.6661653639697,105.052254518339,90.7345441016763,112.065316553638,91.8301895783427,71.479656925255,66.4890162300392,70.1983389302169,39.5553843331271
"Mic",68.1824361835596,56.9619113822869,53.8083370814279,43.4415713363321,31.0464712450999,116.594757968676,40.1139280299553,43.9936500835016,39.5691488264091,41.7914823582727,33.9756421941654,33.9433035014238,25.2085181956264,10.8993040291911,13.2937089450067,-23.8410072309449,5.19697012980018,-36.6013610693047,-40.7605145935832,-36.4098020462808,-19.652472970899,-18.2628650934923,-28.3201351025105,-35.8454820988723,-27.2616683625501,-33.9610764593172,30.8662021539385,30.1410021514758,1.35576204990248,41.7125919518226,34.9592273273997,14.9530876549115,13.7166326701223,12.1040804858393,0.878974018657393,-15.9428041988188,-12.0456165238478,-6.88823607576496,-7.56416254350507,-7.89391757268821,-16.3648545629199,-14.1724848930647,-16.7915283321286,-21.3507226410576,-24.7880507344537,-39.5548053396409,-32.6834401840947,-37.2244954609351,-33.1317660626809,-38.5010807426046,-33.2735603855793,-19.3334856446135,-24.9994169288112,-11.773047354424,-28.19252041172,-11.5698334378544,-9.78207087787097,-10.1610650015721,-10.3359621558482,-15.6308684385763,-19.7932538060102,-18.6667525754326,-24.4369034323962,-18.023162157561,-11.8539710387813,13.5751019202842,12.2975102292236,13.8854040371069,13.4514931338088,25.0235590595606,28.480939412626,18.8465984677795,13.4584078933994,40.9529843122538,37.3515508653525,32.1779620657474,38.1558333497418,42.6592827447499,47.8871070716573,49.3360303776629,44.2208463182472,67.5693420204863,52.8429010898591,64.5927607391374,51.623173790016,100.717189839955,81.1123383309027,74.3053887891019,56.611627437581
"ExM",-52.9830962266899,-54.8965325701462,-63.7636585233127,-67.6356435784584,-60.5863220210743,-56.2908063434693,-53.5728420313607,-76.04965677238,-83.6017527367507,-88.860853320201,-82.0693735998609,-93.7304721843682,-74.9983487033876,-54.444930464518,-66.1966631609901,-54.6554441593048,-108.387113888623,59.0761360829478,81.6658123346445,39.423163112186,42.7569895761322,32.2697962681062,129.807045312145,138.029715376134,129.296930103257,181.234279428294,-49.4636876018118,-96.1127310443093,-10.3497016668879,-98.3870584391677,-123.77872596618,-72.0276224461879,-55.0164859066907,-68.5402283226777,-83.7036136277669,-60.705898803457,-48.486749223805,-56.3803802786788,-53.2281654340958,-62.0905749938241,-43.0486711939058,-40.808466631699,-51.8878128281103,-39.5205342843157,-37.1153497410748,58.826760755166,-10.1867006977141,175.246528691407,158.419395720198,116.598559241325,129.576592494651,39.2154941209737,76.1214887461522,18.0025743508289,5.37887421829107,-59.5973146386754,-62.1105987662157,-52.5514776731467,-57.577893848682,-42.6793390881298,-47.3247911512388,-47.1195664287844,-43.7167190631941,-51.3945289036168,-41.7914696851706,-70.3253736451881,-61.0721356987994,-62.1687611372709,-62.8428927567173,-96.2864171516185,-99.7816375775197,-117.586026044928,-124.622459621384,-87.4764987353319,-85.465205661343,-89.94700279508,-94.7042986558519,-101.25952767503,-77.8113549357642,-99.5210679127124,-133.162443665683,-58.8816309276117,-71.7223142574894,-72.8262659006079,-65.8887016008837,-81.5697293100793,-84.5125940337192,-121.513871839864,-104.886786556992
"IP",-2.52161917927293,1.21305641711824,-4.66368431924564,20.9386929308771,-3.94457070060088,13.7773130311351,-14.4479673660403,4.65111563733057,18.004411688639,28.7495304321999,21.5228516006218,32.9991116275634,34.5660315127102,37.8014316532034,46.0763457929875,126.131009666806,125.851254877735,-1.90966429119469,9.15993356575422,25.8910956164914,-61.9514260262648,-60.0347215079242,-75.5136522236619,-38.4907181039458,-77.0326081032073,-63.0983904590678,8.440413247696,47.4675122959957,-6.67745691489396,27.7690176775368,53.6068053457931,43.533072738414,33.3190501922666,37.0990479715462,38.6716558947344,-9.39761920551832,-13.2535112889992,-8.39584066720883,1.68182368070353,-3.28705697546602,-32.8756477410887,-36.3694716247949,-19.9959884346183,-37.6319364069819,-13.6654367063128,21.9247094359881,94.3735201862544,-56.1239102851548,-70.7002803105273,-38.4414725614656,-65.9071414510989,-62.5551323474476,-69.4623053419129,-32.8194896105689,41.0340029246489,-9.01902596515739,-6.0574886098903,-6.19839659550626,-6.50269160409007,-34.9822716964093,-29.6033461947218,-32.9903481433083,-23.4307801576483,-14.8147190232307,18.556518086113,40.3188015335365,42.5016776220659,36.9688160698729,40.4043115561868,50.4662511912989,50.5355547292255,61.8577211006113,122.189536927942,23.5090458622179,22.916235546312,35.7954677406429,31.4455999994354,30.5720263001284,-5.99170002157952,12.4534756326676,70.5993638549561,-0.784032172773949,7.46727878418741,3.85163166396822,7.99967535717613,12.9298146579327,4.27436366945611,40.4454287024707,37.2346709896379
"ExDp2",-19.2819070774161,-20.0323130773146,-18.0879701980549,-32.3815776290448,-14.7012255290738,-27.0018409097143,10.902453735424,-36.0328830425127,-45.0895149941959,-45.6155495013981,-44.8094448610246,-54.6256381042047,-50.2461756393718,-35.5444461960186,-43.0245760466078,-36.874729098531,-57.0137223584722,41.0450712740731,-10.2818354753406,-5.98182147283657,122.173368679544,126.737138925934,88.5245436036633,29.9779943010054,76.2000230749028,38.970938751055,-9.92787390480004,-59.6238990767871,34.2355731012284,-54.5039186931774,-59.0837692388259,-43.4951108430761,-35.8559668210644,-38.9555841727283,-44.4350588278465,-20.2961898470321,-20.7960368198222,-24.2541692720571,-29.8629737527095,-26.9801786802282,-6.68962510608888,-3.99039264153134,-14.0904776543015,2.2336189778668,4.35264968778155,-9.49670315923588,-29.3006918808224,37.7258525430275,65.2518778363263,61.1838109803961,85.3340839658489,126.474753783133,120.459146253238,92.3842088169514,40.6324385520212,-22.8248977708993,-25.3625140103999,-26.0019310342359,-25.6592830102111,-5.41299794761969,-5.88582447429847,-5.6640527729696,-1.37794171693271,-14.6033667930491,0.603191862877558,-41.2672331039413,-39.9461534277915,-38.7973985050238,-40.0593290666924,-53.973760176079,-58.6317951717242,-60.3774819582254,-66.2582047201049,-46.1937948886709,-46.0327710801715,-57.3190233018211,-55.7071971732052,-56.541189702334,-12.900079112466,-33.0779496416013,-55.0987827328444,-20.9813273349948,-25.9931137240386,-25.5012301046285,-17.9937445397007,-24.2394965046977,-23.4271591663604,-37.4983927853264,-28.5738777078095
