"","Endothelial","Mural","U1","U2","U4","Microglia","OPC","Astrocyte","oRG","tRG","vRG","RG.div2","RG.div1","IPC.div1","IPC.div2","IPC.nEN3","nEN.early1","EN.V1.1","EN.PFC1","EN.PFC2","EN.PFC3","EN.V1.3","EN.V1.2","Choroid","RG.early","Glyc","MGE.RG1","MGE.RG2","MGE.div","MGE.IPC1","MGE.IPC2","MGE.IPC3","nIN1","nIN2","nIN3","nIN4","nIN5","IN.CTX.MGE1","IN.CTX.MGE2","IN.CTX.CGE1","IN.CTX.CGE2","IN.STR","EN.PFC3.EN.V1.2.1","EN.V1.3.EN.V1.2.2","nEN.early1.EN.V1.2.3","EN.PFC2.EN.V1.2.4","EN.V1.1.EN.PFC1.1","EN.PFC2.EN.PFC1.5","Glyc.EN.PFC1.6","nIN1.nIN3.1","nIN5.nIN3.2","nIN4.nIN2.1","nIN5.nIN2.3","IN.CTX.MGE1.IN.CTX.MGE2.1","IN.CTX.CGE1.IN.CTX.CGE2.1","IN.CTX.MGE1.IN.CTX.CGE2.2","IN.STR.IN.CTX.CGE2.3","nIN5.IN.CTX.CGE2.4","IPC.nEN1.IN.CTX.CGE2.8","MGE.div.MGE.IPC2.1","IPC.div1.IPC.div2.1","MGE.IPC1.MGE.IPC2.2","IPC.div1.MGE.IPC2.3","MGE.RG2.MGE.IPC2.4","RG.early.MGE.IPC2.5","MGE.IPC3.MGE.IPC2.6","IPC.nEN3.MGE.IPC2.7","oRG.tRG.1","vRG.tRG.2","RG.div2.RG.div1.1","vRG.RG.div1.3","MGE.RG1.RG.div1.4","OPC.Astrocyte.1","MGE.RG1.Astrocyte.5","IPC.nEN3.Astrocyte.8","Endothelial.Mural.1","U2.U1.1","Endothelial.U1.2","Choroid.U1.3","Microglia.U1.4","Microglia.U4.5","IPC.nEN3.U4.9","IPC.nEN1.U4.10"
"ExN",-40.1159772811128,-33.4954399836045,-36.4020163094408,-69.8626133865906,-35.1528377778862,17.0271388381459,-59.6681038298417,-79.2075518365546,-80.4277325303902,-78.4073230055662,-77.8452263021803,-81.1556459488493,-79.6622804466951,-61.7202646393245,-61.3704249414589,23.8215071925147,76.2009511066023,-40.6806836792669,-42.0219459392911,-48.868326030133,40.6104549182302,-48.0101747383142,-23.4545867596753,-20.5156202942555,-66.7499614869653,20.0838967081956,-72.139127147803,-57.7307006784698,-60.9046061191245,-65.0991237934269,-62.7107922237228,30.8336953744422,57.6403117860981,59.7501159535581,48.3149826466556,52.8624215861381,59.7549021673404,41.1250660036183,38.8827625903661,45.3189609581242,31.4205823736031,59.3389691742565,2.56506508616615,-31.3509601218881,31.7353756152782,-20.1619253229161,-41.8262089262494,-35.0945288039481,4.70075356435872,53.961306020714,57.8738926695816,57.8613129539831,58.5059569383949,40.5341483260819,40.0532808998572,42.0032884110104,55.4753501296043,57.5883985194385,26.1801239983977,-62.4438401385876,-63.2080305177668,-65.6068419301769,-64.8635193629761,-67.7336335465125,-67.3953529083871,-13.5513579531268,8.99528992326371,-80.7859882568185,-79.8644080298902,-84.2479296063055,-86.2257591753119,-83.1495174056164,-79.9257066942202,-87.6954621346678,-52.2643220130455,-41.1059530800724,-54.1876604780389,-55.8958531247655,-36.4788825543903,-6.8973861331241,-32.1630641399531,-42.1407440423827,-4.28943157828459
"PgG2M",-3.3255307389431,-1.01434628746335,1.97346572306261,71.0115610200385,-2.7961417270353,-3.12447934848966,-4.9729879863396,6.06553698491104,11.8730881051617,12.2910199810449,13.4950241257163,36.5419480248543,80.699618586696,97.5333109912842,82.4482279924135,42.0912156570903,-36.4026066015779,-36.4843296439624,-34.3052663196559,-39.8494566452043,-36.8932021354697,-36.5960562369476,-40.3986844243819,12.06721203003,81.2267960868015,-21.51235416006,22.0307631966298,46.7840927360306,82.6362760108161,100.085249983088,89.6648892298053,12.9253679773709,-25.1902543332048,-28.2641132028904,-21.4113373747501,-17.4149874141432,-22.0741939205402,-28.6828800417374,-29.7835273347378,-25.7675717630728,-28.776933883492,-36.8541316733583,-43.2470593024392,-40.9240471500128,-43.4286226979964,-43.2693404419179,-35.6892392654886,-39.7815616031618,-42.165295577318,-23.6050657338692,-23.1162236362852,-23.4530069421701,-23.7214581074999,-29.4640099775716,-27.8404081355298,-29.5230662641069,-35.4277063406847,-30.7146342375432,-42.8098022289943,87.1232673001476,93.010410163869,96.5255256936819,94.8936995032036,79.7657585029387,81.7756871530778,61.2369077640752,56.9482620285372,12.2367317229709,13.8154168379525,61.2874809905926,38.2667735328136,30.2028412366005,1.52258191312184,16.4905097874654,36.0417399408775,-2.01918342613942,34.7789812684438,13.8077921190191,14.4454277413689,6.39264451782376,1.84769677704237,15.9056659455967,-10.0432499159693
"OPC1",27.3042829274193,32.206611529251,36.3429342702277,59.4786943281327,42.2764121770694,8.87795452449916,129.448558748214,97.8539705007058,83.9333028403803,75.9244857745171,76.1045950365408,85.4878433636497,66.0249151675669,41.5172259235384,46.8489320190962,28.2570975728648,-54.9219554824717,-33.5805506183902,-29.1039334314282,-46.5066232240873,-58.742626035005,-38.9211793547307,-55.3862686947288,21.2639594991605,61.1870780291743,-14.9292180186796,78.0486918299625,69.7597517174377,47.4095075690962,46.115998190254,45.577791008514,-7.37473210115559,-32.2320352341513,-31.6974468327988,-30.014755960812,-27.3201724788533,-30.1029969461228,-35.6065130307777,-33.202356140944,-33.4862336800948,-28.3102771299771,-38.6467533713328,-62.6676435574079,-50.7670941565266,-65.6364628464744,-57.5743403403313,-31.8612411096484,-42.2223925803966,-26.7233005422558,-31.5826896246695,-31.1328439741768,-30.2753500327514,-31.0698131126953,-34.7294282428708,-31.2793227979828,-33.9179494968946,-38.2100033334951,-35.3911372439016,-23.733598078661,46.7481460287046,45.0604855799465,47.4010245559045,46.7943498280706,62.2414643364675,62.9134877733489,39.186295225915,41.3474739270812,81.4212412621313,79.3234661015565,80.3302127536778,89.2310977548753,89.0721537883007,134.054072446871,125.565674774822,117.04705573458,31.610937640062,51.0002330015993,46.5166994248855,35.8570276322785,24.7264804051256,45.5371016993976,75.0772984436673,32.5489682044839
"End",132.03360299424,100.826739073436,54.0221365374795,38.6525661824599,36.0476382661087,82.0438213671139,26.9448429042064,35.4362214991365,18.8580893603308,19.4575850405072,14.026542159042,10.4440700292766,5.56032357262501,-1.97478520478173,-2.09032604773768,-6.44891577500704,-39.4202559642292,-15.6371071928731,-13.6498175638949,-21.5763467583849,-35.1233755948593,-20.9181607425216,-31.5215849899487,72.5874936300379,13.2284927484643,3.31325259457783,24.72282910974,16.0558157760008,0.670439612377742,1.18327705426479,-1.6455403323413,1.62920378396319,-18.8962958389129,-17.6116201218847,-14.0242960090362,-16.3486532043906,-9.9035070668721,-21.920487562967,-18.5906793194643,-20.1153276705063,-18.7124166266053,-24.5209408723279,-35.0524354927972,-26.7082633543984,-35.5888519421372,-26.2926709770816,-14.7962257460848,-18.4320910273542,-6.18457743504753,-16.4835161473048,-13.3319369110539,-17.4696935894672,-15.7524981328806,-20.4501152289498,-19.8408562575099,-20.9441086472334,-24.2627616699651,-20.2260337352984,-2.76683044506884,-0.48481794490441,-2.0472541661333,0.459346380447483,-0.652877535158519,6.96892000088164,10.7019663695542,8.72977922248089,0.11646972451324,19.1915350381904,16.412835293581,8.85584881615171,14.10663936207,21.1096916071561,37.5841745741129,32.4698202580814,27.0543412704068,124.721577844617,51.8572347069082,97.2669375821435,103.14228228662,105.455934543234,81.7134799114931,68.017839277184,50.6391744861081
"ExDp1",-24.0511223952295,-26.9225660744472,-21.156793893392,-45.4818262674636,-26.647446273585,-27.7204122932802,-0.51778729222809,-46.5542941757384,-54.6101928814605,-58.5657190567637,-54.8665534257075,-72.2387293398323,-67.4860928510592,-43.077966335684,-52.8882680263463,-59.1595950044238,55.483898270564,123.378419767282,128.955126218314,111.823760528536,48.6978424386113,82.4924427941242,57.7663038191774,-17.5576216171306,-71.2868117274395,33.0806991269178,-65.7808211459189,-81.443649231213,-53.1624542832805,-44.9910974396983,-49.7970379216158,-49.3975213926984,-21.6533246635593,-21.3382377011703,-27.9845170550196,-33.8970012065004,-33.8729985871864,-7.2182438714922,-4.05973285527461,-14.2164958399691,-0.338242514563882,8.9290277238111,59.3888504051278,77.9259885978169,75.4535763071602,104.093328256525,127.128093673817,124.799392768045,93.7997202195656,-25.5118391609004,-30.519113446704,-28.2799989843855,-29.0818580177782,-5.70060207687083,-7.00867912581655,-6.32656816892522,1.5769815373431,-11.8189149371822,49.4186292668448,-51.6833758624585,-48.7851559268174,-48.990164535017,-49.6726262338242,-70.0326533437039,-73.7121007492189,-78.666446571161,-75.7977342700332,-57.7908499670167,-57.1263529375204,-79.6364862771828,-74.7009698520286,-71.406614741151,-26.1562984577012,-49.1156565981565,-74.0022703824705,-27.2756232686435,-34.0774163623119,-34.4546743717466,-30.0377935891453,-33.2854360900494,-38.2781159354238,-53.3087223009133,-17.3207600916131
"Per",79.1829949712612,124.928007725338,85.8685234599699,71.4125395543942,36.6995692790705,54.0148002668939,38.9870643072564,54.4009771086152,43.8712016862536,44.3586069197171,37.6588571270452,34.7966285568529,24.6153363964938,10.4925291407347,12.5249402564974,4.19738207607788,-62.111804632225,-31.0150877189911,-26.8945325055086,-40.4079655307298,-51.1695640196232,-30.316179007877,-42.4666264734123,50.182576614765,32.4112684223928,-2.95119122500206,55.5915828219517,33.899756004364,14.7662370320522,14.2309259088236,11.6168224848213,-1.71816307345575,-28.0976737516411,-28.2239343200103,-22.4088706788797,-20.6888329780595,-19.0119898066433,-32.0522206895767,-26.6543645229246,-32.6460523773884,-27.2361358463094,-31.0536779046928,-50.2171985877655,-38.9702610926695,-56.558186573618,-47.6579555062596,-29.3342942737191,-37.0733187672249,-18.0395968546003,-25.5423339317171,-22.485133880379,-25.4311874089737,-24.5016422427001,-29.687670267493,-30.3973416319434,-30.8103329648332,-32.4291040841414,-29.8687532130884,-14.8322501879857,13.2959718488829,11.7781695825685,14.1124597717405,13.2542626638744,25.1106855715777,29.481169141589,20.9387887762554,13.6337364595049,44.4750958951625,41.0385709707563,32.6531524108928,40.832384380452,51.1751719712827,52.0717967629369,56.1890404625038,49.4601712927552,106.538309751931,88.5495844936349,108.424609218436,84.5432474774123,79.8867838747442,68.1489884191514,74.8014364720507,48.4717067972092
"Mic",73.6137525678846,62.4230652771392,65.3856106150433,49.5836615174772,28.7966589006798,117.596730400708,34.3090121160595,47.1759480733954,40.3759936854268,44.993161824466,38.9595148701991,37.3413307498475,23.2321612753152,9.78731058150438,12.3574112886317,5.7974740230855,-53.5389699242874,-21.2183282136128,-18.6338567046714,-33.9370885485022,-46.3166156029942,-29.3152255286977,-49.5127738773902,36.1022655178043,31.3073840184191,0.021837094549194,48.0529127618673,36.6022036900888,14.1020766879921,12.4725644122845,11.6651041449024,2.02118284482233,-14.3659296917285,-11.9664718937048,-7.27474182669528,-8.49455501428502,-7.30741481734008,-14.6862268327788,-12.8527276753842,-15.0086958934079,-16.4868090518296,-22.8655540541107,-52.4515271409415,-40.7505237184039,-54.0801397787259,-42.0599104868095,-20.2594740849753,-27.8977989556124,-12.852716240085,-10.9503361063972,-9.218720606796,-10.7497662293852,-10.3011417869951,-13.9621845376613,-16.0577492149661,-15.6227177368993,-20.4071152363967,-15.8256860229888,-4.18260290439455,12.917671571107,11.2410776565974,12.8917081827345,12.3491403779984,23.4703015344151,28.3635074559585,24.5120927117854,16.3788679999516,42.9669915945213,41.1799570656437,32.1001928414143,40.8193218058248,47.2490380328521,44.2460909993103,48.3770971383332,50.0023967503666,72.6357821708694,65.0533408474437,77.2651783322161,60.6904675469327,99.5696257121558,78.6219730269628,79.1699761987089,58.8924209650297
"ExM",-46.5274977509747,-47.5682763113943,-53.8163466596128,-84.9949663759721,-68.3296084612722,-61.9367627546009,-54.9615355943225,-83.6776355022284,-90.7393333021632,-98.1781836074614,-92.4302085900386,-105.06763078454,-98.7440910429328,-65.834884024851,-80.654981287145,-114.969020852576,75.461272105974,48.7003412037156,36.0167411925759,132.198071967842,147.153893482776,121.87090470388,183.123824120386,-64.3955442292962,-108.051135756056,-15.516947948123,-118.049892575737,-133.819958071524,-84.7920996333957,-66.5143017939926,-79.7859759584654,-92.6738295278595,-64.2924502246079,-61.6626873228912,-68.9508309984788,-67.1173589941455,-64.731002292299,-48.9892337592471,-48.3512589591097,-63.5621003541562,-44.7219932958637,-43.1513305496247,183.582239041555,153.844439610717,134.474893237962,137.863940202681,44.3437693423671,88.1767586650869,17.2920179120305,-68.0916077923295,-67.6659668802996,-66.5975199557488,-68.2621825623628,-49.7470090043061,-55.1426001951818,-54.5507793367805,-52.2798380022352,-61.4074459678767,-33.8235662416177,-82.78466158976,-75.5630544438711,-75.4583110972608,-77.3232410746476,-114.965327799398,-115.344840983659,-124.752663289076,-136.277755956023,-95.6334005313247,-95.0127824524972,-111.851843987654,-111.551428550048,-121.339104199406,-78.7640055388777,-109.754752322419,-148.177733039303,-50.8968958482189,-72.7356910621649,-70.8376245333993,-75.005251995079,-76.3364915002655,-90.3432535158235,-122.62640897148,-94.5008416925674
"IP",-2.50397608686436,1.35249531860475,-4.24253827986012,20.9660139672373,0.658622495919683,14.1440802710113,-12.2771790231988,8.5775003978902,19.4394514809232,28.7115892821054,23.0392853520893,38.7507291314501,42.7082381557635,42.1568567219936,50.756709721228,159.078929547806,-1.52441665119448,-62.2778954861278,-58.6835747499319,-71.0620955777523,-42.2381528359886,-60.1536817221609,-66.9275913454334,7.78565142008424,57.482331962248,-5.44053536522652,29.0583280073971,58.2070526099106,45.4547690344441,38.9406440744278,39.9975086319467,50.2485247090849,-10.7286013071847,-13.3819877784156,-8.40330620340416,1.79237079501556,-6.15268339580012,-36.4171733604745,-39.2327584272649,-19.2419475799627,-36.8751550928626,-16.7384485299144,-60.1976318212353,-62.6808612560254,-43.1309832578385,-64.8607154417731,-61.5203417596179,-67.7782211278469,-34.2464160461143,-9.6807945769381,-8.02999395301867,-6.86944046441763,-7.93160786467276,-38.0164471518538,-29.6092540356361,-34.5966091390867,-26.5302758191153,-18.5202760671176,-28.5454545997431,42.8991510830122,47.3511565229224,41.7087101623713,45.3603889860154,56.1450092500128,58.7407256317181,71.4382016210465,151.021758324382,24.3413882248934,24.223068975626,44.749376663413,37.4500405040945,33.8881902923233,-2.41126901604384,15.9712732910483,82.9626784858055,-0.789108124504736,6.76351547812573,3.49582003655353,7.23788792089092,11.8422189793391,6.54253921065869,32.011814312831,8.80937546771468
"ExDp2",-21.6603768934214,-22.4321120833605,-19.2769917843329,-42.0805345044959,-22.4228149772351,-32.4034144516854,9.70158527311765,-34.6545928834671,-44.4037937789224,-46.3739180202914,-45.4955634566087,-57.6638533037519,-66.3610653716199,-52.6595895452186,-57.2381700699975,-56.0078964320953,45.7611305896728,103.607052490329,111.433015963139,91.26437569705,40.1059815944374,79.9400891037315,47.5968954624909,-11.2214316911565,-67.556991583016,28.4772385302627,-52.0090599965812,-68.9266323859266,-57.5640698188202,-53.6651927068104,-56.1060632312423,-45.5163083594095,-25.6988922999083,-27.5400084205642,-32.5138458579675,-37.6190784142949,-37.6060055574941,-9.73715445107385,-5.66137606145452,-16.9348434211658,0.919286160060355,6.63205551578995,48.3833051786117,73.1866225459282,66.8476401038461,87.6281332798324,108.400780773468,107.479834836366,80.1361186108767,-29.8610572319142,-34.7543523152025,-34.4796700801699,-34.6325095199612,-7.8782027575504,-7.91524266799271,-8.08356413088119,-0.273513925262953,-15.619699959283,47.7982570853626,-57.5898524217883,-59.2432565334647,-59.0370189155665,-60.3898015508348,-73.6225495875903,-72.2077082790448,-69.9511328790921,-68.803141417194,-46.0003595717999,-46.3002647975244,-66.4908352840819,-58.9027884012491,-56.1385689721657,-15.0171802205043,-34.4123708441285,-53.6158135877387,-24.5869170822704,-30.5721287627637,-30.3130750180705,-20.7822598940395,-29.5285651686495,-31.7318341894591,-40.6361519971391,-8.36117958611833
