"","Endothelial","Mural","U1","U2","U4","Microglia","OPC","Astrocyte","oRG","tRG","vRG","RG.div2","RG.div1","IPC.div1","IPC.div2","nEN","IPC.nEN3","nEN.early1","EN.V1.1","EN.PFC1","EN.PFC2","EN.PFC3","EN.V1.3","EN.V1.2","Choroid","RG.early","Glyc","MGE.RG1","MGE.RG2","MGE.div","MGE.IPC1","MGE.IPC2","MGE.IPC3","nIN1","nIN2","nIN3","nIN4","nIN5","IN.CTX.MGE1","IN.CTX.MGE2","IN.CTX.CGE1","IN.CTX.CGE2","IN.STR","EN.PFC3.EN.V1.2.1","EN.V1.3.EN.V1.2.2","nEN.early1.EN.V1.2.3","EN.PFC2.EN.V1.2.4","EN.V1.1.EN.PFC1.1","EN.PFC2.EN.PFC1.5","Glyc.EN.PFC1.6","IPC.nEN1.EN.PFC1.7","nIN1.nIN3.1","nIN5.nIN3.2","nIN4.nIN2.1","nIN5.nIN2.3","IN.CTX.MGE1.IN.CTX.MGE2.1","IN.CTX.CGE1.IN.CTX.CGE2.1","IN.CTX.MGE1.IN.CTX.CGE2.2","IN.STR.IN.CTX.CGE2.3","nIN5.IN.CTX.CGE2.4","IPC.nEN1.IN.CTX.CGE2.8","MGE.div.MGE.IPC2.1","IPC.div1.IPC.div2.1","MGE.IPC1.MGE.IPC2.2","IPC.div1.MGE.IPC2.3","MGE.RG2.MGE.IPC2.4","RG.early.MGE.IPC2.5","MGE.IPC3.MGE.IPC2.6","IPC.nEN3.MGE.IPC2.7","oRG.tRG.1","vRG.tRG.2","RG.div2.RG.div1.1","vRG.RG.div1.3","MGE.RG1.RG.div1.4","OPC.Astrocyte.1","MGE.RG1.Astrocyte.5","IPC.nEN3.Astrocyte.8","Endothelial.Mural.1","U2.U1.1","Endothelial.U1.2","Choroid.U1.3","Microglia.U1.4","Microglia.U4.5","IPC.nEN3.U4.9","IPC.nEN1.U4.10"
"ExN",-32.0046446528605,-27.4773873445779,-34.7163386500027,-65.0834632451846,-43.0092474189203,15.5425311976095,-51.9064435281113,-68.5776397482766,-73.0107034818939,-71.7564637744551,-73.7855489474329,-81.0060642957859,-71.5786539244994,-50.9508096532802,-61.6106105951342,152.542643780727,26.538604627423,86.2165730842676,-38.4159471155685,-44.5759115261149,-37.4410045200321,32.5044313672594,-50.4262160990108,-20.6635158918992,-21.1070881906369,-65.279986095473,20.313681615708,-73.1935332504861,-54.0657376861888,-57.93964735715,-52.3619052621049,-54.925810243677,37.8408278880062,59.752895967863,57.8485135278023,47.5463314345489,56.4669940952873,56.7581553320025,37.9096146484606,36.0066392705978,37.9770881646473,21.5223170703762,73.9059076801588,5.82030299265085,-27.2752375929945,35.5699556928563,-16.1297781972865,-42.0196875061471,-32.9942496960955,6.59241044463267,116.545477793848,55.0243390171286,57.007535610479,60.1354089886713,59.8444926766624,37.3271499519343,30.4350125562679,35.3596643495744,58.9419797595532,63.3860406032585,98.8003618378919,-56.612898093557,-56.9123191417749,-54.9149305015932,-56.3532324482166,-58.8436950461083,-62.6996100521378,-10.5754401322349,12.7718327712102,-73.3491697045028,-74.1603089439901,-79.0271159508632,-79.8585811448802,-80.2041312841767,-70.4823990109486,-81.4268935829215,-48.2674208079593,-32.2979340651097,-52.267391412448,-45.8735316460556,-33.8692172183389,-7.81975518869858,-35.8199786345547,-34.2895821048563,40.2807706633227
"PgG2M",-4.25895445498649,-1.93272757518447,4.44202311755066,71.628521512271,-3.50975926547351,-2.43748903053064,-4.37783380918488,4.84702186766237,12.3325286822237,12.3315904766808,14.1782314052092,46.4191297671333,87.8301438701264,91.053134345672,72.8836153799352,-16.8153382621227,41.990266142423,-35.6322447621479,-31.0310406208391,-33.0529828586538,-37.8373210776273,-39.9098448887802,-38.8689579086386,-42.1224237603582,9.77412673580689,84.2734906320814,-24.2409742045426,26.3811879579175,56.8416836871147,69.6395438554174,92.3657999887579,75.2485566781586,14.2156052723067,-38.2122184357631,-46.5676597927675,-30.1551069945774,-23.6528015098328,-31.4603718167243,-49.418827440365,-49.7772754625082,-39.4938132913576,-39.0116445982702,-53.8433988071067,-44.8460201681804,-42.7566689643121,-42.2404170086771,-40.3320757836348,-32.4653699499658,-35.7124355928375,-34.6877511362353,-35.9207872788144,-34.9323417091141,-33.738390648984,-35.6659463339092,-35.7774580653272,-51.075450559522,-41.3782124228921,-48.2806946557014,-56.7127722325473,-49.3538032021838,-49.3374834874645,73.2511964615585,83.4972901371185,84.855397986739,84.2512623358332,77.8538776079732,82.1792503156559,62.8680334023508,57.5960401369799,12.5957103954696,14.5172573409924,75.3885525979173,47.8211207541643,37.4257833198553,0.180876926334048,14.479808979388,37.744155655711,-3.0589016622559,44.6371662241258,16.8781455094496,14.3739444999847,4.07122912534835,0.159461125246518,13.4601819371485,-7.13436907555027
"OPC1",31.1763309585888,37.8877365927989,37.1620773860179,60.0942837423979,50.2451783515396,7.71290959842118,108.838183318958,102.931710775088,83.657780942267,77.163545291713,76.9331736418021,90.148635991303,65.911368743759,43.7509152831705,49.4010879671468,-41.9204339347462,22.4867476681803,-48.0702202341756,-35.9518417766785,-28.4493394666864,-38.2413578131461,-50.1869074202687,-36.8725056695029,-42.7613209138277,17.8564631181908,59.3723682245604,-15.3864255768235,76.4062359837281,65.8050576549507,48.1684347829208,45.5665251702135,44.0109445978133,-9.13768463039775,-37.3940677970961,-40.3412337404774,-34.2820347582916,-31.6665283926329,-33.4815317928397,-36.0334850303954,-33.9217211726036,-31.6946079269971,-25.6508428184279,-41.0986369039059,-48.5122701110764,-44.8142575935228,-52.8360018965433,-45.3652671354211,-32.727600177213,-40.5347089802004,-28.1581945744189,-45.6243942865623,-36.9648325639276,-35.8907941568947,-37.5933122491813,-37.4084181820098,-35.3863593697406,-29.1226671404987,-33.1679593272408,-39.3884510260122,-39.8691674292527,-37.8187755852485,46.2490427230068,47.2193218859403,46.6650348215154,47.5185867000134,59.2707570128879,60.3680747128845,36.5419185255744,33.4516734012825,82.1641231421945,80.3743906076275,82.253285743457,90.0431178923168,89.1880769558137,114.350015366772,117.070527629667,105.639208511582,39.8471484705004,52.300444182998,51.6921262360544,35.8001947398874,23.9759729223184,50.7515753020552,79.9762981903467,39.0562211482877
"End",116.424402708244,81.6198544051017,69.2081611200289,41.7997554257235,25.1528236530554,59.2272537758385,23.9290288733036,34.6384132849975,25.0725160054604,27.8770480015759,19.3730474510768,13.8597744174204,5.76640704853619,-1.73196167590993,-1.94931753543962,-33.3281012058454,-5.47788933092147,-31.2246974410634,-14.344809744023,-12.8457430848367,-23.1686719132785,-32.652620544586,-18.5325447911687,-26.5772310313631,55.7360663733694,14.1847276634545,6.41077599653828,31.3131069566425,15.2204733151165,0.71317435848503,1.46558654046695,-1.36543468392624,2.87566021905645,-19.9222335631523,-20.3137191798235,-13.8947788471319,-15.1167958224849,-9.24633198919327,-23.4419733399987,-19.7745382102024,-21.6942799618678,-21.3092887134566,-27.3551562471235,-31.3046615946743,-23.4880075736126,-29.0702928537876,-25.7639503486739,-13.7598088378668,-17.4477380780372,-6.17317345501494,-24.9902056034768,-16.9796734966303,-13.1264643374906,-18.3407916254801,-16.205277916507,-21.9818105863383,-22.1316326437013,-23.5559116974183,-27.6577658924124,-23.3335162508788,-14.0384673423198,-0.316373622045467,-1.83316145634569,0.704756765130424,-0.416844644626692,6.86407587463369,11.0778897209614,9.29491183321418,1.38082098163175,26.7467211545181,22.8736674653029,10.4737133865047,19.2363451713093,27.6102352486904,32.878775678874,34.5960838833797,28.6224121567339,107.05582346331,62.6276003116374,96.682335277684,82.3160667561451,77.8379450572409,62.1779034556509,54.2936695649858,43.2867951464732
"ExDp1",-19.8872356868918,-21.857214034083,-22.8324847159249,-40.1758031744413,-24.1654250795955,-20.0983618954962,0.918402917596005,-42.2191057803923,-51.0347465102855,-53.523998526701,-50.668931234086,-53.8223685607143,-48.6059626460737,-39.9857854137754,-42.8274085998502,-29.6963493394756,-51.4984087925602,56.861012488863,109.163609195751,110.267637242693,85.3134507205803,40.3910679141332,78.2372656570869,51.3862124206943,-16.7924893970655,-52.6398581849385,25.8789401802842,-56.7847584027871,-64.0252941496293,-44.943470889001,-41.0262040838269,-44.0344458019608,-59.9982779951598,-24.85484451533,-25.028713104635,-31.0667798686728,-38.8305881099647,-34.7820330465561,-8.2497087147502,-4.91078924856252,-15.610458188851,-0.706738717184533,5.3644853817436,49.7637629281711,70.4673956061021,69.7444316361452,84.0689741941931,110.252925815542,104.051561886483,70.8483384369835,35.8726775904083,-29.0221240536984,-32.761494131537,-32.7780223084293,-32.6289536855042,-6.62621072517082,-7.25567598524821,-6.96562145778949,-1.36093307513197,-16.5142596092832,-1.40367832715867,-44.6333362577257,-42.5423027596438,-43.4971087948191,-43.4870552925148,-54.6432934639937,-54.8267629709873,-72.9698312344172,-65.0264152427845,-53.027647816465,-52.1444141424609,-53.4373499569511,-55.7087658931066,-57.8511286541114,-20.4924414908816,-41.9372365456569,-61.0162218983857,-22.2059223632262,-33.1798214167427,-29.493246284681,-25.6101800350974,-24.7880644222558,-32.0596538343511,-48.0500814352553,-43.9531956378801
"Per",99.889569200824,134.403095055527,99.520180922702,81.1754681999606,31.9053412239389,47.5371622626207,42.197731686803,60.7030585088597,48.6247696824711,50.554614949932,41.615774536593,40.1735483846717,31.6004856029427,14.542181966684,17.3773870023861,-43.0581898719512,5.19463355565762,-48.686070862363,-24.2496559728152,-22.327839764547,-31.3877272546348,-45.7940431420537,-27.4375732454141,-39.1492911660917,59.7153656020564,36.2261145032917,-1.80790249708249,59.3736473760741,43.0598618450984,20.057523409895,18.2832558415141,16.4590055918185,-0.140986686453874,-25.1586009196582,-23.7807775671749,-19.5332249957176,-16.6778894218068,-17.4894532391838,-30.5911121774565,-25.3306726169891,-29.8805133780973,-29.7411269467448,-34.5649856040819,-45.0505297324397,-35.6060749010373,-46.7790723174574,-38.0375378671475,-23.6807542528538,-29.496316832176,-18.8501107111,-41.4674191262372,-22.7569861219179,-20.2625513633819,-20.9117693912237,-21.0647540587364,-28.3997072478355,-30.9206352680338,-30.5012971453781,-34.3238912750704,-28.3995313362003,-24.3981224154819,18.4337209224652,16.5025617153299,18.9668189217177,18.2041339859096,32.3232991121528,35.8133422900492,23.4755307953288,14.9386553954676,50.6984094287296,45.845660578642,39.2279346724547,45.7906932869544,56.2876838725324,60.2775220810028,66.2734378436763,57.1788845363511,127.759367023965,100.199918870338,131.965441632837,105.017389348501,82.5281382946586,64.9472840323519,70.6817934416731,40.0326982531409
"Mic",66.037339043269,65.0150414570928,64.8094543645039,53.8306064517031,27.2831575165841,104.46935677917,32.6518840544333,48.8421845031759,42.0935173669751,43.9964104050729,34.9872321389681,35.6648627066609,28.0408194010408,13.8796326912382,16.6996133699341,-36.9361372613148,7.64150637034798,-42.4073882366023,-23.3249434221565,-19.8870274616288,-36.0165525969475,-39.9008784504183,-35.731949226287,-41.6982790285754,29.7468525103372,35.1319776378561,2.01788436560569,48.1878900349213,36.7277251290646,18.1178787341247,16.2449397639388,15.5341981953905,1.77735549245743,-16.3506394552868,-12.169125522429,-6.92727120109883,-7.33727279012397,-7.61232746664357,-17.8349761693083,-14.8719338330348,-16.1649916583447,-19.8474790281161,-25.4600954771458,-43.6890318462869,-43.9605419315445,-47.3050737170414,-42.9479411618599,-22.0457437910402,-30.3463361712327,-13.3463072535509,-35.8583053088354,-11.969582788461,-9.90617026499979,-10.1593316385937,-10.4778157211702,-16.6299289223125,-18.6090153127077,-18.6045022113254,-24.3112496562848,-18.3847168088922,-14.9161946531473,16.9230588222067,15.7233961506566,16.8983538758123,16.6911913664021,27.8572787382139,32.5356332051346,24.1959534231427,18.2057569342096,43.3728726126456,38.9594670842366,35.0804134182679,39.5401557530848,46.0136742536866,46.1258616049574,49.9482068528919,47.367067389328,70.4083989920071,65.4964666815094,77.5684495663922,56.8933091263168,98.9718976776827,71.5008197401878,68.9978894578435,52.3394668829444
"ExM",-43.0605513887508,-45.6999432360074,-50.996882664471,-68.0876303772336,-69.7714517769849,-49.5412648341125,-52.2620798925272,-78.5826451739931,-97.5982711700102,-97.3282684854812,-93.4002364976072,-98.6857431148153,-83.0262799761286,-61.228733461433,-72.774190548619,-6.57719982106121,-106.494584091916,61.0356448428816,60.3757564466677,42.546403169029,129.174182036922,127.781189527981,149.197269509815,154.17663156377,-51.7410500140464,-96.8213002938296,-12.1883417565877,-100.603219191326,-103.821322367028,-75.3048836370775,-63.2462023523795,-71.2091923917444,-79.4438656194082,-56.6660939816929,-53.1663477931246,-54.3141219564083,-51.2768777698627,-54.1077483266623,-45.8650786974533,-46.0554722548491,-52.2671772761082,-37.5902141683684,-46.7203672609973,155.700567960007,162.479890959073,118.659138871646,133.900754553625,53.721420941093,97.6532212811602,24.4970868037769,5.31217989310647,-56.367642057408,-55.7902667770229,-53.8542895412154,-55.2575222595556,-46.8781090857235,-45.9927781509484,-47.5700593996238,-50.0213559958821,-54.1832165313215,-44.2539256664548,-73.7617025938284,-68.9316349579573,-69.4935658221636,-70.5858747760355,-95.8595948131653,-99.8197481956047,-108.286518112936,-123.11614796283,-99.1497589809748,-96.9223355853047,-95.5155981212129,-102.323219948754,-105.846732243939,-73.9793850399519,-100.038398009541,-132.738961892506,-46.8180472646613,-62.7733098766581,-61.2688973195907,-61.5995476889644,-61.5710459843682,-78.8005155445851,-112.34581629034,-98.4750966260217
"IP",-1.45034340842417,1.51347789948944,-3.618732176245,21.9836352449896,-1.60790407523134,10.3223306800304,-14.0647387459927,6.53240083807727,22.2152046513705,33.1936627451377,25.154231403644,36.2684175356848,42.7078921644154,47.9112465511595,50.6721991418864,94.3360499547609,144.620996871854,-3.64139781001225,-58.2647862469507,-58.7149302881642,-67.311343207652,-41.4448920507211,-68.8328619367504,-67.7579458621496,8.23494942063843,59.5680922446047,-6.38667437186903,27.9752504509713,52.3773521981573,46.0091133443989,43.405024125073,44.4954707088278,37.1705654455715,-7.80724422255965,-11.2345131821574,-7.60483512392474,1.85603707402011,-3.06576124016144,-32.9126770946431,-35.1297628145339,-18.0017144161105,-35.2770973421886,-14.4327571465582,-60.9336309812481,-69.664808915775,-45.8211117163624,-63.4123297087473,-59.3601294228,-62.875794403353,-27.1656316545523,45.9802509587858,-7.74341001417173,-5.30745181828807,-4.60841393924632,-5.25038200683386,-34.5658894337975,-27.4564562672679,-31.3874139473118,-23.3961183469342,-13.1269604328519,25.2639217847074,45.6442546215129,50.9426168408471,45.7942202218791,49.126080372024,55.6011474210895,58.8589678717684,57.9451983580323,125.36966200584,28.0996135281742,27.0851471085962,41.9724304362138,37.1652738559881,33.532795450169,-5.02712366727435,14.8741222450078,77.6936630755433,-0.0982093942738735,7.68163925415802,3.72441078884273,7.65972997320791,10.3043151337215,4.94467257952832,35.9056903908893,35.9373248660183
"ExDp2",-18.865078917244,-21.6879449933015,-19.2049820855771,-34.0530418447424,-18.773482036388,-18.67064657276,10.1639064856793,-33.7592874378071,-46.2256101748499,-53.1741236551075,-47.3557717162666,-55.6328462017313,-48.2204619238509,-33.0442943770435,-42.6921038262015,-33.2665834721515,-53.5627042908658,40.3715346201083,107.086632216877,117.120624073617,85.433214050291,31.5549195418964,85.0370643677944,43.9446009695283,-10.4605453678717,-55.0064449516762,31.3816394951216,-47.5868364107858,-60.9705913043684,-45.4419750745228,-34.0149697834953,-40.9988752175774,-47.9948034263696,-19.6369699769872,-22.5739009614318,-27.57677190752,-31.4712631676507,-30.3464937156989,-8.04064721521692,-4.79428469671866,-14.1352788057476,0.713772287751841,2.00738407580258,42.4758522716781,72.8005160259497,62.0201482172308,81.0457048266892,113.158492124768,104.723052506551,69.5349489090909,24.4558428582575,-23.8320328851291,-27.6371292577938,-27.7546305718707,-27.4842903410789,-6.46163193527744,-6.13224472198794,-6.45645026562993,-2.78322521080799,-15.6300692356603,-3.97430844480965,-43.1714751053203,-38.1300226023991,-38.2925932441637,-38.8892700038898,-54.2770381586597,-56.7228090712876,-66.6250968396035,-66.724479831113,-50.1865377122593,-49.2171864679365,-57.0674424790786,-57.7832991554733,-53.835565720565,-11.2252451043659,-31.991637700477,-53.6762464155423,-22.0023755842816,-28.1233604458651,-30.3408867494124,-20.7452632834716,-22.4629439334499,-27.6424545181152,-43.2936586672722,-33.7001092438386
