"","Endothelial","Mural","U1","U2","U4","Microglia","OPC","Astrocyte","oRG","tRG","vRG","RG.div2","RG.div1","IPC.div1","IPC.div2","IPC.nEN1","IPC.nEN2","IPC.nEN3","nEN.early1","nEN.early2","nEN.late","EN.V1.1","EN.PFC1","EN.PFC2","EN.PFC3","EN.V1.3","EN.V1.2","Choroid","RG.early","Glyc","MGE.RG1","MGE.RG2","MGE.div","MGE.IPC1","MGE.IPC2","MGE.IPC3","nIN1","nIN2","nIN3","nIN4","nIN5","IN.CTX.MGE1","IN.CTX.MGE2","IN.CTX.CGE1","IN.CTX.CGE2","IN.STR","IPC.nEN2.nEN.late.1","nEN.early2.nEN.late.2","IPC.nEN1.nEN.late.3","EN.PFC3.EN.V1.2.1","EN.V1.3.EN.V1.2.2","nEN.early1.EN.V1.2.3","EN.PFC2.EN.V1.2.4","EN.V1.1.EN.PFC1.1","EN.PFC2.EN.PFC1.5","Glyc.EN.PFC1.6","IPC.nEN1.EN.PFC1.7","nIN1.nIN3.1","nIN5.nIN3.2","nIN4.nIN2.1","nIN5.nIN2.3","IN.CTX.MGE1.IN.CTX.MGE2.1","IN.CTX.CGE1.IN.CTX.CGE2.1","IN.CTX.MGE1.IN.CTX.CGE2.2","IN.STR.IN.CTX.CGE2.3","nIN5.IN.CTX.CGE2.4","IPC.nEN1.IN.CTX.CGE2.8","MGE.div.MGE.IPC2.1","IPC.div1.IPC.div2.1","MGE.IPC1.MGE.IPC2.2","IPC.div1.MGE.IPC2.3","MGE.RG2.MGE.IPC2.4","RG.early.MGE.IPC2.5","MGE.IPC3.MGE.IPC2.6","IPC.nEN3.MGE.IPC2.7","oRG.tRG.1","vRG.tRG.2","RG.div2.RG.div1.1","vRG.RG.div1.3","MGE.RG1.RG.div1.4","OPC.Astrocyte.1","MGE.RG1.Astrocyte.5","IPC.nEN3.Astrocyte.8","Endothelial.Mural.1","U2.U1.1","Endothelial.U1.2","Choroid.U1.3","Microglia.U1.4","Microglia.U4.5","IPC.nEN3.U4.9","IPC.nEN1.U4.10"
"ExN",-32.5048900427873,-29.4741533226871,-32.0630554588266,-64.8487847667208,-22.1437899800846,22.6640483398708,-55.5508592845047,-66.3956885093221,-70.6710148094316,-73.89954740936,-69.8535851409393,-80.2612918709229,-77.5522645892327,-52.4459264694226,-62.4185904339913,120.299218512936,168.671306752235,21.4790681637381,44.3968533468138,137.528589338983,157.866785551108,-46.2250803589674,-52.7267802310201,-50.7351255242587,9.67650315668991,-54.7198098899604,-30.1880786165215,-16.0561733994963,-69.1714711616975,11.0873049234463,-79.1371934319218,-67.4444227573451,-58.3958272779131,-54.9092013530635,-55.8080683839783,32.7119767603491,56.594471421768,66.699786387593,45.8854443831942,61.3659211471915,62.9920907685542,44.2337162197108,33.0250964998323,39.7886399965015,23.9366725067795,78.7199584198465,173.679545420874,162.475330586082,156.491975543493,-14.3247560402949,-37.8160750031137,9.25928526667909,-31.5023497261623,-49.8728351336152,-44.511442498001,-8.3413937049445,91.7555695011332,52.763972272986,60.273395457634,66.2417731784971,64.2108290138491,38.7958972676144,33.0190453997505,37.6962830449303,62.785917514561,65.9903671920898,81.1206820168078,-57.584113538362,-58.2766542780043,-57.1280208213085,-58.4081084054239,-68.4482741936597,-69.0838409359601,-16.9246331368991,5.41137541085929,-72.8178469572495,-71.8473906246757,-81.8853114586616,-80.7023388695217,-83.5137293317503,-71.5384857990209,-82.6936818850356,-51.2171207701201,-33.272123683227,-50.3631440361017,-45.8842591897762,-30.0670335456581,-1.79041099628858,-18.0498747124727,-27.855989012591,22.2802200032573
"PgG2M",-6.33957186483044,-2.86474836001719,2.24104049326398,64.6035536663388,-7.71057135418832,-4.2814018900798,-4.46038715632179,7.92421937604374,15.3961666299889,18.6008591151704,19.9183866038277,69.1704797310995,97.5351031187025,97.7925787064301,100.815924617737,25.350747049431,-20.0616189254835,56.470639091329,-40.2874034113586,-42.0944774685657,-40.7120598267796,-35.6139406595707,-32.4812129097995,-37.2539071075496,-42.7289139111833,-39.7732508764754,-39.9637299603532,9.80030261940518,93.8832312013123,-29.5083411570454,29.9806058003253,73.6083340549539,94.1899748560575,92.1744616467984,96.8988813669234,24.1346870588154,-33.2976115036319,-39.4235134891575,-26.8470927997461,-23.4003208386492,-27.5944289402938,-41.1449944945613,-41.9029652688183,-39.1130947267609,-36.473999733387,-47.361466468863,-32.4375543443963,-37.6202584514089,7.05847150566229,-43.5625909070695,-43.003179597896,-44.599708394044,-40.5301610536538,-34.3423770028786,-37.1913367255957,-36.6866821426299,-29.319942307826,-30.6587796717507,-29.5339230822946,-32.639356106345,-31.7087758582437,-42.3226968761752,-38.8916313516606,-42.4728640135664,-48.0422042796946,-41.0299968232594,-40.0280647445106,96.6514889306172,103.647557300098,98.0113966212511,101.389645104589,97.7296626924317,97.7113853460701,82.7266811363338,77.1256036495986,17.3114583688254,19.9645389804922,88.556080057965,55.4141553713324,41.9615819430247,1.97221292487049,19.6182306949502,46.0614598868519,-4.60821587806714,32.187810469271,12.5848842460705,13.3403303531513,2.03859094879348,-3.54126697523588,14.3809768215178,-6.02198724181959
"OPC1",22.669367292787,29.1461186539886,29.5552812572848,48.2399047070639,41.234701834655,6.51391130791008,92.5008916258673,79.1320966751803,64.0896760267165,58.8787732461825,61.2909210228406,65.4988003513561,61.9614622387027,42.6927402119579,46.2607569781062,-17.9488594944473,-37.9561955182385,24.5980221637006,-44.5808768893849,-54.9137071658412,-53.1692941421185,-27.5625207885641,-24.2208095692631,-38.7868217787006,-42.7061159213077,-36.8378495653074,-44.7962586645476,19.4234603033359,51.5920656848443,-14.5872546059836,65.5658346732037,56.1713801282109,45.6140801283605,45.8996289902219,43.566672876686,-5.93535043982602,-32.4328627342444,-36.5278079207903,-31.1847669626273,-29.9305617958378,-33.4723182088892,-35.5145196683307,-32.7893090925907,-32.7298939418595,-31.5568935116585,-39.6694075008959,-46.2231236186369,-51.4152703156645,-32.5599652295472,-46.295218730787,-43.3710309032833,-47.9995943898811,-43.7208613145657,-26.3905460748609,-33.3544653972206,-24.8753789214419,-35.2832015154492,-32.5435707270603,-33.561228546549,-34.3279410380124,-34.3373025123899,-34.465092328142,-32.8032813713321,-34.7482056766516,-39.3736970004296,-37.800302197544,-30.0250601096622,44.8598155692724,45.3546704624394,46.2705354115991,46.369623737398,55.5909280207592,53.9118059808422,41.3096050571084,36.5834045689931,62.1198786134607,62.3500074832061,66.1551923170052,69.2512979498523,71.1335029892872,93.6670568405464,91.0328964286321,81.6827165005879,28.0131612252404,40.4501803565307,37.6582255659529,31.8397056123833,21.0311680536202,41.6146455936711,63.3955597963003,33.2617803745055
"End",120.08516162397,94.0562345945187,73.7191114211605,42.9319426432295,29.6450999312116,51.0819014605848,21.9159438852779,39.3837806768355,26.8354376682868,27.9758955436348,19.1951769732096,10.642343096199,6.27506903566619,-3.156718745017,-2.88687990819691,-23.8832043379108,-35.2650230199871,-6.13249186607547,-31.7473269943333,-44.3360291493486,-40.8687925172922,-16.0497830337276,-14.2467100845362,-20.5337572503699,-31.0266967610741,-17.4577604298313,-27.3242613239633,69.9170898871591,11.0648814038753,5.26609332585773,31.6318726296978,15.323804519984,-0.633767813624578,0.760958652192877,-2.71868540507344,3.35077122790841,-13.5579785365704,-13.539434821101,-8.8624695327186,-11.5867738900103,-7.89866643605514,-17.2858411929295,-14.8686892785117,-15.165639979469,-14.2849720707928,-20.249482571222,-41.0629073532901,-45.7888362761815,-35.440640175036,-30.3176355211238,-22.4800553799966,-28.2295628412338,-23.4093678829618,-15.3147452470629,-18.0097807055813,-4.96318778988885,-22.3512042175994,-11.4215597459435,-9.85154420179399,-12.933566042384,-11.6686691228718,-16.1981203558978,-15.0067537056602,-16.0354821576922,-18.8872040511933,-15.8588624243838,-8.2728638842057,-1.64251717991889,-3.03160181947946,-0.295718984344152,-1.53024850155593,5.89471977447994,8.90265562103872,8.73110570474064,0.50705043394003,27.5684940838114,23.0673353079461,8.75787538228618,16.9547793403345,26.4279339485578,34.8083986212856,35.9866870531354,27.1627036672074,115.820448391007,67.2692332517705,107.32920821412,100.487011038711,78.1483189659879,60.423966437626,59.6864585063502,44.18222503463
"ExDp1",-21.5179912962748,-26.1056003580285,-25.7340138424692,-52.793650941306,-23.4119747762239,-26.1119260567759,-3.01883311993704,-49.5208903658705,-52.8944104354531,-58.3142602941598,-52.9562275526981,-75.9809137910589,-76.7061084544084,-50.2166655987226,-58.3363678319594,-38.3519521328861,-32.8197911056711,-68.1610349382948,75.1019052889263,1.0290199722195,0.59224396054713,116.68218957626,112.108358524855,102.206789851867,64.9797197723379,93.6913519856924,59.6883437533022,-17.6814927269653,-78.2268661381166,39.9287358109218,-61.6209065841903,-81.6650868596844,-58.9293257594711,-52.3350629061621,-58.640206498122,-64.6246433218548,-22.578800096641,-24.9584190494351,-26.6460550982821,-36.1171973206487,-30.6047550163222,-8.05906509741932,1.31500138858149,-15.5368783657138,1.46690662512471,4.95489850982424,-19.6150825081016,-11.4280335890581,-31.305896412724,65.2850980478172,85.2635336271606,86.0294286792709,99.9136939082753,114.908358184524,112.219430056089,79.6057227261226,45.567274106591,-25.2311493284711,-28.5330134907872,-31.3854888956752,-29.8236836265523,-3.50703714709933,-6.24033297079777,-5.00447615705944,-0.984466837114651,-15.6269768988291,5.79779832669264,-59.1661728338021,-56.1197608249498,-56.8948840815075,-57.4352120201841,-76.5306580757868,-81.0907003798029,-91.5933977611979,-93.3704166392512,-56.4270868179073,-55.4800903775085,-81.2493982155383,-73.7327897567312,-69.7624650213051,-28.2919340705201,-52.2242874903763,-83.8420873317136,-25.3240020996766,-39.7674952031658,-34.0771235476224,-29.1621585928728,-32.8438876481372,-33.9818904120897,-55.7268812363245,-38.31428610246
"Per",72.3470982780234,100.735669116312,77.70834168036,67.5992470708514,42.0130592309713,44.7419492680969,32.4792133032062,58.1877143283977,51.4875741684596,46.1282062621847,43.7066847715431,39.878312463019,30.7132258581965,12.0557091017106,15.2508628109207,-24.5616230634452,-36.4039853316139,7.18311996702583,-51.7464220921186,-49.3285011544083,-47.6195174680176,-26.9918035961829,-23.2219398527273,-38.3500194343062,-54.3110546092638,-32.3156200300224,-45.783507959572,49.9597234956557,32.0683036991934,-2.96350110655017,54.7906636810782,36.0515365256571,16.7315541255354,15.9298559918722,13.3242584546251,1.13554737441271,-29.7413394619545,-28.9227841663715,-21.3338652742231,-22.0390113942068,-21.9047384673875,-32.9727854664454,-26.537367593847,-29.7855913032276,-31.3960799340876,-38.7233472902954,-43.2962662498875,-47.2627385336064,-35.6545102461727,-51.8181176222335,-40.6352387148318,-49.854061050332,-43.0994075914043,-25.3532644284466,-32.3214397427404,-19.5944234472706,-38.3323960688536,-26.1852313186819,-24.4151455073265,-26.3777268287369,-26.0071581562205,-30.1395826339864,-31.1993561517954,-31.6573330929645,-36.6052669168197,-32.8227486199198,-26.9160860715713,15.1099639021085,13.8456642568247,15.8450035370795,15.231545260243,27.1099847265629,30.4506828988398,21.3895108458513,16.2994670964127,49.5048765487233,46.7631885503079,37.1942388603232,46.1372918535386,52.778572752261,49.5666458031939,55.4062430187716,49.7427531592647,88.3418622490429,79.0994394657358,90.1650047089287,76.5194041854773,66.6070668801662,67.0977478842823,68.3940663062943,47.5218692805954
"Mic",68.3759892487233,69.765066134527,77.6667499537857,64.6635657521785,38.3043409352901,100.572611003365,33.6961951187331,58.4318141458386,53.232358110047,53.8097314107215,42.6024052877245,39.2150772098464,32.6857780109647,14.839455914286,16.0317632396789,-27.5884487877134,-40.7248139437863,6.56212852468995,-50.576170165448,-56.8221854789215,-50.1795356784762,-27.996079389946,-24.5883997192683,-32.4221412958137,-41.5602148745186,-27.4274329571388,-34.2635235065555,35.0922263224914,38.3747549490963,1.81033310794146,51.2808153684572,35.5535206583113,17.5007179924603,19.961976862003,15.0222525449029,3.20863340784113,-13.0447221951326,-10.8542920932359,-3.38340930363346,-5.802011887932,-6.12126713365789,-14.7955542642249,-11.940071323047,-13.7670475260861,-16.6342056813277,-27.3415419565385,-47.2361752542933,-54.6651502292146,-44.2814976471877,-39.546475625129,-34.2060119257038,-46.2900039336035,-38.5403698976492,-26.7907737275424,-32.7124382046163,-10.9099693651556,-30.7138988382706,-8.42467378469713,-7.44736644445932,-8.68826698371038,-8.4251022833572,-13.5528097946041,-15.6092320927871,-15.2902572311072,-22.0466836233519,-15.4620134807812,-9.29169204920483,16.4311350534384,15.7427372448063,18.7087786391822,17.5790761989185,28.8204693424451,34.4882511849245,22.9867571745651,15.9257008697716,53.7817813772454,47.9495277222459,37.0715199471406,46.0769681764876,52.4323099651145,53.5106351827543,60.4973843380677,51.8786682470898,74.8599607699027,79.6758896541126,87.0577717650055,62.8231844825065,100.323193321159,84.5240228357437,84.572899339052,65.9619732169641
"ExM",-51.6219794571458,-58.9139181122755,-61.9720273387662,-73.0779637247303,-65.3875080876185,-52.3151700273684,-47.8782452582844,-101.644523683628,-112.360330214989,-110.94051451514,-109.418755042128,-102.664975120093,-79.0844906529291,-52.9162089806065,-68.4467283929364,-90.4149447138292,-40.4800738313594,-146.894067243331,79.925870668345,81.7404575787991,35.4253507832742,58.2158250974046,50.129920266238,136.824796723324,161.35624766466,145.521511543631,200.215557133433,-48.1551943315873,-90.8405662604901,-4.8002210537283,-110.671218340926,-113.328924631063,-70.3293804555065,-54.443219937625,-65.270141681783,-88.4874382938048,-55.5373983561315,-54.5386222925343,-59.0398059008686,-54.5982412131043,-55.6709067287581,-38.5725760367197,-35.6909291970972,-49.3493062357887,-37.6474886102009,-36.921547814509,-2.67587875936808,41.673611626543,-40.9484598706255,196.488485195713,177.736825173779,143.958499160463,148.069367063977,56.1149117742233,95.4645196303669,33.5292299382756,1.27895276172035,-58.0920376999253,-57.5622008522803,-55.982762894248,-56.8775704234167,-37.5816268679587,-44.5417171169924,-41.7074484304257,-40.8850591968685,-49.875232162727,-50.3584263832241,-67.8291884107164,-60.7669656946484,-60.6545473670474,-61.8401681800912,-89.0737197467113,-92.2098249316927,-112.355273634712,-147.736543801998,-113.504097185242,-112.056539600911,-92.3700143682142,-107.135762096127,-113.258581738385,-79.2440881778721,-106.986724266654,-144.367198178973,-59.9302225355242,-74.4362074244806,-76.0281783993942,-61.7362383262625,-67.8511220697389,-81.0393356404562,-118.033790603439,-101.903197800103
"IP",-0.0277079379344772,4.24970093406563,-1.58073311451935,22.0991394510742,-2.80893372330065,14.8521720402854,-12.1850766797355,6.94791286005462,16.9749539071893,25.1675366839118,22.2961308706867,32.8777829313542,38.9775106163043,45.4619169959082,52.2250763792848,116.36479444372,90.2268440828668,141.362906795014,-16.4962467553299,11.1818454933614,28.3301480454571,-50.6263705381183,-46.8131329143952,-65.4031303399127,-51.9975561574332,-63.0753826059554,-75.6988370133219,9.03755779282618,52.1212703337647,-18.765245402925,25.4361054085271,50.3516446226241,46.6703913654243,41.293177472226,42.7524189088704,47.3722386686972,-10.9889873531194,-10.5547008154588,-10.3049768255574,5.31060418340147,-2.26721550595567,-34.996051435552,-35.1540329966652,-20.6543888020357,-36.2117823960197,-15.305627688811,65.7391295927619,43.411034182563,98.9262282732455,-67.2047706771641,-66.9609993860419,-45.4103059504165,-60.0013561809181,-49.0528754370906,-54.100886625917,-37.9035685874201,50.6666705227079,-10.7677630766811,-6.70329424499768,-3.29444089720914,-5.41462818030259,-35.5420174948551,-30.0452719485494,-33.7753701616951,-24.8241608216158,-15.2558280281053,21.3177513224405,44.9542632037134,49.6579279104196,43.9033866384727,47.4079131821178,52.4081783824708,53.7153250394311,65.6766003906028,127.35963342608,21.1586038213304,22.2019754649117,36.6130984429973,30.6312458921347,28.0582286603171,-1.90761556030397,13.0075867737524,62.1937058581387,2.19661881505797,8.94886792706662,6.236664872002,9.18393418117343,13.9765623381099,5.14500588037286,32.4439119932647,35.4523378316534
"ExDp2",-17.6887025472788,-22.0770082686744,-22.05522656945,-37.2075484667212,-15.1953547228694,-25.4640597072177,9.54255606030291,-33.0579320600193,-36.9043121612055,-40.6659561417443,-38.2307048516165,-42.5700783090423,-43.634636534,-34.874975679543,-42.3391047177519,-38.4882532963254,-34.4221038148145,-58.3202915977625,57.8988340817854,-10.81987324677,-9.6300287576761,120.152137796678,133.837417447692,93.1534432746872,47.8360214199952,76.8724854878075,46.706855602095,-9.54116933955185,-50.3152837954073,44.5035303371312,-44.6603997391566,-52.0904677789701,-44.7139329005035,-35.7285985716839,-43.3119437601335,-54.6829267623881,-20.8287010624517,-22.4431007495751,-24.1398389867411,-34.7285267013544,-30.1524251738848,-8.37412549685651,-0.103944741892344,-15.3397960195303,1.61523162319369,0.413303176249577,-24.4651270589113,-19.2835352238873,-33.2096191045297,50.2732924665011,69.0477874981335,70.4413134232251,88.589249158796,128.204300840299,118.06569432115,82.052466074534,46.0225886916207,-22.9435854777554,-27.1093125796654,-28.9933139785975,-27.8268281768711,-4.27716080330151,-6.49964375261842,-5.45176471993971,-3.08927541590813,-15.030374748547,4.89267873065729,-44.137610232507,-39.4907624587027,-40.2536946472002,-40.4412162998885,-49.8912558056227,-51.4964069469501,-68.4790053074561,-71.0583905298842,-39.1272424809453,-38.9805653756653,-44.2201990835454,-43.1785104820961,-45.1323754748475,-15.4011029653784,-31.6864594751491,-51.9322258905956,-21.7018158249243,-31.4263728907183,-29.1400731757303,-19.2019528502646,-25.3305984087079,-24.0927660897629,-38.9858100219878,-29.7315922230941
"ExM-U",-29.0247104357659,-29.0369741118142,-31.4844995443642,-41.2456970981726,-38.2773469426559,-37.8205521531665,-17.0399087203948,-43.8411068271185,-49.375590689919,-53.9599055567225,-52.2047155961788,-56.2268408328474,-52.0846297962086,-42.7560985678786,-45.2628494377506,-53.9777954176607,-48.41724336956,-74.144313941387,43.5149041921068,0.797656267813136,-22.0170938750186,93.7357898105496,94.1905767356266,120.012318177812,74.5577135851018,124.568555164549,96.3290032143902,-29.3895230396545,-60.4298227245812,23.3587333179154,-56.9514811631233,-66.2984617512132,-47.9298423618268,-44.2632201407855,-46.0160389880012,-71.0116290759341,-41.4565813852506,-39.5770503039323,-42.9626739872991,-48.7603132417705,-48.8250771734298,-27.1292625439152,-19.9720058916762,-34.823533319778,-15.1541639956347,-20.3201358747487,-39.2227517164969,-20.5438272323927,-44.8698560313129,93.3610123363167,115.123030026009,85.7609394711289,110.477000198185,95.3461494636194,105.970615351727,59.6290676283424,14.9502837544892,-43.2813865968023,-46.8700931467388,-45.1178402388796,-46.1802116723475,-24.2726663188723,-25.4118924676859,-25.7719812688133,-24.4374341310644,-36.7016459250183,-27.8252403974886,-47.171297748878,-44.8068971177789,-46.4473728886791,-46.2685541952548,-59.1942034187576,-61.8305846570778,-80.8654450112334,-89.4102779240843,-52.1085133922671,-52.6154201504835,-55.4510999431687,-56.6198228359618,-57.9968567478761,-34.2552704849034,-47.9586518617326,-71.7945488271871,-31.7112335986168,-38.4056008895825,-38.2245327446472,-37.8108277719126,-44.2118531179045,-48.9679588118169,-65.073980503244,-61.1641645231047
"InCGE",-14.6810098986404,-13.506284949719,-16.5417929613915,-33.6426852320285,20.8326449125893,5.79944664849284,-22.7945789348138,-32.8951896461813,-40.0510973434267,-42.530213940025,-41.1819970270475,-44.2028436207205,-42.4501885844875,-33.7719583933186,-37.6866190752622,-28.1645444923334,-14.1959035201756,-50.2775076242546,-26.2769868959983,-25.095008021841,-12.8933405194509,-24.1703996618285,-22.2579903494517,-26.9879729168001,-32.8724403637076,-28.7584281883548,-30.7638097517706,-3.4801315157364,-41.1693333550767,11.9797997345612,-30.281532402349,-33.5586041494122,-29.6233926082002,-32.9304082401926,-21.7887315178646,91.6590168253326,129.061978670888,128.106229007862,114.170133480419,113.978147424732,115.399994575806,129.707775672078,124.438172709274,135.843044379835,139.007606135192,117.27206436245,-14.9993904135245,-22.0221225508833,-29.6794367224306,-33.3147749248743,-32.0008320204711,-32.3590227781665,-29.8903001729304,-23.4297169179111,-26.1286436917193,-3.72727301362103,-15.888584423347,122.995302832595,121.198579700351,125.864877133364,124.942126489614,128.773011629085,140.661974474553,138.615580224131,138.113533152214,133.581448939043,91.4697600143187,-25.9302019781684,-36.0144779599041,-30.5473281706519,-33.7316394319939,-36.1696047665925,-38.8128483856611,11.1958597121752,-29.673853051296,-41.551543450266,-41.6323956586265,-44.2606863086361,-44.5862547284219,-38.1383491902163,-31.5115028664519,-37.145843781049,-37.9513838415987,-15.1713614198909,-27.2111014767825,-22.8979073992275,-13.4392283910268,-1.86591874442299,15.2830055799511,-3.24649841189977,41.4629317082173
