"","Astrocyte.science","Choroid.science","EN.PFC1.science","EN.PFC2.science","EN.PFC3.science","EN.V1.1.science","EN.V1.2.science","EN.V1.3.science","Endothelial.science","Glyc.science","IN.CTX.CGE1.science","IN.CTX.CGE2.science","IN.CTX.MGE1.science","IN.CTX.MGE2.science","IN.STR.science","IPC.div1.science","IPC.div2.science","IPC.nEN3.science","MGE.IPC1.science","MGE.IPC2.science","MGE.IPC3.science","MGE.RG1.science","MGE.RG2.science","MGE.div.science","Microglia.science","Mural.science","OPC.science","RG.div1.science","RG.div2.science","RG.early.science","Rejected..RE.","Rejection..dist.","U2.science","U3.science","nEN.early1.science","nEN.science","nIN1.science","nIN2.science","nIN5.science","oRG.science","root","tRG.science","vRG.science","Reject"
"End-geschwind",0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468354430379747,0.185654008438819,0,0,0,0.00843881856540084,0,0,0,0,0.00421940928270042,0,0,0.654008438818565
"ExDp1-geschwind",0,0,0.407062285434036,0.0176557135850907,0,0.335458558116724,0,0.000490436488474743,0,0,0,0.00147130946542423,0,0,0.00196174595389897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436488474742521,0.108386463952918,0,0,0,0,0,0,0,0,0.083864639529181,0,0,0.15203531142717
"ExDp2-geschwind",0,0,0.512048192771084,0,0,0,0,0,0,0.0180722891566265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036144578313253,0.367469879518072,0,0,0,0,0,0,0,0,0.0662650602409639,0,0,0.403614457831325
"ExM-U-geschwind",0,0,0.00227790432801822,0.0415717539863326,0,0.00911161731207289,0.261958997722096,0.296697038724374,0,0,0,0.00227790432801822,0,0.000569476082004556,0.000569476082004556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0706150341685649,0.193621867881549,0,0,0,0.005125284738041,0,0,0,0,0.115603644646925,0,0,0.264236902050114
"ExM-geschwind",0.000203624516391774,0,0.00132355935654653,0.0256566890653635,0.0219914477703115,0.00366524129505192,0.2772347790674,0.0124210954998982,0.000101812258195887,0.000101812258195887,0.000101812258195887,0.00193443290572185,0.00101812258195887,0.00030543677458766,0.00030543677458766,0,0.000101812258195887,0,0,0,0,0.000101812258195887,0,0,0,0,0.000203624516391774,0.000814498065567094,0.000101812258195887,0.000203624516391774,0.054876807167583,0.0529423742618611,0,0.000203624516391774,0.000101812258195887,0.268987986153533,0,0,0.000101812258195887,0,0.274078599063327,0.000101812258195887,0.000712685807371207,0.107819181429444
"ExN-geschwind",0.000100050025012506,0.000400200100050025,0.00140070035017509,0.000700350175087544,0.000300150075037519,0.00230115057528764,0.00860430215107554,0.000300150075037519,0.000400200100050025,0.000400200100050025,0.00120060030015007,0.00190095047523762,0.0016008004002001,0.000400200100050025,0.00220110055027514,0.000200100050025013,0.000400200100050025,0,0.000400200100050025,0.000100050025012506,0,0.000400200100050025,0,0.000100050025012506,0.000100050025012506,0.000200100050025013,0.000200100050025013,0.00080040020010005,0.000500250125062531,0.000700350175087544,0.0540270135067534,0.0844422211105553,0.000200100050025013,0.00240120060030015,0.00780390195097549,0.705452726363182,0,0.000400200100050025,0,0.000100050025012506,0.11655827913957,0.00170085042521261,0.000600300150075037,0.138469234617309
"IP-geschwind",0.000465116279069767,0,0,0,0,0,0,0,0,0,0.000465116279069767,0,0,0,0,0.00465116279069767,0.00465116279069767,0.026046511627907,0.00186046511627907,0,0.00186046511627907,0.000465116279069767,0.00232558139534884,0.000930232558139535,0,0,0,0.000930232558139535,0.00186046511627907,0.00418604651162791,0.0283720930232558,0.04,0,0.000930232558139535,0.000465116279069767,0.645581395348837,0,0.000930232558139535,0.000465116279069767,0,0.228837209302326,0.00372093023255814,0,0.0683720930232558
"InCGE-geschwind",0,0,0,0,0,0,0,0,0,0.000697350069735007,0.271269177126918,0.377266387726639,0.00348675034867503,0,0.00278940027894003,0,0,0,0,0.000697350069735007,0,0,0,0,0,0,0,0,0,0,0.0097629009762901,0.0313807531380753,0,0,0,0,0.000697350069735007,0.00139470013947001,0.000697350069735007,0,0.299860529986053,0,0,0.0411436541143654
"InMGE-geschwind",0,0,0,0,0,0,0,0,0,0.00351906158357771,0.00117302052785924,0.00293255131964809,0.248680351906158,0.116715542521994,0.000586510263929619,0,0,0,0,0,0,0.000586510263929619,0,0.000586510263929619,0,0,0,0,0,0,0.012316715542522,0.0205278592375367,0,0,0,0,0.00527859237536657,0.00762463343108504,0.00117302052785924,0,0.578299120234604,0,0,0.0328445747800587
"Mic-geschwind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916666666666667,0,0,0,0,0,0.0208333333333333,0.0625,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333
