"","gene","Geene symbol","p-value","avg_log2FC","adjusted p-value","cluster","cluser name"
"1","ENSG00000180616","SSTR2",0,0.952368975402578,0,"GluN5","Glutamatergic Neuron 2"
"2","ENSG00000156475","PPP2R2B",0,0.930874681598678,0,"GluN5","Glutamatergic Neuron 2"
"3","ENSG00000184486","POU3F2",0,0.926074258131736,0,"GluN5","Glutamatergic Neuron 2"
"4","ENSG00000215386","MIR99AHG",0,0.854070574491327,0,"GluN5","Glutamatergic Neuron 2"
"5","ENSG00000171617","ENC1",0,0.839555353889283,0,"GluN5","Glutamatergic Neuron 2"
"6","ENSG00000166250","CLMP",0,0.828944907697562,0,"GluN5","Glutamatergic Neuron 2"
"7","ENSG00000271860","AL589740.1",0,0.801098487846539,0,"GluN5","Glutamatergic Neuron 2"
"8","ENSG00000099260","PALMD",0,0.799183872856623,0,"GluN5","Glutamatergic Neuron 2"
"9","ENSG00000181722","ZBTB20",0,0.79733566479141,0,"GluN5","Glutamatergic Neuron 2"
"10","ENSG00000099250","NRP1",0,0.79304885843747,0,"GluN5","Glutamatergic Neuron 2"
"11","ENSG00000249992","TMEM158",0,0.783136152829561,0,"GluN5","Glutamatergic Neuron 2"
"12","ENSG00000114784","EIF1B",0,0.779029513207771,0,"GluN5","Glutamatergic Neuron 2"
"13","ENSG00000157193","LRP8",0,0.745168790428431,0,"GluN5","Glutamatergic Neuron 2"
"14","ENSG00000124785","NRN1",0,0.737440443195681,0,"GluN5","Glutamatergic Neuron 2"
"15","ENSG00000134138","MEIS2",0,0.720354031262287,0,"GluN5","Glutamatergic Neuron 2"
"16","ENSG00000206052","DOK6",0,0.684722010202631,0,"GluN5","Glutamatergic Neuron 2"
"17","ENSG00000156687","UNC5D",0,0.671746930965083,0,"GluN5","Glutamatergic Neuron 2"
"18","ENSG00000182667","NTM",0,0.661041570055203,0,"GluN5","Glutamatergic Neuron 2"
"19","ENSG00000109472","CPE",0,0.64827577551097,0,"GluN5","Glutamatergic Neuron 2"
"20","ENSG00000184156","KCNQ3",0,0.63395616806405,0,"GluN5","Glutamatergic Neuron 2"
"21","ENSG00000120251","GRIA2",0,0.622907928729544,0,"GluN5","Glutamatergic Neuron 2"
"22","ENSG00000145391","SETD7",0,0.611133619135608,0,"GluN5","Glutamatergic Neuron 2"
"23","ENSG00000197121","PGAP1",0,0.609759596489302,0,"GluN5","Glutamatergic Neuron 2"
"24","ENSG00000136535","TBR1",0,0.608907866402877,0,"GluN5","Glutamatergic Neuron 2"
"25","ENSG00000162599","NFIA",0,0.603705287038258,0,"GluN5","Glutamatergic Neuron 2"
"26","ENSG00000118432","CNR1",0,0.587164618365566,0,"GluN5","Glutamatergic Neuron 2"
"27","ENSG00000091656","ZFHX4",0,0.584201917298812,0,"GluN5","Glutamatergic Neuron 2"
"28","ENSG00000162992","NEUROD1",0,0.584019114179735,0,"GluN5","Glutamatergic Neuron 2"
"29","ENSG00000142192","APP",0,0.56968714273665,0,"GluN5","Glutamatergic Neuron 2"
"30","ENSG00000198914","POU3F3",0,0.557634373591663,0,"GluN5","Glutamatergic Neuron 2"
"31","ENSG00000175183","CSRP2",0,0.55233235930842,0,"GluN5","Glutamatergic Neuron 2"
"32","ENSG00000008441","NFIX",0,0.550110447402103,0,"GluN5","Glutamatergic Neuron 2"
"33","ENSG00000171843","MLLT3",0,0.547310311761239,0,"GluN5","Glutamatergic Neuron 2"
"34","ENSG00000106123","EPHB6",0,0.547033664333826,0,"GluN5","Glutamatergic Neuron 2"
"35","ENSG00000104290","FZD3",0,0.539663784201916,0,"GluN5","Glutamatergic Neuron 2"
"36","ENSG00000154556","SORBS2",0,0.535170832959989,0,"GluN5","Glutamatergic Neuron 2"
"37","ENSG00000235597","LINC01102",0,0.531688248124511,0,"GluN5","Glutamatergic Neuron 2"
"38","ENSG00000075223","SEMA3C",0,0.517879715254139,0,"GluN5","Glutamatergic Neuron 2"
"39","ENSG00000180828","BHLHE22",0,0.484235736131182,0,"GluN5","Glutamatergic Neuron 2"
"40","ENSG00000091664","SLC17A6",0,0.481004139638361,0,"GluN5","Glutamatergic Neuron 2"
"41","ENSG00000157827","FMNL2",0,0.477974560420685,0,"GluN5","Glutamatergic Neuron 2"
"42","ENSG00000002587","HS3ST1",0,0.47537261151474,0,"GluN5","Glutamatergic Neuron 2"
"43","ENSG00000162627","SNX7",0,0.466261735057749,0,"GluN5","Glutamatergic Neuron 2"
"44","ENSG00000179456","ZBTB18",0,0.465899086695664,0,"GluN5","Glutamatergic Neuron 2"
"45","ENSG00000124766","SOX4",0,0.459774811021996,0,"GluN5","Glutamatergic Neuron 2"
"46","ENSG00000107105","ELAVL2",0,0.457340537914592,0,"GluN5","Glutamatergic Neuron 2"
"47","ENSG00000129824","RPS4Y1",0,0.452134437097521,0,"GluN5","Glutamatergic Neuron 2"
"48","ENSG00000170396","ZNF804A",0,0.451725531066841,0,"GluN5","Glutamatergic Neuron 2"
"49","ENSG00000250305","KIAA1456",0,0.451282301789666,0,"GluN5","Glutamatergic Neuron 2"
"50","ENSG00000272168","CASC15",0,0.449830963583099,0,"GluN5","Glutamatergic Neuron 2"
"51","ENSG00000162188","GNG3",0,0.445749980183786,0,"GluN5","Glutamatergic Neuron 2"
"52","ENSG00000213722","DDAH2",0,0.445576340046018,0,"GluN5","Glutamatergic Neuron 2"
"53","ENSG00000185008","ROBO2",0,0.445372205174608,0,"GluN5","Glutamatergic Neuron 2"
"54","ENSG00000179242","CDH4",0,0.439889340788388,0,"GluN5","Glutamatergic Neuron 2"
"55","ENSG00000164684","ZNF704",0,0.438944824504641,0,"GluN5","Glutamatergic Neuron 2"
"56","ENSG00000066468","FGFR2",0,0.436817797552479,0,"GluN5","Glutamatergic Neuron 2"
"57","ENSG00000142149","HUNK",0,0.426973863285406,0,"GluN5","Glutamatergic Neuron 2"
"58","ENSG00000204389","HSPA1A",0,0.422747452857822,0,"GluN5","Glutamatergic Neuron 2"
"59","ENSG00000138670","RASGEF1B",0,0.421786603294857,0,"GluN5","Glutamatergic Neuron 2"
"60","ENSG00000122591","FAM126A",0,0.414255066852725,0,"GluN5","Glutamatergic Neuron 2"
"61","ENSG00000254726","MEX3A",0,0.412759444663723,0,"GluN5","Glutamatergic Neuron 2"
"62","ENSG00000171532","NEUROD2",0,0.409210724247437,0,"GluN5","Glutamatergic Neuron 2"
"63","ENSG00000155886","SLC24A2",0,0.408967084888964,0,"GluN5","Glutamatergic Neuron 2"
"64","ENSG00000171604","CXXC5",0,0.408001045348797,0,"GluN5","Glutamatergic Neuron 2"
"65","ENSG00000044524","EPHA3",0,0.407848548006341,0,"GluN5","Glutamatergic Neuron 2"
"66","ENSG00000173404","INSM1",0,0.397333770897764,0,"GluN5","Glutamatergic Neuron 2"
"67","ENSG00000230910","AL391807.1",0,0.394060900906964,0,"GluN5","Glutamatergic Neuron 2"
"68","ENSG00000183775","KCTD16",0,0.390791540989387,0,"GluN5","Glutamatergic Neuron 2"
"69","ENSG00000215397","SCRT2",0,0.390554013322891,0,"GluN5","Glutamatergic Neuron 2"
"70","ENSG00000151150","ANK3",0,0.38788395601128,0,"GluN5","Glutamatergic Neuron 2"
"71","ENSG00000101938","CHRDL1",0,0.387656524964921,0,"GluN5","Glutamatergic Neuron 2"
"72","ENSG00000077063","CTTNBP2",0,0.386514621070429,0,"GluN5","Glutamatergic Neuron 2"
"73","ENSG00000165566","AMER2",0,0.386253928536129,0,"GluN5","Glutamatergic Neuron 2"
"74","ENSG00000140937","CDH11",0,0.381693425995335,0,"GluN5","Glutamatergic Neuron 2"
"75","ENSG00000247828","TMEM161B-AS1",0,0.380248785105276,0,"GluN5","Glutamatergic Neuron 2"
"76","ENSG00000102804","TSC22D1",0,0.377537709966376,0,"GluN5","Glutamatergic Neuron 2"
"77","ENSG00000118816","CCNI",0,0.373814157328652,0,"GluN5","Glutamatergic Neuron 2"
"78","ENSG00000130522","JUND",0,0.372869099080422,0,"GluN5","Glutamatergic Neuron 2"
"79","ENSG00000139289","PHLDA1",0,0.371891299497893,0,"GluN5","Glutamatergic Neuron 2"
"80","ENSG00000172461","FUT9",0,0.365624402521571,0,"GluN5","Glutamatergic Neuron 2"
"81","ENSG00000109339","MAPK10",0,0.363309487449334,0,"GluN5","Glutamatergic Neuron 2"
"82","ENSG00000183496","MEX3B",0,0.358861435571491,0,"GluN5","Glutamatergic Neuron 2"
"83","ENSG00000167553","TUBA1C",0,0.357856690700762,0,"GluN5","Glutamatergic Neuron 2"
"84","ENSG00000154928","EPHB1",0,0.353549578225749,0,"GluN5","Glutamatergic Neuron 2"
"85","ENSG00000111276","CDKN1B",0,0.352905296058025,0,"GluN5","Glutamatergic Neuron 2"
"86","ENSG00000139220","PPFIA2",0,0.352705547465897,0,"GluN5","Glutamatergic Neuron 2"
"87","ENSG00000154678","PDE1C",0,0.352174189419294,0,"GluN5","Glutamatergic Neuron 2"
"88","ENSG00000095637","SORBS1",0,0.351751224867174,0,"GluN5","Glutamatergic Neuron 2"
"89","ENSG00000104888","SLC17A7",0,0.343946666142431,0,"GluN5","Glutamatergic Neuron 2"
"90","ENSG00000119669","IRF2BPL",0,0.342187266868452,0,"GluN5","Glutamatergic Neuron 2"
"91","ENSG00000108175","ZMIZ1",0,0.341778819902578,0,"GluN5","Glutamatergic Neuron 2"
"92","ENSG00000072201","LNX1",0,0.340335264468703,0,"GluN5","Glutamatergic Neuron 2"
"93","ENSG00000138640","FAM13A",0,0.339687167261597,0,"GluN5","Glutamatergic Neuron 2"
"94","ENSG00000176887","SOX11",0,0.338094473575239,0,"GluN5","Glutamatergic Neuron 2"
"95","ENSG00000204624","DISP3",0,0.336842971890062,0,"GluN5","Glutamatergic Neuron 2"
"96","ENSG00000125675","GRIA3",0,0.333606191445784,0,"GluN5","Glutamatergic Neuron 2"
"97","ENSG00000172575","RASGRP1",0,0.332652894003842,0,"GluN5","Glutamatergic Neuron 2"
"98","ENSG00000158321","AUTS2",0,0.331885695133547,0,"GluN5","Glutamatergic Neuron 2"
"99","ENSG00000176749","CDK5R1",0,0.329664226453376,0,"GluN5","Glutamatergic Neuron 2"
"100","ENSG00000150625","GPM6A",0,0.329228557674812,0,"GluN5","Glutamatergic Neuron 2"
"101","ENSG00000227051","C14orf132",0,0.326360142344799,0,"GluN5","Glutamatergic Neuron 2"
"102","ENSG00000170035","UBE2E3",0,0.323207294255293,0,"GluN5","Glutamatergic Neuron 2"
"103","ENSG00000023171","GRAMD1B",0,0.323115334326545,0,"GluN5","Glutamatergic Neuron 2"
