"","gene2","cluster","avg_log2FC","gene"
"2","MARCH3","EN-PFC1",1.377813525,"ENSG00000173926"
"3","JUN","EN-PFC1",-1.744804969,"ENSG00000177606"
"138","ABLIM3","EN-PFC1",1.870696444,"ENSG00000173210"
"140","AC004158.2","EN-PFC1",1.225654233,NA
"146","AC079233.1","EN-PFC1",1.340611937,NA
"148","AC253572.1","EN-PFC1",-1.075379012,NA
"162","ADAMTSL1","EN-PFC1",1.86437757,"ENSG00000178031"
"163","ADCY10P1","EN-PFC1",1.020261148,"ENSG00000161912"
"164","ADCY1","EN-PFC1",1.657567715,"ENSG00000164742"
"165","ADCY2","EN-PFC1",1.014530938,"ENSG00000078295"
"168","ADRBK2","EN-PFC1",1.560159509,"ENSG00000100077"
"171","AFF3","EN-PFC1",1.241378735,"ENSG00000144218"
"172","AGAP1","EN-PFC1",1.099856125,"ENSG00000157985"
"180","AKT3","EN-PFC1",1.19190635,"ENSG00000117020"
"183","ALDOA","EN-PFC1",-1.107816023,"ENSG00000149925"
"189","AMOTL2","EN-PFC1",-1.358252353,"ENSG00000114019"
"193","ANK3","EN-PFC1",1.06799731,"ENSG00000151150"
"200","ANO4","EN-PFC1",1.835777233,"ENSG00000151572"
"201","ANP32B","EN-PFC1",-1.917422532,"ENSG00000136938"
"202","ANP32E","EN-PFC1",-1.449943655,"ENSG00000143401"
"203","ANXA5","EN-PFC1",-3.86033554,"ENSG00000164111"
"207","APBA1","EN-PFC1",1.146926777,"ENSG00000107282"
"208","APBB2","EN-PFC1",-1.841058443,"ENSG00000163697"
"211","ARHGAP20","EN-PFC1",2.228984284,"ENSG00000137727"
"212","ARHGAP44","EN-PFC1",1.64786106,"ENSG00000006740"
"220","ARL4C","EN-PFC1",-1.336007343,"ENSG00000188042"
"224","ARNT2","EN-PFC1",-1.909423535,"ENSG00000172379"
"225","ARPP21","EN-PFC1",1.137776816,"ENSG00000172995"
"226","ARX","EN-PFC1",-3.808893307,"ENSG00000004848"
"232","ASTN2","EN-PFC1",2.827172875,"ENSG00000148219"
"236","ATP1A3","EN-PFC1",1.379198335,"ENSG00000105409"
"239","ATP2B1","EN-PFC1",1.300978656,"ENSG00000070961"
"240","ATP2C2","EN-PFC1",1.158351792,"ENSG00000064270"
"260","AXL","EN-PFC1",-4.287109904,"ENSG00000167601"
"261","B2M","EN-PFC1",-4.038515071,"ENSG00000166710"
"262","B3GALNT1","EN-PFC1",1.092619584,"ENSG00000169255"
"263","B3GALT2","EN-PFC1",1.158400854,"ENSG00000162630"
"264","B3GAT1","EN-PFC1",1.760540176,"ENSG00000109956"
"268","BACE2","EN-PFC1",2.044780303,"ENSG00000182240"
"269","BACH2","EN-PFC1",1.02971967,"ENSG00000112182"
"271","BAI3","EN-PFC1",1.208688623,"ENSG00000135298"
"273","BBX","EN-PFC1",-2.15078632,"ENSG00000114439"
"274","BCAP29","EN-PFC1",1.055259051,"ENSG00000075790"
"275","BCAS3","EN-PFC1",1.416344868,"ENSG00000141376"
"278","BCL11B","EN-PFC1",1.127392664,"ENSG00000127152"
"285","BLOC1S1","EN-PFC1",-1.562576025,"ENSG00000135441"
"288","BRINP1","EN-PFC1",1.358574181,"ENSG00000078725"
"292","BTG1","EN-PFC1",-1.475636164,"ENSG00000133639"
"293","BTG3","EN-PFC1",-1.433445818,"ENSG00000154640"
"298","C14orf132","EN-PFC1",-1.836746352,"ENSG00000227051"
"301","C14orf37","EN-PFC1",1.118870868,NA
"304","C1orf61","EN-PFC1",-1.387849249,NA
"305","C1orf95","EN-PFC1",2.706446211,NA
"307","C2orf80","EN-PFC1",1.08957967,"ENSG00000188674"
"313","C8orf34","EN-PFC1",3.198059347,"ENSG00000165084"
"314","C9orf16","EN-PFC1",1.120417542,NA
"315","CACNA1A","EN-PFC1",1.740176439,"ENSG00000141837"
"321","CACNB4","EN-PFC1",1.07015235,"ENSG00000182389"
"322","CACNG3","EN-PFC1",2.716319646,"ENSG00000006116"
"325","CADM2","EN-PFC1",1.200681656,"ENSG00000175161"
"328","CALD1","EN-PFC1",-1.229945982,"ENSG00000122786"
"331","CALN1","EN-PFC1",2.200839432,"ENSG00000183166"
"332","CAMK2B","EN-PFC1",1.306450808,"ENSG00000058404"
"336","CAMKV","EN-PFC1",1.841110818,"ENSG00000164076"
"339","CARD10","EN-PFC1",3.39425906,"ENSG00000100065"
"341","CBLN4","EN-PFC1",3.207309912,"ENSG00000054803"
"347","CBWD7","EN-PFC1",1.156811977,"ENSG00000215126"
"350","CCDC144B","EN-PFC1",1.010087998,"ENSG00000154874"
"351","CCDC171","EN-PFC1",1.352561688,"ENSG00000164989"
"355","CCND2","EN-PFC1",-1.403486028,"ENSG00000118971"
"359","CCSAP","EN-PFC1",1.190801635,"ENSG00000154429"
"366","CDC42EP3","EN-PFC1",-1.442003958,"ENSG00000163171"
"367","CDH10","EN-PFC1",2.199059437,"ENSG00000040731"
"368","CDH13","EN-PFC1",1.64941782,"ENSG00000140945"
"369","CDH18","EN-PFC1",2.823600355,"ENSG00000145526"
"370","CDH6","EN-PFC1",2.527957569,"ENSG00000113361"
"371","CDHR3","EN-PFC1",1.60474257,"ENSG00000128536"
"381","CELF4","EN-PFC1",1.011142247,"ENSG00000101489"
"383","CENPF","EN-PFC1",-4.15843604,"ENSG00000117724"
"390","CFL2","EN-PFC1",-1.673648449,"ENSG00000165410"
"391","CFTR","EN-PFC1",1.314539436,"ENSG00000001626"
"395","CHD7","EN-PFC1",-2.285186912,"ENSG00000171316"
"400","CHPT1","EN-PFC1",1.458785524,"ENSG00000111666"
"403","CKS2","EN-PFC1",-1.777008549,"ENSG00000123975"
"405","CLCN4","EN-PFC1",1.7903357,"ENSG00000073464"
"406","CLIC4","EN-PFC1",-1.452118683,"ENSG00000169504"
"411","CLSTN2","EN-PFC1",3.251926769,"ENSG00000158258"
"412","CLU","EN-PFC1",-4.31648874,"ENSG00000120885"
"418","CNN3","EN-PFC1",-1.429795555,"ENSG00000117519"
"421","CNR1","EN-PFC1",-2.324021415,"ENSG00000118432"
"422","CNRIP1","EN-PFC1",1.019168136,"ENSG00000119865"
"423","CNTN1","EN-PFC1",2.074783708,"ENSG00000018236"
"424","CNTN3","EN-PFC1",1.699395913,"ENSG00000113805"
"425","CNTNAP2","EN-PFC1",1.446182603,"ENSG00000174469"
"426","CNTNAP3","EN-PFC1",2.773765989,"ENSG00000106714"
"431","COL11A1","EN-PFC1",-2.007085947,"ENSG00000060718"
"432","COL19A1","EN-PFC1",3.878752476,"ENSG00000082293"
"433","COL25A1","EN-PFC1",3.542139483,"ENSG00000188517"
"434","COMMD2","EN-PFC1",1.724338884,"ENSG00000114744"
"441","CORO1C","EN-PFC1",-1.106438014,"ENSG00000110880"
"445","CPEB2","EN-PFC1",1.355745,"ENSG00000137449"
"448","CPNE5","EN-PFC1",2.114860138,"ENSG00000124772"
"450","CRB1","EN-PFC1",-2.745904725,"ENSG00000134376"
"451","CREB5","EN-PFC1",-5.115255403,"ENSG00000146592"
"454","CRIM1","EN-PFC1",-1.754833577,"ENSG00000150938"
"456","CRYM","EN-PFC1",2.971415689,"ENSG00000103316"
"457","CSGALNACT1","EN-PFC1",2.023349752,"ENSG00000147408"
"458","CSMD1","EN-PFC1",1.692181552,"ENSG00000183117"
"460","CSMD3","EN-PFC1",2.115064681,"ENSG00000164796"
"461","CSRNP3","EN-PFC1",1.129474757,"ENSG00000178662"
"462","CTA.228A9.3","EN-PFC1",1.02912806,NA
"472","CTNND2","EN-PFC1",1.405011161,"ENSG00000169862"
"474","CTTNBP2","EN-PFC1",1.697067785,"ENSG00000077063"
"476","CUX1","EN-PFC1",-1.734280207,"ENSG00000257923"
"477","CXADR","EN-PFC1",1.065370861,"ENSG00000154639"
"480","CYP20A1","EN-PFC1",-1.346855874,"ENSG00000119004"
"481","CYP26A1","EN-PFC1",4.077483916,"ENSG00000095596"
"483","DAAM1","EN-PFC1",1.067440689,"ENSG00000100592"
"484","DAB1","EN-PFC1",1.301794035,"ENSG00000173406"
"485","DAB1.AS1","EN-PFC1",2.312644539,NA
"488","DAP","EN-PFC1",1.233716539,"ENSG00000112977"
"489","DAPK1","EN-PFC1",-1.373949221,"ENSG00000196730"
"497","DDAH1","EN-PFC1",-3.063317601,"ENSG00000153904"
"498","DDAH2","EN-PFC1",-1.064102269,"ENSG00000213722"
"500","DEAR","EN-PFC1",1.664156428,"ENSG00000270751"
"501","DEK","EN-PFC1",-1.091447515,"ENSG00000124795"
"502","DFNA5","EN-PFC1",1.323246349,"ENSG00000105928"
"504","DGKI","EN-PFC1",1.002915448,"ENSG00000157680"
"506","DHX8","EN-PFC1",-1.121742137,"ENSG00000067596"
"509","DLEU2","EN-PFC1",-2.816465177,"ENSG00000231607"
"510","DLG1","EN-PFC1",1.224440325,"ENSG00000075711"
"511","DLG2","EN-PFC1",1.145265267,"ENSG00000150672"
"514","DLX2","EN-PFC1",-4.573358183,"ENSG00000115844"
"515","DLX6.AS1","EN-PFC1",-7.799432999,NA
"517","DMD","EN-PFC1",1.709727383,"ENSG00000198947"
"519","DNAJB1","EN-PFC1",-2.17352414,"ENSG00000132002"
"524","DNM3","EN-PFC1",1.46737306,"ENSG00000197959"
"528","DOCK9","EN-PFC1",1.935813598,"ENSG00000088387"
"529","DOK6","EN-PFC1",1.28278663,"ENSG00000206052"
"531","DPF3","EN-PFC1",1.49429273,"ENSG00000205683"
"532","DPP10","EN-PFC1",2.77641141,"ENSG00000175497"
"534","DPY19L1","EN-PFC1",-3.141659568,"ENSG00000173852"
"535","DPY19L2","EN-PFC1",1.35182085,"ENSG00000177990"
"537","DSCAM","EN-PFC1",1.058693324,"ENSG00000171587"
"539","DSEL","EN-PFC1",1.080832677,"ENSG00000171451"
"542","DUSP1","EN-PFC1",-1.479201849,"ENSG00000120129"
"543","DYNC1I1","EN-PFC1",1.163431588,"ENSG00000158560"
"547","DYRK2","EN-PFC1",1.221484359,"ENSG00000127334"
"556","EEF1D","EN-PFC1",-1.009640449,"ENSG00000104529"
"559","EFNA5","EN-PFC1",1.224659398,"ENSG00000184349"
"561","EGFEM1P","EN-PFC1",2.835989004,NA
"562","EGR1","EN-PFC1",-3.102608997,"ENSG00000120738"
"569","ELMOD1","EN-PFC1",2.17435705,"ENSG00000110675"
"570","ELOVL4","EN-PFC1",1.222153701,"ENSG00000118402"
"571","EML1","EN-PFC1",1.281159052,"ENSG00000066629"
"581","EPHA3","EN-PFC1",-5.014869714,"ENSG00000044524"
"582","EPHA4","EN-PFC1",-3.05777259,"ENSG00000116106"
"583","EPHA7","EN-PFC1",1.708217401,"ENSG00000135333"
"587","ERBB4","EN-PFC1",-6.347706562,"ENSG00000178568"
"588","ERC1","EN-PFC1",1.049424138,"ENSG00000082805"
"594","EXOC4","EN-PFC1",-1.924691623,"ENSG00000131558"
"596","EZR","EN-PFC1",-2.020639863,"ENSG00000092820"
"599","FABP7","EN-PFC1",-3.014674163,"ENSG00000164434"
"610","FAM184A","EN-PFC1",1.576101233,"ENSG00000111879"
"611","FAM196A","EN-PFC1",1.364147976,"ENSG00000188916"
"616","FAM3C","EN-PFC1",1.429903485,"ENSG00000196937"
"618","FAM49A","EN-PFC1",1.186762004,"ENSG00000197872"
"619","FAM60A","EN-PFC1",-2.079821116,"ENSG00000276371"
"624","FAT3","EN-PFC1",1.593803229,"ENSG00000165323"
"625","FAT4","EN-PFC1",1.64119616,"ENSG00000196159"
"627","FBN3","EN-PFC1",1.059037919,"ENSG00000142449"
"633","FBXW7","EN-PFC1",1.493599984,"ENSG00000109670"
"635","FDFT1","EN-PFC1",-1.238230694,"ENSG00000079459"
"636","FERMT2","EN-PFC1",-1.668923815,"ENSG00000073712"
"637","FEZF2","EN-PFC1",1.68532354,"ENSG00000153266"
"638","FGF12","EN-PFC1",1.123011969,"ENSG00000114279"
"640","FGFR1","EN-PFC1",-1.535271947,"ENSG00000077782"
"642","FGFR2","EN-PFC1",-4.566336245,"ENSG00000066468"
"644","FKBP1B","EN-PFC1",1.052818596,"ENSG00000119782"
"645","FKBP9","EN-PFC1",-1.623290362,"ENSG00000122642"
"648","FN1","EN-PFC1",-1.075952981,"ENSG00000115414"
"651","FOS","EN-PFC1",-2.443000564,"ENSG00000170345"
"652","FOSB","EN-PFC1",-3.613977234,"ENSG00000125740"
"653","FOSL2","EN-PFC1",2.12478054,"ENSG00000075426"
"656","FRMD3","EN-PFC1",1.543928294,"ENSG00000172159"
"658","FRRS1L","EN-PFC1",1.467741711,"ENSG00000260230"
"659","FSTL5","EN-PFC1",1.108764674,"ENSG00000168843"
"664","FUS","EN-PFC1",-1.281318675,"ENSG00000089280"
"670","GABBR2","EN-PFC1",1.560921084,"ENSG00000136928"
"672","GABRA2","EN-PFC1",1.129578727,"ENSG00000151834"
"673","GABRA3","EN-PFC1",1.678514033,"ENSG00000011677"
"674","GABRA5","EN-PFC1",2.585209689,"ENSG00000186297"
"676","GABRG3","EN-PFC1",3.051176134,"ENSG00000182256"
"677","GAD1","EN-PFC1",-5.749109639,"ENSG00000128683"
"682","GAREM","EN-PFC1",1.436784881,"ENSG00000141441"
"683","GARNL3","EN-PFC1",2.153818478,"ENSG00000136895"
"684","GAS7","EN-PFC1",2.742465694,"ENSG00000007237"
"690","GFOD1","EN-PFC1",1.275725634,"ENSG00000145990"
"695","GLB1L2","EN-PFC1",1.1173574,"ENSG00000149328"
"698","GLRB","EN-PFC1",1.279779767,"ENSG00000109738"
"701","GLUL","EN-PFC1",-1.514296065,"ENSG00000135821"
