"chr","start","end","pfc_ul","pfc_dl","mouse_layer5","mouse_layer6","region_name"
"chr1","2993663","2994109",0,1,0,0,"deep"
"chr1","9045785","9046689",0,1,0,0,"deep"
"chr1","18110018","18110450",0,1,0,0,"deep"
"chr1","27307356","27308207",0,1,0,0,"deep"
"chr1","32858070","32858765",0,1,0,0,"deep"
"chr1","36586468","36586782",0,1,0,0,"deep"
"chr1","60891131","60892216",0,1,0,0,"deep"
"chr1","66090801","66091484",0,1,0,0,"deep"
"chr1","71228720","71229339",0,1,0,0,"deep"
"chr1","71268457","71269224",0,1,0,0,"deep"
"chr1","71371571","71372086",0,1,0,0,"deep"
"chr1","72019095","72019446",0,1,0,0,"deep"
"chr1","73717930","73718452",0,1,0,0,"deep"
"chr1","81071132","81072870",0,1,0,0,"deep"
"chr1","88309062","88309625",0,1,0,0,"deep"
"chr1","112448943","112450142",0,1,0,0,"deep"
"chr1","115924474","115925306",0,1,0,0,"deep"
"chr1","158327335","158327873",0,1,0,0,"deep"
"chr1","159641168","159641514",0,1,0,0,"deep"
"chr1","162259936","162260495",0,1,0,0,"deep"
"chr1","167892844","167893101",0,1,0,0,"deep"
"chr1","176811200","176812089",0,1,0,0,"deep"
"chr1","179761864","179762376",0,1,0,0,"deep"
"chr1","180842524","180842816",0,1,0,0,"deep"
"chr1","182191365","182191741",0,1,0,0,"deep"
"chr1","185424703","185425761",0,1,0,0,"deep"
"chr1","192766072","192766493",0,1,0,0,"deep"
"chr1","202637983","202639165",0,1,0,0,"deep"
"chr1","220348228","220348732",0,1,0,0,"deep"
"chr1","226993578","226994341",0,1,0,0,"deep"
"chr1","233391150","233391600",0,1,0,0,"deep"
"chr2","2901375","2901762",0,1,0,0,"deep"
"chr2","5065337","5066205",0,1,0,0,"deep"
"chr2","7572371","7572885",0,1,0,0,"deep"
"chr2","7573001","7573776",0,1,0,0,"deep"
"chr2","8259816","8260713",0,1,0,0,"deep"
"chr2","9032059","9033184",0,1,0,0,"deep"
"chr2","17012016","17012756",0,1,0,0,"deep"
"chr2","18821305","18821781",0,1,0,0,"deep"
"chr2","19462006","19462753",0,1,0,0,"deep"
"chr2","41405330","41406141",0,1,0,0,"deep"
"chr2","48732769","48733547",0,1,0,0,"deep"
"chr2","58032558","58033273",0,1,0,0,"deep"
"chr2","58535842","58536335",0,1,0,0,"deep"
"chr2","96499087","96499391",0,1,0,0,"deep"
"chr2","98058586","98059001",0,1,0,0,"deep"
"chr2","104876629","104877231",0,1,0,0,"deep"
"chr2","106723908","106724828",0,1,0,0,"deep"
"chr2","111905816","111906934",0,1,0,0,"deep"
"chr2","112091923","112092340",0,1,0,0,"deep"
"chr2","113672137","113673100",0,1,0,0,"deep"
"chr2","125280112","125280784",0,1,0,0,"deep"
"chr2","126843095","126843629",0,1,0,0,"deep"
"chr2","128389040","128390139",0,1,0,0,"deep"
"chr2","128876481","128877773",0,1,0,0,"deep"
"chr2","134591516","134591934",0,1,0,0,"deep"
"chr2","137379104","137379805",0,1,0,0,"deep"
"chr2","138596641","138597171",0,1,0,0,"deep"
"chr2","139390944","139391255",0,1,0,0,"deep"
"chr2","143778914","143779417",0,1,0,0,"deep"
"chr2","143840364","143841245",0,1,0,0,"deep"
"chr2","151200855","151201340",0,1,0,0,"deep"
"chr2","152454327","152454664",0,1,0,0,"deep"
"chr2","153754814","153755126",0,1,0,0,"deep"
"chr2","159994168","159995547",0,1,0,0,"deep"
